qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10
3040435,"USA have Snow, Hurricanes, Flood, Earthquakes and politicians, Brazil only have politicians, why?",0.3199,1,backtranslation_kor_hang,0.3254,America has snow  hurricanes  floods  earthquakes  politicians  and Brazil has politicians  and why,,,,,,,,,,,,,,,,,,,,,,,,,,,
953489,Why do I have to dumb myself down all the time though I am highly undereducated?,0.0033,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309774,Why do I keep seeing people on here 'dissing' on the soldiers in Iraq?,0.2607,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1152934,Why don't fat people have to pay more for air travel?,0.011,9,backtranslation_arb_arab,0.1204,Why don t fat people pay more for air travel,backtranslation_rus_cyrl,0.1204,Why don t fat people pay more for air travel,backtranslation_zsm_latn,0.1204,Why don t fat people pay more for air travel,backtranslation_kor_hang,0.0992,Why don t obese people pay more for airplanes,backtranslation_deu_latn,0.0972,Why don t fat people pay for air travel anymore,backtranslation_pes_arab,0.0906,Why don t fat people have to pay so much for air travel,backtranslation_yue_hant,0.0846,Why don t obese people spend more on planes,backtranslation_fra_latn,0.0769,Why don t the big guys pay more for the thefts,backtranslation_tam_taml,0.0111,Why do fat people not have to pay more for air travel,,,
387874,Why does asparugus make your pee stink?,0.5389,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2291272,How is Catholicism not Christianity?,0.2694,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3411123,Why does'nt America regard foriegn credentials?,0.1316,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4165406,Why did the founder of Daewoo get a 10-year jail sentence?,0.4255,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2418598,why do wisdom varies from person to person?,0.1873,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3496147,Why was I punished for being christlike?,0.0862,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452795,How can I heat the water within a 150 gal tank that's open to the atmosphere in Feb.?,0.1621,1,backtranslation_deu_latn,0.1717,How do I heat the water in a     gal tank that s open to the atmosphere in February,,,,,,,,,,,,,,,,,,,,,,,,,,,
225575,what does 'wet behind the ears' mean?,0.3587,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2838988,"How can I get a cork out of, not into, a wine bottle without a corkscrew?",0.7105,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456214,What is the importance of absolute zero temperature?,0.8585,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
761742,How can I become a playa?,0.7333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3825386,How can I develop leanbody and muscles?,0.0993,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443586,What is a Bro?,0.2139,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172731,how for is saturn from the sun?,0.3029,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783398,What is a nucleus?,0.3229,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402514,why do my baked potatos never taste near as good as when I get them in a nice restaurant?,0.191,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4278201,how does Ultraviolet Light Affects Seed Germination and plant growth?,0.6375,1,backtranslation_tam_taml,0.674,How does UV light affect seed germination and plant growth,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539741,what cause the car to have white smoke coming from the muffler and making a kicking or knocking sounds?,0.152,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3714728,Why is the world so shallow?,0.3387,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3778229,how were the witches tested in the salem witch trials?,0.6587,3,backtranslation_yue_hant,0.6734,How did the Salem Witch Trials test witches,backtranslation_arb_arab,0.671,How did you test witches at Salem witch trials,backtranslation_swh_latn,0.6608,witches were tried in the Salem witch trials,,,,,,,,,,,,,,,,,,,,,
3640705,what is the punishment for child molestors?,0.2201,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1077370,Why do only Humans have Finger prints?,0.4999,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1373069,Freedom of Speech - why don't people understand how to use it?,0.0849,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1063812,How do I grow taller?,0.4055,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722241,why do some animals hide in a dark place b4 they die?,0.0839,1,backtranslation_deu_latn,0.0874,Why are animals hiding in a dark place,,,,,,,,,,,,,,,,,,,,,,,,,,,
746920,How do you get rid of wart on your hand a using home method?,0.4173,1,backtranslation_fra_latn,0.432,How to get rid of a wart on your hand using a method at home,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977054,Couscous is a food from what origin?,0.2353,3,backtranslation_fra_latn,0.2893,What is the origin of couscous,backtranslation_zsm_latn,0.2414,Where did couscous come from,backtranslation_swh_latn,0.2414,What is couscous,,,,,,,,,,,,,,,,,,,,,
1199639,"How to ""LOSE""all body fat ?",0.2365,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785579,"If you could be an element of weather, which would you choose, and why?",0.0217,1,backtranslation_arb_arab,0.0253,If you could be a weather element  what would you choose  and why,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964316,"What do you mean by ""weed""?",0.2826,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3206998,how does disneyland make it snow?,0.3635,1,backtranslation_kor_hang,0.367,How do you get snow on Disneyland,,,,,,,,,,,,,,,,,,,,,,,,,,,
2864267,what exemplifies effective customer service?,0.2318,9,backtranslation_zsm_latn,0.3361,What shows effective customer service,backtranslation_pes_arab,0.3193,What does effective customer service show,backtranslation_yue_hant,0.3183,How can we prove effective customer service,backtranslation_deu_latn,0.3136,What is an example of effective customer service,backtranslation_rus_cyrl,0.3136,What is an example of effective customer service,backtranslation_tam_taml,0.3012,What is an example of customer service,backtranslation_arb_arab,0.2912,What s an example of effective customer service,backtranslation_kor_hang,0.2825,What example shows that customer service is effective,backtranslation_swh_latn,0.2653,what shows that customer service is superior,,,
3382736,what is minimalist cubisium?,0.4778,2,backtranslation_deu_latn,0.6287,What is a minimalist cubism,backtranslation_swh_latn,0.6287,What is a minimalist cubism,,,,,,,,,,,,,,,,,,,,,,,,
949154,can anybody tell me what is a butler?,0.4921,2,backtranslation_fra_latn,0.512,Can someone tell me what a butler is,backtranslation_deu_latn,0.512,Can someone tell me what a butler is,,,,,,,,,,,,,,,,,,,,,,,,
1364894,Why do we need to tell customer service/operator about our sickness in order to make appointment w/ a doctor?,0.144,3,backtranslation_zsm_latn,0.1986,Why do we have to tell the customer service about our illness to make an appointment with the doctor,backtranslation_arb_arab,0.1652,Why do we need to tell customer service about our illness for a doctor appointment,backtranslation_deu_latn,0.1503,Why do we have to tell the customer service operator about our illness to make an appointment with a doctor,,,,,,,,,,,,,,,,,,,,,
2797224,"Muslims Are The Happiest People Ever, Why?",0.3124,2,backtranslation_rus_cyrl,0.348,Muslims are the happiest people  why,backtranslation_swh_latn,0.348,Muslims Are the Happiest People  Why,,,,,,,,,,,,,,,,,,,,,,,,
765138,Why does loving someone hurts like hell?,0.0446,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479423,Why is there brail on the keypads at drive up ATM's?,0.7399,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2862887,how to care for a spiked dragon and what to feed them?,0.2097,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4250296,What do doctors do when a patient has a Do Nor Resuscitate Order?,0.1801,4,backtranslation_fra_latn,0.2497,What do doctors do when a patient is ordered not to be resuscitated,backtranslation_swh_latn,0.2292,What do doctors do when a patient has an order to Do or Resuscitate,backtranslation_deu_latn,0.2157,What do doctors do when a patient has a Do N Resuscitate order,backtranslation_zsm_latn,0.2076,What does a doctor do when a patient has a No or Resuscitate order,,,,,,,,,,,,,,,,,,
3872395,what are some easy ways to get a toddler to go to sleep without being mean?,0.1235,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4473137,Causes and effects of the rise of Christanity?,0.2609,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1509982,How is th Chemistry is a basic of Science?,0.62,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3269759,what is artificial intelligence?,0.3092,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3723508,What is the difference between an ox and a bull?,0.6209,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1282199,how can I hide the cuts on my wrists?,0.2061,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4196421,how can you be more brilliant?,0.169,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1850323,Why some men never wash their hands after using the Urinal/Toilet?,0.236,1,backtranslation_rus_cyrl,0.2376,Why do some men never wash their hands after using the toilet,,,,,,,,,,,,,,,,,,,,,,,,,,,
2192891,how are braces put on and do they hurt a lot?,0.3223,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4406669,What do you order at Taco Bell?,0.376,2,backtranslation_rus_cyrl,0.3998,What to order at Taco Bell,backtranslation_zsm_latn,0.386,What are you ordering at Taco Bell,,,,,,,,,,,,,,,,,,,,,,,,
1582877,why do we go to school if in the real world we dont use most of it?,0.0277,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1340574,Why do some people only go to church on Easter Sunday and never go again until Christmas ?,0.2711,3,backtranslation_rus_cyrl,0.2848,Why do some people go to church only on Easter Sunday and never go back to church before Christmas,backtranslation_kor_hang,0.2763,Why do some people go to church on Easter Sunday and not go back until Christmas,backtranslation_fra_latn,0.2736,Why do some people only go to church on Easter Sunday and not before Christmas,,,,,,,,,,,,,,,,,,,,,
1971899,what is masturbat***?,0.1667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
