qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,qid.1,backtranslation_yue_hant,backtranslation_yue_hant.qld.map,qid.2,backtranslation_kor_hang,backtranslation_kor_hang.qld.map,qid.3,backtranslation_arb_arab,backtranslation_arb_arab.qld.map,qid.4,backtranslation_pes_arab,backtranslation_pes_arab.qld.map,qid.5,backtranslation_fra_latn,backtranslation_fra_latn.qld.map,qid.6,backtranslation_deu_latn,backtranslation_deu_latn.qld.map,qid.7,backtranslation_rus_cyrl,backtranslation_rus_cyrl.qld.map,qid.8,backtranslation_zsm_latn,backtranslation_zsm_latn.qld.map,qid.9,backtranslation_tam_taml,backtranslation_tam_taml.qld.map,qid.10,backtranslation_swh_latn,backtranslation_swh_latn.qld.map
89,ocd,0.2348,89,Other things ,0.0,89,Okay  you know what ,0.0,89,  I  m sure  ,0.0,89,Okay  what s up ,0.0,89,The,,89,OCD,0.2348,89,The OCD,0.2348,89,OCDs,0.2348,89,The following article,0.0,89,the ocd,0.2348
90,mgb,0.092,90,It s not ,0.0,90,I m not sure ,0.0,90,The kingdom  ,0.0,90,What ,0.0,90,The Commission,0.0,90,Other,0.0,90,The M G ,0.0,90,Mgb,0.092,90,the,,90,The Mgb,0.092
91,er tv show,0.0464,91,about TV shows ,0.0003,91,TV show,0.0003,91,A television show  ,0.0,91,The TV show ,0.0003,91,television show,0.0,91,Television series,0.0,91,The TV show,0.0003,91,television shows,0.0,91,Our TV program,0.0,91,His television show,0.0
92,the wall,0.0004,92,The wall ,0.0004,92,The wall ,0.0004,92,The wall  ,0.0004,92,The wall ,0.0004,92,The wall,0.0004,92,The wall,0.0004,92,The wall  ,0.0004,92,The wall,0.0004,92,The wall,0.0004,92,wall,0.0004
93,raffles,0.0468,93,The lottery ,0.0,93,Lottery ,0.0,93,The cranks  ,0.0,93,The draw ,0.0,93,lotteries,0.0,93,Winning,0.0,93,The lottery,0.0,93,The vote,0.0,93,Laughs,0.0,93,the ballot,0.0
94,titan,0.0102,94,I m not sure ,0.0,94,The titans ,0.0102,94,The titans  ,0.0102,94,The Titan ,0.0102,94,Titanium,0.0,94,Titanium,0.0,94,The Titan,0.0102,94,The titans,0.0102,94,the titan,0.0102,94,Titanium,0.0
95,earn money at home,,95,Make money at home ,,95,I m making money from home ,,95,Make money at home ,,95,Make money at home,,95,making money at home,,95,Making money at home,,95,Make money at home,,95,Making money at home,,95,Making money at home,,95,making money at home,
96,rice,0.0917,96,A meter ,0.0,96,Rice ,0.0917,96,The rice ,0.0917,96,Rice ,0.0917,96,rice,0.0917,96,Rice,0.0917,96,rice,0.0917,96,Rice,0.0917,96,rice,0.0917,96,rice,0.0917
97,south africa,0.0248,97,South Africa ,0.0248,97,South Africa,0.0248,97,South Africa  ,0.0248,97,South Africa,0.0248,97,South Africa,0.0248,97,South Africa,0.0248,97,South Africa,0.0248,97,South Africa,0.0248,97,South Africa,0.0248,97,South Africa,0.0248
98,sat,0.0682,98,Sit down ,0.0,98,I m sitting here ,0.0,98,Sit down  ,0.0,98,He s sitting down ,0.0,98,He sits down ,0.0,98,Seating,0.0,98,Sit down,0.0,98,Sit down,0.0,98,Sit down,0.0,98,Sitting down,0.0
99,satellite,0.017,99,Satellites are,0.017,99,Satellite,0.017,99,The satellite  ,0.017,99,The satellite ,0.017,99,Satellite,0.017,99,Satellites,0.017,99,the satellite,0.017,99,satellite,0.017,99,satellite,0.017,99,satellite,0.017
100,rincon puerto rico,,100,Rinco  Puerto Rico,,100,Rico Puerto Rico,,100,I  m not a Puerto Rican  ,,100,The Ricken of Puerto Rico,,100,The following is a list of the official languages of the United States ,,100,The following is a list of the countries of the European Union ,,100,The Rincón of Puerto Rico,,100,the Puerto Rico,,100,Rincón Puerto Rico,,100,Rincón Puerto Rico,
101,ritz carlton lake las vegas,0.0728,101,Lake Ritz Carlton in Las Vegas ,0.0728,101,It s not like the cartoon s in the lake ,0.0,101,The Ritz Carlton Lake is Las Vegas ,0.0728,101,Ritz Carlton at the Las Vegas Lake ,0.0728,101,The Ritz Carlton Lake in Las Vegas,0.0728,101,Ritz Carlton Lake in Las Vegas,0.0728,101,Ritz Carlton Lake Las Vegas,0.0728,101,The Ritz Carlton Lake in Las Vegas,0.0728,101,The Ritz Carlton Lake Las Vegas,0.0728,101,Ritz Carlton lake Las Vegas,0.0728
102,fickle creek farm,0.0021,102,The farm ,0.0,102,A dynamic river farm ,0.0,102,The changing water farm ,0.0,102,Farm by the river ,0.0,102,unstable creek farm,0.0,102,unstable Creek Farm,0.0,102,The farm is unfavorable,0.0,102,unstable river farm,0.0,102,The River Farm Changed,0.0,102,a river field,0.0
103,madam cj walker,0.0637,103,This is CJ Walker ,0.0163,103,Mrs  CJ Walker  please ,0.0105,103,Mrs  J J  Walker   please  ,0.0003,103,Mrs  J  Walker  please ,0.0002,103,Mrs  C J  Walker is here  ,0.0006,103,I  m not sure  ,0.0,103,Madam K  Walker   please  ,0.1157,103,Miss Walker is here ,0.0,103,The first is the book of Proverbs ,0.0,103,Uncle Walker,0.0
104,indiana child support,0.0239,104,Raising children in Indonesia,0.0,104,Indiana Child Support,0.0239,104,Child support,0.001,104,Financial aid for children,0.0,104,Indian child support,0.0005,104,Support for children,0.0007,104,Indiana child support,0.0239,104,Indian child support,0.0005,104,Indiana Child Support,0.0239,104,help for children in indiana,0.0004
105,sonoma county medical services,0.0854,105,Health services in Sonoma County,0.0971,105,Health services in Sonoma County,0.0971,105,Medical services in Sonoma County,0.0854,105,The medical services of the Sonoma Province,0.0809,105,Medical services in Sonoma County,0.0854,105,medical services in Sonoma County,0.0854,105,medical services of Sonoma County,0.0854,105,Sonoma county medical services,0.0854,105,Sonoma District Medical Services,0.0397,105,health care in Sonoma State,0.0284
106,universal animal cuts reviews,0.0114,106,Common animal cuts are evaluated ,0.0,106,A universal examination of animal cuts,0.0002,106,Worldwide animal cuts reviews,0.0,106,Global surveys of animal slaughter,0.0,106,the universal examinations of animal cuts,0.0002,106,Checks on animal returns,0.0,106,A review of the animal carvings,0.0,106,universal animal cutting reviews,0.0114,106,Common cuts of animals,0.0,106,reviews of common animals,0.0
107,cass county missouri,0.0312,107,Cass County  Missouri  is located in the state of Missouri ,0.0382,107,Cass County  Missouri,0.0312,107,Cass County   Missouri  ,0.0312,107,The caste of Missouri ,0.0,107,Cass County   Missouri,0.0312,107,Cass County Missouri,0.0312,107,The Missouri County Courthouse,0.0001,107,Cass County of Missouri,0.0312,107,The state of Missouri,0.0,107,Cass County Missouri,0.0312
108,ralph owen brewster,0.4834,108,Ralph Owen Brewster is the first ,0.4766,108,Ralph Owen Brewster ,0.4834,108,Ralph Owen Bruster  ,0.0006,108,Ralph Owen Brewster ,0.4834,108,Ralph Owen Brewster,0.4834,108,The following is a list of the countries of the European Union ,0.0,108,Ralph Owen Brewster,0.4834,108,Ralph Owen Brewster,0.4834,108,The following is a list of articles related to the Bible ,0.0,108,Ralph Owen Brewster,0.4834
109,mayo clinic jacksonville fl,0.0026,109,The May Clinic in Jacksonville  Florida,0.0002,109,The main clinic is in Jacksonville  FL ,0.0,109,The Mayo Clinic in Jacksonville  ,0.0092,109,The Jacksonville Fluoride Mayonnaise clinic is here ,0.0007,109,The Mayo Clinic in Jacksonville,0.0092,109,The Mayo Clinic in Jacksonville  Florida,0.0034,109,The Mayo Clinic in Jacksonville  Florida,0.0034,109,The Mayo Clinic in Jacksonville  FL,0.0026,109,The Mayo Clinic in Jacksonville  FL,0.0026,109,The Mayo Clinic in Jacksonville FL,0.0026
110,map of brazil,0.0612,110,Map of Brazil,0.0612,110,Map of Brazil,0.0612,110,Map of Brazil,0.0612,110,The map of Brazil,0.0612,110,map of Brazil,0.0612,110,Map of Brazil,0.0612,110,Map of Brazil,0.0612,110,map of Brazil,0.0612,110,Map of Brazil,0.0612,110,map of Brazil,0.0612
111,lymphoma in dogs,0.3742,111,Lymphoma in dogs ,0.3742,111,The lymphoma of dogs,0.3742,111,Lymphoma in dogs  ,0.3742,111,Lymphoma in dogs ,0.3742,111,lymphoma in dogs,0.3742,111,Lymphoma in dogs,0.3742,111,lymphoma in dogs,0.3742,111,lymphoma in dogs,0.3742,111,Lymphoma in dogs,0.3742,111,lymphoma in dogs,0.3742
112,kenmore gas water heater,0.0,112,Kenmore water heater ,0.0,112,Kenmore gas water heater ,0.0,112,The gas water temperature   Kenmore  ,0.0,112,The Kenmore gas heater ,0.0,112,Kenmore gas water heater,0.0,112,Kenmore gas water heating,0.0,112,Canmore gas water heater,0.0,112,Kenmore gas water heater,0.0,112,Kenmore gas water heater,0.0,112,Kenmore gas water heater,0.0
113,hp mini 2140,0.0043,113,Super horsepower  the mini     ,0.0,113,Small      hp,0.0,113,A little horse         ,0.0,113,The Mini      Spy ,0.0,113,Minimum number of days,0.0,113,PS Mini     ,0.0,113,Min      hp,0.0,113,The mini      hp,0.0007,113,Mini      hp,0.0007,113,the hp mini     ,0.0007
114,adobe indian houses,0.0212,114,Indian family ,0.0,114,The Adob Indian House ,0.0212,114,Indian houses  ,0.0,114,Indian houses ,0.0,114,Indian houses,0.0,114,Indian houses,0.0,114,The Indian house  ,0.0,114,Indian houses,0.0,114,Adobe Indian Houses,0.0212,114,Indian houses,0.0
115,pacific northwest laboratory,0.125,115,Pacific Northwest Laboratory ,0.125,115,Pacific Northwest Laboratory,0.125,115,Pacific Northwest Laboratory  ,0.125,115,Pacific Northwest Laboratory ,0.125,115,Northwest Pacific laboratory,0.125,115,Pacific Northwest Laboratory,0.125,115,Pacific Northwest Laboratory,0.125,115,Pacific Northwest Laboratory,0.125,115,Pacific Northwest Laboratory,0.125,115,Pacific Northwest laboratory,0.125
116,california franchise tax board,0.1279,116,The California Franchise Tax Agency,0.0907,116,The California Franchise Tax Commission,0.0514,116,The California Privileges and Immunities Board  ,0.0001,116,The California franchise tax agency ,0.0907,116,California franchise tax board,0.1279,116,California Franchise Tax Board,0.1279,116,California Council on Franchise Taxes,0.0727,116,California tax board franchises,0.1279,116,The California Board of Licensing,0.0012,116,California franchise tax board,0.1279
117,dangers of asbestos,0.1544,117,The dangers of asbestos ,0.1544,117,The Dangers of Asbestos,0.1544,117,The dangers of asbestos,0.1544,117,The dangers of Asbestos ,0.1544,117,dangers of asbestos,0.1544,117,Hazards of asbestos,0.0381,117,the risks of asbestos,0.0593,117,Asbestos hazards,0.0381,117,The dangers of asbestos,0.1544,117,The dangers of amnesia,0.0
118,poem in your pocket day,0.0672,118,Poetry is in your pocket ,0.0434,118,The poem is in my pocket ,0.0258,118,A poem in your pocket day ,0.0672,118,Poetry in your pocket day ,0.068,118,Poem in your pocket,0.0579,118,Poem in the Pocket Day,0.0583,118,Poem in my pocket,0.0258,118,Poems in your pocket day,0.0672,118,Your pocket day poem,0.0672,118,Poetry in your day bag,0.0003
119,interview thank you,0.1086,119,Thank you for the interview ,0.1086,119,Thank you for the interview ,0.1086,119,Thanks for the interview ,0.0917,119,Thank you for the interview ,0.1086,119,Thanks for the interview ,0.0917,119,Thanks for the interview ,0.0917,119,Thanks for the interview ,0.0917,119,Thanks for the interview ,0.0917,119,Thank you for the interview,0.1086,119,Thank you for the interview ,0.1086
120,tv on computer,0.0296,120,The TV is on the computer ,0.0296,120,TV on the computer ,0.0296,120,TV on the computer  ,0.0296,120,TV on the computer ,0.0296,120,television on computer,0.0061,120,Television on the computer,0.0061,120,TV on the computer,0.0296,120,TV on the computer,0.0296,120,TV on the computer,0.0296,120,television on a computer,0.0061
121,sit and reach test,0.0666,121,The test was a test ,0.0,121,Sit and reach test,0.0666,121,The seating and access test ,0.0,121,The seating and arrival test,0.0,121,seat and range test,0.0,121,The following information shall be provided ,0.0,121,Sitting and achievement testing,0.0026,121,Sit down and get the test,0.0019,121,The test of sitting,0.0046,121,the test of staying and reaching,0.0004
122,culpeper national cemetery,0.0169,122,The Kappa National Cemetery,0.0,122,The National Cemetery of Culpeper,0.0169,122,The national cemetery of Collier  ,0.0002,122,Culpeper National Cemetery,0.0169,122,the Culpeper National Cemetery,0.0169,122,Culpeper National Cemetery,0.0169,122,Culpeper National Cemetery,0.0169,122,Culpeper s national cemetery,0.016,122,The National Cemetery of the Criminal,0.0008,122,national cemetery of the culpeper,0.0169
123,von willebrand disease,0.2417,123,This is the case with Woolwell Brand disease ,0.0,123,The Wilbland Poison,0.0,123,Von Wilbrand  s illness  ,0.0,123,The illness of Von Wilbernd ,0.001,123,from von Willebrand s disease,0.2455,123,from Willebrand s disease,0.2268,123,The illness of von Wilbrand,0.0006,123,The illness of von Willebrand,0.1833,123,One of the most common causes of death is the illness of the widow ,0.0,123,von Willebrand s disease,0.2352
124,bowflex power pro,0.0611,124,Power is special ,0.0,124,Flex Power Pro ,0.0,124,The power of the moving bow  ,0.0,124,Believe in Peru,0.0,124,The pro of bowflex power,0.0611,124,Bowflex Power Pro,0.0611,124,Professional bowflex,0.0417,124,Power pro bowflex,0.0611,124,Curve power pro,0.0,124,bowflex power pro,0.0611
125,butter and margarine,0.1267,125,Oil ,0.0,125,Butter and margarine ,0.1267,125,Butter and margarine  ,0.1267,125,And the corn and margarine ,0.0011,125,beef and margarine,0.0012,125,Butter and margarine,0.1267,125,oil and margarine,0.0115,125,Butter and margarine,0.1267,125,Ney and Margarine,0.0214,125,Oil and margarine,0.0115
126,us capitol map,0.0007,126,Map of the capital of the United States ,0.0,126,Map of the capital of the United States,0.0,126,Map of the United States,0.0,126,The map of the capital of the United States ,0.0,126,map of the capitol of the united states,0.001,126,US chapter card,0.0,126,Map of the capital of the United States,0.0,126,map of the United States,0.0,126,Map of the U S  capital,0.0,126,map of the capital of the United States,0.0
127,dutchess county tourism,0.2252,127,Tour of the Dutch province,0.0,127,Tourist of the Dutch county,0.0,127,Tourism in the province of Holland,0.0,127,Tourism in the Netherlands,0.0,127,tourism in the Dutch county,0.0002,127,Tourism in the Dutch county,0.0002,127,Tourism in the Dutch district,0.0,127,tourism in the Netherlands,0.0,127,Dutch county tourism,0.0002,127,Tourist district of the Netherlands,0.0
128,atypical squamous cells,0.0548,128,It is a homotypal cell ,0.0,128,It s an abnormal vertical cell ,0.005,128,Stem cells are not typical  ,0.0,128,Unusual scarring cells,0.0,128,atypical squamous cells,0.0548,128,Other non typical foam cells,0.0,128,Atypical flat cells,0.0449,128,Unusual squamous cells,0.003,128,Atypical cooled cells,0.0366,128,atypical squamous cells,0.0548
129,iowa food stamp program,0.0026,129,The Iowa Food Tickets Program,0.0005,129,Iowa food stamp program,0.0026,129,The food card program  ,0.0,129,Eva s food schedule ,0.0,129,Iowa s good food program,0.0007,129,Iowa food stamp program,0.0026,129,Food stamps in Iowa,0.0028,129,Iowa food mining program,0.0007,129,Iowa Food Stamp Program,0.0026,129,Iowa food packaging program,0.0005
130,fact on uranus,0.2881,130,The truth about amnesia ,0.0,130,The Facts About Uranus,0.2128,130,The truth about uranium ,0.0,130,The truth about Uranus ,0.0517,130,made of uranium,0.0,130,The following is the list of the countries of the Union ,0.0,130,The fact about uranium,0.0,130,facts about uranium,0.0,130,The Truth About Uranus,0.0517,130,The truth about uranium,0.0
131,equal opportunity employer,0.0109,131,Employers of same sex opportunities,0.0004,131,Employers with equal opportunities,0.0109,131,Equal employer in opportunity,0.0109,131,Employer of equal opportunity,0.0109,131,equal opportunities employer,0.0109,131,Employers with equal rights,0.0007,131,Employer on equal opportunities,0.0109,131,Employers of equal opportunity,0.0109,131,Employer who provides equal opportunities,0.0037,131,equal opportunity employer,0.0109
132,mothers day songs,0.0206,132,Mother s Day song,0.0162,132,Mother sing me,0.0657,132,Mother s day songs ,0.0162,132,Mother s day songs ,0.0162,132,songs of mother s day,0.0162,132,Mother s day songs,0.0162,132,Mother s Day songs,0.0162,132,Mother s day song,0.0162,132,Mother s Day songs,0.0162,132,Mother s day songs,0.0162
133,all men are created equal,0.0554,133,We are all created equal ,0.0155,133,And every human being is created equal ,0.0004,133,All men are created equal  ,0.0554,133,All men are created equal ,0.0554,133,All men are created equal,0.0554,133,All people are equal ,0.0005,133,All men are equal ,0.0079,133,All men are created equal,0.0554,133,All men are created equal ,0.0554,133,All humans are created equal ,0.006
134,electronic skeet shoot,0.0022,134,Electronic shoots ,0.0,134,Electronic skate shooting,0.0,134,Electronic firing  ,0.0,134,The electrical shot ,0.0,134,shooting the electronic hook,0.0,134,Electronic fire,0.0,134,The electronic sketch,0.0,134,Shoot the electronic skeleton,0.0,134,Shooting electronic skate,0.0,134,electronic skeet shot,0.0018
135,source of the nile,0.0076,135,The source of the Nile ,0.0076,135,The source of the Nile River,0.0028,135,The source of the Nile ,0.0076,135,The source of the Nile ,0.0076,135,source of the Nile,0.0076,135,Source of the Nile,0.0076,135,The source of the Nile,0.0076,135,source of the Nile,0.0076,135,The source of the Nile,0.0076,135,source of the Nile,0.0076
136,american military university,0.0,136,The U S  Army,0.0,136,The U S  Military Academy,0.0,136,The U S  Military Academy  ,0.0,136,The U S  Military Academy,0.0,136,U S  military university,0.0,136,American Military University,0.0,136,The American Military University,0.0,136,The U S  Military University,0.0,136,The U S  Military University,0.0,136,U S  military university,0.0
137,rock and gem shows,0.145,137,The rock and the gem show ,0.145,137,Rock and jewelry show ,0.0523,137,The rock and jewelry shows ,0.0523,137,Stone and jewelry exhibits,0.001,137,rock and precious stones,0.0,137,Rock and gem show,0.145,137,The rock and roll show ,0.0015,137,Exhibition of stones and jewels,0.0,137,Rock and rock shows,0.0004,137,exhibitions of stone and jewelry,0.001
138,jax chemical company,0.1868,138,Jax Chemical Co ,0.0534,138,The Jax Chemical Company ,0.1868,138,The Geeks Chemical Company  ,0.0,138,The Geeks Chemical Company ,0.0,138,chemical company jax,0.1868,138,Jax chemical companies,0.1868,138,chemical company jax,0.1868,138,chemical company jax,0.1868,138,The Jacks Institute of Chemistry,0.0,138,chemical company jax,0.1868
139,rocky mountain news,0.0282,139,The Rock Mountain News,0.0,139,The news from the rock ,0.0,139,News from the Rockies  ,0.0592,139,The news of the Rocky Mountains ,0.0282,139,News from the Rocky Mountain,0.0317,139,Mountains from the Rocky Mountains,0.0023,139,News of the Rocky Mountains,0.0282,139,rock mountain news,0.0,139,Rock Mountain News,0.0,139,the story of the rocky mountains,0.0099
140,east ridge high school,0.0008,140,High school ,0.0,140,East Ridge High School ,0.0008,140,High school in East Ridge  ,0.0008,140,East Ridge High School ,0.0008,140,East Ridge High School,0.0008,140,East Ridge High School,0.0008,140,Eastern High School,0.0,140,East Ridge High School,0.0008,140,East Ridge High School,0.0008,140,East Ridge High School,0.0008
141,va dmv registration,0.1089,141,The national product registration,0.0,141,Register the dmv,0.0237,141,Sign up at the   ,0.0,141,Registered,0.0,141,of registration by the Dmv,0.0196,141,V V  Registration,0.0,141,registration in the DMV,0.0196,141,dmv registration,0.0196,141,Air patent registration,0.0,141,registration of the dmv,0.0196
142,illinois state tax,0.1472,142,Illinois tax ,0.0664,142,Taxes in the state of Illinois ,0.1472,142,Illinois state tax  ,0.1472,142,Taxation in the state of Illinois,0.0273,142,taxation of the State of Illinois,0.0273,142,Tax of the State of Illinois,0.1472,142,Tax on the state of Illinois,0.1472,142,taxes of the state of Illinois,0.1472,142,Illinois State Tax,0.1472,142,taxation of the state of Illinois,0.0273
143,arkadelphia health club,0.0,143,The Arkadelphia Health Club,0.0,143,The Acadelphian Health Club ,0.0,143,The health club  ,0.0,143,The Archadelfia Health Club ,0.0,143,Arcadelphian health club,0.0,143,Arcadelphian health club,0.0,143,The Arcadelphian health club,0.0,143,the arkadelphia health club,0.0,143,The Arcadia Health Society is a nonprofit organization that provides health care services to children and youths ,0.0,143,Arkadelphia health club,0.0
144,trombone for sale,0.0961,144,It s sold ,0.0,144,Tromone sales,0.0,144,Trampons for sale  ,0.0,144,Trampons for sale ,0.0,144,trombone for sale,0.0961,144,Trombones for sale,0.0961,144,Trombone for sale,0.0961,144,trombone for sale,0.0961,144,Trombone for sale,0.0961,144,trombone for sale,0.0961
145,vines for shade,0.1029,145,It s the fruit ,0.0,145,A vine for shade,0.1029,145,The grapes for the shade ,0.0024,145,Grapes for the Shade,0.0024,145,Vineyards in the shade,0.0,145,Vineyards for shade,0.0,145,Grapevine for shade,0.0008,145,Vine for shade,0.1029,145,The vineyards are suitable for shade,0.0,145,shady grapes,0.0003
146,sherwood regional library,0.1648,146,Sherwood Regional Library,0.1648,146,Sherwood County Library,0.0162,146,The regional library in Sherwood  ,0.1648,146,The Sherwood District Library ,0.0096,146,Sherwood Regional Library,0.1648,146,The Scherwood Regional Library,0.001,146,Sherwood Regional Library,0.1648,146,the Sherwood regional library,0.1648,146,The Sherwood Regional Library,0.1648,146,sherwood strip library,0.0107
147,tangible personal property tax,0.3454,147,Personal property tax,0.1177,147,Incidentally  personal property taxes are,0.0758,147,Personal property tax,0.1177,147,Personal property tax,0.1177,147,Tax on tangible personal property,0.3454,147,The amount of the adjustment shall be reported in the following column ,0.0008,147,tax on material property,0.0045,147,real personal property tax,0.062,147,A substantial personal property tax,0.0114,147,personal property tax,0.1177
148,martha stewart and imclone,0.2446,148,Martha Stewart and Imclone ,0.2446,148,Martha Stewart and the Imklone ,0.0356,148,Martha Stewart and Emklone ,0.0356,148,Martha Stewart and Umkhonto we are ,0.0348,148,Martha Stewart and Imclone,0.2446,148,Martha Stewart and Imclone,0.2446,148,Martha Stewart and Imklone,0.0356,148,Martha Stewart and Imclone,0.2446,148,Martha Stewart and Imklone,0.0356,148,Martha Stewart and Imclone,0.2446
149,uplift at yellowstone national park,0.1531,149,The rise of Yellowstone National Park,0.0599,149,The elevator at the Yellowstone National Park ,0.0895,149,He was raised in Yellowstone National Park ,0.0502,149,Promotion at Yellowstone National Park,0.0419,149,The elevator at Yellowstone National Park,0.0895,149,The Yellowstone National Park is closed,0.0747,149,The climb in Yellowstone National Park,0.0043,149,Raised in Yellowstone National Park,0.0521,149,Rise in Yellowstone National Park,0.0599,149,uplift in Yellowstone National Park,0.1531
150,tn highway patrol,0.0061,150,TN Highway Patrol,0.0061,150,Highway patrol ,0.0008,150,Highway patrol  ,0.0008,150,Highway patrol,0.0008,150,Road patrol,0.0003,150,Tn motorway patrol,0.0006,150,TN of the road patrol,0.0051,150,The big tour,0.0,150,tn highway patrol,0.0061,150,tn road patrol,0.0051
151,403b,0.0996,151,   b ,0.0,151,   b,0.0,151,   b  ,0.0,151,   b,0.0,151,   b,0.0,151,Other articles,0.0,151,   b,0.0,151,   b,0.0,151,   b,0.0,151,   b,0.0
152,angular cheilitis,0.0,152,Coronary artery disease ,0.0,152,The angle of the salt,0.0,152,Corner head inflammation  ,0.0,152,It s a corner ,0.0,152,angular sheability,0.0,152,Other  of a kind used for the manufacture of goods,0.0,152,The corner helite,0.0,152,angular paralysis,0.0,152,angular curvature,0.0,152,angular chelulitis,0.0
153,pocono,0.2921,153,Poconno ,0.0,153,Pocono is here ,0.2091,153,The bocone  ,0.0,153,The pooch ,0.0,153,Pocono,0.2921,153,Pocono,0.2921,153,The Poconos,0.2921,153,Pocono is,0.2921,153,the bogono,0.0,153,Better,0.0
154,figs,0.0418,154,The tree ,0.0,154,I don t know ,0.0,154,The fig  ,0.0418,154,The figs ,0.0418,154,the figs,0.0418,154,Figs,0.0418,154,The figs,0.0418,154,figs,0.0418,154,The fig trees,0.075,154,figs,0.0418
155,last supper painting,0.2128,155,The last dinner drawing ,0.0,155,Last dinner painting,0.0253,155,The last painting ,0.024,155,The last painting dinner ,0.0253,155,Last table,0.0,155,Last supper painting,0.2128,155,The last picture  ,0.0,155,Last dinner painting,0.0253,155,The painting depicts the Last Supper,0.1608,155,picture of the last supper,0.102
156,university of phoenix,0.1082,156,The University of Nix ,0.0,156,The University of Phoenix,0.1082,156,The University of Phoenix  ,0.1082,156,The University of Phoenix ,0.1082,156,University of Phoenix,0.1082,156,University of Phoenix,0.1082,156,The University of Phoenix,0.1082,156,The University of Phoenix,0.1082,156,The University of Phoenix,0.1082,156,the University of Phoenix,0.1082
157,the beatles rock band,0.0714,157,The Beatles ,0.0534,157,The Beatles are rock band ,0.0714,157,The Beatles  ,0.0534,157,The rock band The Beatles ,0.0714,157,the Beatles rock band,0.0714,157,The Beatles rock band,0.0714,157,The Beatles rock band,0.0714,157,The Beatles rock band,0.0714,157,The Beatles were a rock band ,0.1185,157,The Beatles rock band,0.0714
158,septic system design,0.4015,158,The design of the seven spin system ,0.0,158,Design of the septic system,0.4015,158,The design of the decentralized system,0.0007,158,Design of the septic system,0.4015,158,design of the septic system,0.4015,158,Design of the septic system,0.4015,158,the construction of the septic system,0.1527,158,design of septic systems,0.4015,158,Design of the septic system,0.4015,158,design of septic system,0.4015
159,porterville,0.2459,159,Portville  the city of Portville ,0.0,159,I m not sure ,0.0,159,Porterville  ,0.2459,159,Portroyl ,,159,Portreville,,159,Portville,0.0,159,I  m not here  ,0.0,159,The porterville,0.2459,159,Portville,0.0,159,Porterville,0.2459
160,grilling,0.0122,160,The roast meat ,0.0,160,Gary  please ,0.0,160,The confusion ,0.0,160,They re grilling ,0.0061,160,grilling,0.0122,160,Grill,0.0122,160,The grids,0.0,160,Fries,0.0,160,Glue,0.0,160,heating,0.0
161,furniture for small spaces,0.0283,161,Small space furniture ,0.0283,161,Furniture in a small space ,0.0283,161,Furniture for small places  ,0.0023,161,Furniture for small spaces,0.0283,161,furniture for small spaces,0.0283,161,Furniture for small rooms,0.001,161,furniture for small rooms,0.001,161,furniture for small space,0.0283,161,Furniture for small spaces,0.0283,161,furniture for small space,0.0283
162,dnr,0.0346,162,Other things ,0.0,162,Double that ,0.0,162,A ,,162,This is it ,,162,Other,0.0,162,The Commission,0.0,162,The DNR,0.0346,162,DN,0.0,162,The D M C ,0.0,162,Dr ,0.0
163,arkansas,0.0303,163,The state of Arkansas  USA,0.0257,163,Arkansas ,0.0303,163,Arkansas  ,0.0303,163,Arkansas ,0.0303,163,The Arkansas,0.0303,163,Arkansas,0.0303,163,Arkansas,0.0303,163,Arkansas,0.0303,163,Arkansas,0.0303,163,Arkansas,0.0303
164,hobby stores,0.0329,164,The hobby shop ,0.0166,164,It s a hobby shop ,0.0188,164,Interested shops,0.0,164,The entertainment shops,0.0,164,leisure business,0.0,164,Hobby shops,0.0166,164,Hobby shops,0.0166,164,hobby shop,0.0166,164,The entertainment shops,0.0,164,entertainment shops,0.0
165,blue throated hummingbird,0.0018,165,The blue throated fellow humans ,0.0,165,Colliver with a blue neck ,0.0,165,The blue throated Alliance bird  ,0.0,165,It s the same blue collar ,0.0,165,Blue throated hummingbird,0.0018,165,Other  of a kind used for the manufacture of goods of heading     ,0.0,165,The blue throat of a cobbler,0.0,165,Blue footed hummingbirds,0.0004,165,The blue collared Olympic,0.0,165,blue throated hummingbird,0.0018
166,computer programming,0.0051,166,Computer programming ,0.0051,166,Computer programming,0.0051,166,Computer programming,0.0051,166,Computer programming,0.0051,166,computer programming,0.0051,166,Computer programming,0.0051,166,computer programming,0.0051,166,Computer programming,0.0051,166,computer programming,0.0051,166,computer programs,0.0051
167,barbados,0.0186,167,Fish ,0.0,167,Barbados,0.0186,167,Barbados  ,0.0186,167,It s ruined ,0.0,167,The Beards,0.0,167,The following is the list of countries ,0.0,167,Barbados,0.0186,167,Armed,0.0,167,Barbados,0.0186,167,drug industries,0.0
168,lipoma,0.2925,168,The tumor ,0.0,168,I have a lymphoma ,0.0,168,Aciditis  ,0.0,168,The lipum ,0.0,168,Lipoma,0.2925,168,Lipomas and other,0.228,168,liposomes,0.0,168,Lipomas,0.2925,168,bone marrow,0.0,168,when the disease,0.0
