qid,abstractqueryexpansion,abstractqueryexpansion.qld.recip_rank,qid.1,backtranslation_yue_hant,backtranslation_yue_hant.qld.recip_rank,qid.2,backtranslation_kor_hang,backtranslation_kor_hang.qld.recip_rank,qid.3,backtranslation_arb_arab,backtranslation_arb_arab.qld.recip_rank,qid.4,backtranslation_pes_arab,backtranslation_pes_arab.qld.recip_rank,qid.5,backtranslation_fra_latn,backtranslation_fra_latn.qld.recip_rank,qid.6,backtranslation_deu_latn,backtranslation_deu_latn.qld.recip_rank,qid.7,backtranslation_rus_cyrl,backtranslation_rus_cyrl.qld.recip_rank,qid.8,backtranslation_zsm_latn,backtranslation_zsm_latn.qld.recip_rank,qid.9,backtranslation_tam_taml,backtranslation_tam_taml.qld.recip_rank,qid.10,backtranslation_swh_latn,backtranslation_swh_latn.qld.recip_rank
91,er tv show,0.5,91,about TV shows ,0.0031,91,TV show,0.0036,91,A television show  ,0.0,91,The TV show ,0.0036,91,television show,0.0,91,Television series,0.0,91,The TV show,0.0036,91,television shows,0.0,91,Our TV program,0.0,91,His television show,0.0
92,the wall,0.0063,92,The wall ,0.0063,92,The wall ,0.0063,92,The wall  ,0.0063,92,The wall ,0.0063,92,The wall,0.0063,92,The wall,0.0063,92,The wall  ,0.0063,92,The wall,0.0063,92,The wall,0.0063,92,wall,0.0063
93,raffles,0.0833,93,The lottery ,0.0,93,Lottery ,0.0,93,The cranks  ,0.0,93,The draw ,0.0,93,lotteries,0.0,93,Winning,0.0,93,The lottery,0.0,93,The vote,0.0,93,Laughs,0.0,93,the ballot,0.0
94,titan,0.0164,94,I m not sure ,0.0,94,The titans ,0.0164,94,The titans  ,0.0164,94,The Titan ,0.0164,94,Titanium,0.0,94,Titanium,0.0,94,The Titan,0.0164,94,The titans,0.0164,94,the titan,0.0164,94,Titanium,0.0
95,earn money at home,,95,Make money at home ,,95,I m making money from home ,,95,Make money at home ,,95,Make money at home,,95,making money at home,,95,Making money at home,,95,Make money at home,,95,Making money at home,,95,Making money at home,,95,making money at home,
96,rice,0.125,96,A meter ,0.0,96,Rice ,0.125,96,The rice ,0.125,96,Rice ,0.125,96,rice,0.125,96,Rice,0.125,96,rice,0.125,96,Rice,0.125,96,rice,0.125,96,rice,0.125
97,south africa,0.1667,97,South Africa ,0.1667,97,South Africa,0.1667,97,South Africa  ,0.1667,97,South Africa,0.1667,97,South Africa,0.1667,97,South Africa,0.1667,97,South Africa,0.1667,97,South Africa,0.1667,97,South Africa,0.1667,97,South Africa,0.1667
98,sat,0.1111,98,Sit down ,0.0,98,I m sitting here ,0.0,98,Sit down  ,0.0,98,He s sitting down ,0.0,98,He sits down ,0.0,98,Seating,0.0,98,Sit down,0.0,98,Sit down,0.0,98,Sit down,0.0,98,Sitting down,0.0
99,satellite,0.0041,99,Satellites are,0.0041,99,Satellite,0.0041,99,The satellite  ,0.0041,99,The satellite ,0.0041,99,Satellite,0.0041,99,Satellites,0.0041,99,the satellite,0.0041,99,satellite,0.0041,99,satellite,0.0041,99,satellite,0.0041
100,rincon puerto rico,,100,Rinco  Puerto Rico,,100,Rico Puerto Rico,,100,I  m not a Puerto Rican  ,,100,The Ricken of Puerto Rico,,100,The following is a list of the official languages of the United States ,,100,The following is a list of the countries of the European Union ,,100,The Rincón of Puerto Rico,,100,the Puerto Rico,,100,Rincón Puerto Rico,,100,Rincón Puerto Rico,
101,ritz carlton lake las vegas,1.0,101,Lake Ritz Carlton in Las Vegas ,1.0,101,It s not like the cartoon s in the lake ,0.0,101,The Ritz Carlton Lake is Las Vegas ,1.0,101,Ritz Carlton at the Las Vegas Lake ,1.0,101,The Ritz Carlton Lake in Las Vegas,1.0,101,Ritz Carlton Lake in Las Vegas,1.0,101,Ritz Carlton Lake Las Vegas,1.0,101,The Ritz Carlton Lake in Las Vegas,1.0,101,The Ritz Carlton Lake Las Vegas,1.0,101,Ritz Carlton lake Las Vegas,1.0
102,fickle creek farm,0.0455,102,The farm ,0.0,102,A dynamic river farm ,0.0,102,The changing water farm ,0.0,102,Farm by the river ,0.0,102,unstable creek farm,0.0,102,unstable Creek Farm,0.0,102,The farm is unfavorable,0.0,102,unstable river farm,0.0,102,The River Farm Changed,0.0,102,a river field,0.0
103,madam cj walker,0.5,103,This is CJ Walker ,0.5,103,Mrs  CJ Walker  please ,0.25,103,Mrs  J J  Walker   please  ,0.0143,103,Mrs  J  Walker  please ,0.0059,103,Mrs  C J  Walker is here  ,0.0204,103,I  m not sure  ,0.0,103,Madam K  Walker   please  ,0.3333,103,Miss Walker is here ,0.002,103,The first is the book of Proverbs ,0.0,103,Uncle Walker,0.0012
104,indiana child support,0.1111,104,Raising children in Indonesia,0.0,104,Indiana Child Support,0.1111,104,Child support,0.0058,104,Financial aid for children,0.0,104,Indian child support,0.0029,104,Support for children,0.0026,104,Indiana child support,0.1111,104,Indian child support,0.0029,104,Indiana Child Support,0.1111,104,help for children in indiana,0.0026
105,sonoma county medical services,1.0,105,Health services in Sonoma County,1.0,105,Health services in Sonoma County,1.0,105,Medical services in Sonoma County,1.0,105,The medical services of the Sonoma Province,1.0,105,Medical services in Sonoma County,1.0,105,medical services in Sonoma County,1.0,105,medical services of Sonoma County,1.0,105,Sonoma county medical services,1.0,105,Sonoma District Medical Services,0.25,105,health care in Sonoma State,0.3333
106,universal animal cuts reviews,0.1111,106,Common animal cuts are evaluated ,0.0,106,A universal examination of animal cuts,0.0019,106,Worldwide animal cuts reviews,0.0,106,Global surveys of animal slaughter,0.0,106,the universal examinations of animal cuts,0.0019,106,Checks on animal returns,0.0,106,A review of the animal carvings,0.0,106,universal animal cutting reviews,0.1111,106,Common cuts of animals,0.0,106,reviews of common animals,0.0
107,cass county missouri,0.0435,107,Cass County  Missouri  is located in the state of Missouri ,0.0333,107,Cass County  Missouri,0.0435,107,Cass County   Missouri  ,0.0435,107,The caste of Missouri ,0.0,107,Cass County   Missouri,0.0435,107,Cass County Missouri,0.0435,107,The Missouri County Courthouse,0.0024,107,Cass County of Missouri,0.0435,107,The state of Missouri,0.0,107,Cass County Missouri,0.0435
108,ralph owen brewster,1.0,108,Ralph Owen Brewster is the first ,1.0,108,Ralph Owen Brewster ,1.0,108,Ralph Owen Bruster  ,0.0014,108,Ralph Owen Brewster ,1.0,108,Ralph Owen Brewster,1.0,108,The following is a list of the countries of the European Union ,0.0,108,Ralph Owen Brewster,1.0,108,Ralph Owen Brewster,1.0,108,The following is a list of articles related to the Bible ,0.0,108,Ralph Owen Brewster,1.0
109,mayo clinic jacksonville fl,0.0102,109,The May Clinic in Jacksonville  Florida,0.0018,109,The main clinic is in Jacksonville  FL ,0.0,109,The Mayo Clinic in Jacksonville  ,0.05,109,The Jacksonville Fluoride Mayonnaise clinic is here ,0.0025,109,The Mayo Clinic in Jacksonville,0.05,109,The Mayo Clinic in Jacksonville  Florida,0.0119,109,The Mayo Clinic in Jacksonville  Florida,0.0119,109,The Mayo Clinic in Jacksonville  FL,0.0102,109,The Mayo Clinic in Jacksonville  FL,0.0102,109,The Mayo Clinic in Jacksonville FL,0.0102
110,map of brazil,1.0,110,Map of Brazil,1.0,110,Map of Brazil,1.0,110,Map of Brazil,1.0,110,The map of Brazil,1.0,110,map of Brazil,1.0,110,Map of Brazil,1.0,110,Map of Brazil,1.0,110,map of Brazil,1.0,110,Map of Brazil,1.0,110,map of Brazil,1.0
111,lymphoma in dogs,1.0,111,Lymphoma in dogs ,1.0,111,The lymphoma of dogs,1.0,111,Lymphoma in dogs  ,1.0,111,Lymphoma in dogs ,1.0,111,lymphoma in dogs,1.0,111,Lymphoma in dogs,1.0,111,lymphoma in dogs,1.0,111,lymphoma in dogs,1.0,111,Lymphoma in dogs,1.0,111,lymphoma in dogs,1.0
112,kenmore gas water heater,0.0,112,Kenmore water heater ,0.0,112,Kenmore gas water heater ,0.0,112,The gas water temperature   Kenmore  ,0.0,112,The Kenmore gas heater ,0.0,112,Kenmore gas water heater,0.0,112,Kenmore gas water heating,0.0,112,Canmore gas water heater,0.0,112,Kenmore gas water heater,0.0,112,Kenmore gas water heater,0.0,112,Kenmore gas water heater,0.0
113,hp mini 2140,0.0345,113,Super horsepower  the mini     ,0.0,113,Small      hp,0.0,113,A little horse         ,0.0,113,The Mini      Spy ,0.0,113,Minimum number of days,0.0,113,PS Mini     ,0.0,113,Min      hp,0.0,113,The mini      hp,0.0053,113,Mini      hp,0.0053,113,the hp mini     ,0.0053
114,adobe indian houses,0.1,114,Indian family ,0.0,114,The Adob Indian House ,0.1,114,Indian houses  ,0.0012,114,Indian houses ,0.0012,114,Indian houses,0.0012,114,Indian houses,0.0012,114,The Indian house  ,0.0012,114,Indian houses,0.0012,114,Adobe Indian Houses,0.1,114,Indian houses,0.0012
115,pacific northwest laboratory,0.5,115,Pacific Northwest Laboratory ,0.5,115,Pacific Northwest Laboratory,0.5,115,Pacific Northwest Laboratory  ,0.5,115,Pacific Northwest Laboratory ,0.5,115,Northwest Pacific laboratory,0.5,115,Pacific Northwest Laboratory,0.5,115,Pacific Northwest Laboratory,0.5,115,Pacific Northwest Laboratory,0.5,115,Pacific Northwest Laboratory,0.5,115,Pacific Northwest laboratory,0.5
116,california franchise tax board,0.1111,116,The California Franchise Tax Agency,0.1667,116,The California Franchise Tax Commission,0.1,116,The California Privileges and Immunities Board  ,0.0028,116,The California franchise tax agency ,0.1667,116,California franchise tax board,0.1111,116,California Franchise Tax Board,0.1111,116,California Council on Franchise Taxes,0.25,116,California tax board franchises,0.1111,116,The California Board of Licensing,0.05,116,California franchise tax board,0.1111
117,dangers of asbestos,0.5,117,The dangers of asbestos ,0.5,117,The Dangers of Asbestos,0.5,117,The dangers of asbestos,0.5,117,The dangers of Asbestos ,0.5,117,dangers of asbestos,0.5,117,Hazards of asbestos,1.0,117,the risks of asbestos,0.3333,117,Asbestos hazards,1.0,117,The dangers of asbestos,0.5,117,The dangers of amnesia,0.0
118,poem in your pocket day,1.0,118,Poetry is in your pocket ,1.0,118,The poem is in my pocket ,0.3333,118,A poem in your pocket day ,1.0,118,Poetry in your pocket day ,1.0,118,Poem in your pocket,1.0,118,Poem in the Pocket Day,1.0,118,Poem in my pocket,0.3333,118,Poems in your pocket day,1.0,118,Your pocket day poem,1.0,118,Poetry in your day bag,0.0118
119,interview thank you,0.1111,119,Thank you for the interview ,0.1111,119,Thank you for the interview ,0.1111,119,Thanks for the interview ,0.1,119,Thank you for the interview ,0.1111,119,Thanks for the interview ,0.1,119,Thanks for the interview ,0.1,119,Thanks for the interview ,0.1,119,Thanks for the interview ,0.1,119,Thank you for the interview,0.1111,119,Thank you for the interview ,0.1111
120,tv on computer,0.0909,120,The TV is on the computer ,0.0909,120,TV on the computer ,0.0909,120,TV on the computer  ,0.0909,120,TV on the computer ,0.0909,120,television on computer,0.0263,120,Television on the computer,0.0263,120,TV on the computer,0.0909,120,TV on the computer,0.0909,120,TV on the computer,0.0909,120,television on a computer,0.0263
121,sit and reach test,0.25,121,The test was a test ,0.0,121,Sit and reach test,0.25,121,The seating and access test ,0.0,121,The seating and arrival test,0.0,121,seat and range test,0.0,121,The following information shall be provided ,0.0,121,Sitting and achievement testing,0.0435,121,Sit down and get the test,0.0909,121,The test of sitting,0.0256,121,the test of staying and reaching,0.003
122,culpeper national cemetery,0.0455,122,The Kappa National Cemetery,0.0,122,The National Cemetery of Culpeper,0.0455,122,The national cemetery of Collier  ,0.001,122,Culpeper National Cemetery,0.0455,122,the Culpeper National Cemetery,0.0455,122,Culpeper National Cemetery,0.0455,122,Culpeper National Cemetery,0.0455,122,Culpeper s national cemetery,0.0455,122,The National Cemetery of the Criminal,0.0041,122,national cemetery of the culpeper,0.0455
123,von willebrand disease,0.3333,123,This is the case with Woolwell Brand disease ,0.0,123,The Wilbland Poison,0.0,123,Von Wilbrand  s illness  ,0.0021,123,The illness of Von Wilbernd ,0.02,123,from von Willebrand s disease,0.3333,123,from Willebrand s disease,0.3333,123,The illness of von Wilbrand,0.0051,123,The illness of von Willebrand,1.0,123,One of the most common causes of death is the illness of the widow ,0.0,123,von Willebrand s disease,0.3333
124,bowflex power pro,0.5,124,Power is special ,0.0,124,Flex Power Pro ,0.0,124,The power of the moving bow  ,0.0,124,Believe in Peru,0.0,124,The pro of bowflex power,0.5,124,Bowflex Power Pro,0.5,124,Professional bowflex,0.5,124,Power pro bowflex,0.5,124,Curve power pro,0.0012,124,bowflex power pro,0.5
125,butter and margarine,0.5,125,Oil ,0.0,125,Butter and margarine ,0.5,125,Butter and margarine  ,0.5,125,And the corn and margarine ,0.0081,125,beef and margarine,0.0238,125,Butter and margarine,0.5,125,oil and margarine,0.0217,125,Butter and margarine,0.5,125,Ney and Margarine,0.0233,125,Oil and margarine,0.0217
126,us capitol map,0.0013,126,Map of the capital of the United States ,0.0,126,Map of the capital of the United States,0.0,126,Map of the United States,0.0,126,The map of the capital of the United States ,0.0,126,map of the capitol of the united states,0.0049,126,US chapter card,0.0,126,Map of the capital of the United States,0.0,126,map of the United States,0.0,126,Map of the U S  capital,0.0,126,map of the capital of the United States,0.0
127,dutchess county tourism,1.0,127,Tour of the Dutch province,0.0,127,Tourist of the Dutch county,0.0,127,Tourism in the province of Holland,0.0,127,Tourism in the Netherlands,0.0,127,tourism in the Dutch county,0.001,127,Tourism in the Dutch county,0.001,127,Tourism in the Dutch district,0.0,127,tourism in the Netherlands,0.0,127,Dutch county tourism,0.001,127,Tourist district of the Netherlands,0.0
128,atypical squamous cells,0.125,128,It is a homotypal cell ,0.0,128,It s an abnormal vertical cell ,0.0189,128,Stem cells are not typical  ,0.0,128,Unusual scarring cells,0.0,128,atypical squamous cells,0.125,128,Other non typical foam cells,0.0,128,Atypical flat cells,0.3333,128,Unusual squamous cells,0.0094,128,Atypical cooled cells,0.1,128,atypical squamous cells,0.125
129,iowa food stamp program,0.0109,129,The Iowa Food Tickets Program,0.0045,129,Iowa food stamp program,0.0109,129,The food card program  ,0.0,129,Eva s food schedule ,0.0,129,Iowa s good food program,0.0049,129,Iowa food stamp program,0.0109,129,Food stamps in Iowa,0.0167,129,Iowa food mining program,0.0062,129,Iowa Food Stamp Program,0.0109,129,Iowa food packaging program,0.0041
130,fact on uranus,1.0,130,The truth about amnesia ,0.0,130,The Facts About Uranus,0.1667,130,The truth about uranium ,0.0,130,The truth about Uranus ,0.1,130,made of uranium,0.0,130,The following is the list of the countries of the Union ,0.0,130,The fact about uranium,0.0,130,facts about uranium,0.0,130,The Truth About Uranus,0.1,130,The truth about uranium,0.0
131,equal opportunity employer,0.0217,131,Employers of same sex opportunities,0.0014,131,Employers with equal opportunities,0.0217,131,Equal employer in opportunity,0.0217,131,Employer of equal opportunity,0.0217,131,equal opportunities employer,0.0217,131,Employers with equal rights,0.003,131,Employer on equal opportunities,0.0217,131,Employers of equal opportunity,0.0217,131,Employer who provides equal opportunities,0.0078,131,equal opportunity employer,0.0217
132,mothers day songs,0.1,132,Mother s Day song,0.125,132,Mother sing me,1.0,132,Mother s day songs ,0.125,132,Mother s day songs ,0.125,132,songs of mother s day,0.125,132,Mother s day songs,0.125,132,Mother s Day songs,0.125,132,Mother s day song,0.125,132,Mother s Day songs,0.125,132,Mother s day songs,0.125
133,all men are created equal,1.0,133,We are all created equal ,0.1667,133,And every human being is created equal ,0.0244,133,All men are created equal  ,1.0,133,All men are created equal ,1.0,133,All men are created equal,1.0,133,All people are equal ,0.0175,133,All men are equal ,0.037,133,All men are created equal,1.0,133,All men are created equal ,1.0,133,All humans are created equal ,0.0667
134,electronic skeet shoot,0.0045,134,Electronic shoots ,0.0,134,Electronic skate shooting,0.0,134,Electronic firing  ,0.0,134,The electrical shot ,0.0,134,shooting the electronic hook,0.0,134,Electronic fire,0.0,134,The electronic sketch,0.0,134,Shoot the electronic skeleton,0.0,134,Shooting electronic skate,0.0,134,electronic skeet shot,0.0043
135,source of the nile,0.0085,135,The source of the Nile ,0.0085,135,The source of the Nile River,0.0031,135,The source of the Nile ,0.0085,135,The source of the Nile ,0.0085,135,source of the Nile,0.0085,135,Source of the Nile,0.0085,135,The source of the Nile,0.0085,135,source of the Nile,0.0085,135,The source of the Nile,0.0085,135,source of the Nile,0.0085
136,american military university,0.0011,136,The U S  Army,0.0,136,The U S  Military Academy,0.0,136,The U S  Military Academy  ,0.0,136,The U S  Military Academy,0.0,136,U S  military university,0.0,136,American Military University,0.0011,136,The American Military University,0.0011,136,The U S  Military University,0.0,136,The U S  Military University,0.0,136,U S  military university,0.0
137,rock and gem shows,1.0,137,The rock and the gem show ,1.0,137,Rock and jewelry show ,0.5,137,The rock and jewelry shows ,0.5,137,Stone and jewelry exhibits,0.0233,137,rock and precious stones,0.0,137,Rock and gem show,1.0,137,The rock and roll show ,0.25,137,Exhibition of stones and jewels,0.0021,137,Rock and rock shows,0.0667,137,exhibitions of stone and jewelry,0.0233
138,jax chemical company,1.0,138,Jax Chemical Co ,0.125,138,The Jax Chemical Company ,1.0,138,The Geeks Chemical Company  ,0.0,138,The Geeks Chemical Company ,0.0,138,chemical company jax,1.0,138,Jax chemical companies,1.0,138,chemical company jax,1.0,138,chemical company jax,1.0,138,The Jacks Institute of Chemistry,0.0,138,chemical company jax,1.0
139,rocky mountain news,0.0323,139,The Rock Mountain News,0.0,139,The news from the rock ,0.0,139,News from the Rockies  ,0.0769,139,The news of the Rocky Mountains ,0.0323,139,News from the Rocky Mountain,0.0417,139,Mountains from the Rocky Mountains,0.0052,139,News of the Rocky Mountains,0.0323,139,rock mountain news,0.0,139,Rock Mountain News,0.0,139,the story of the rocky mountains,0.0233
140,east ridge high school,0.0033,140,High school ,0.0,140,East Ridge High School ,0.0033,140,High school in East Ridge  ,0.0033,140,East Ridge High School ,0.0033,140,East Ridge High School,0.0033,140,East Ridge High School,0.0033,140,Eastern High School,0.0,140,East Ridge High School,0.0033,140,East Ridge High School,0.0033,140,East Ridge High School,0.0033
141,va dmv registration,0.0833,141,The national product registration,0.0,141,Register the dmv,0.0769,141,Sign up at the   ,0.0,141,Registered,0.0,141,of registration by the Dmv,0.0385,141,V V  Registration,0.0,141,registration in the DMV,0.0385,141,dmv registration,0.0385,141,Air patent registration,0.0,141,registration of the dmv,0.0385
142,illinois state tax,0.25,142,Illinois tax ,0.2,142,Taxes in the state of Illinois ,0.25,142,Illinois state tax  ,0.25,142,Taxation in the state of Illinois,0.1667,142,taxation of the State of Illinois,0.1667,142,Tax of the State of Illinois,0.25,142,Tax on the state of Illinois,0.25,142,taxes of the state of Illinois,0.25,142,Illinois State Tax,0.25,142,taxation of the state of Illinois,0.1667
143,arkadelphia health club,0.0,143,The Arkadelphia Health Club,0.0,143,The Acadelphian Health Club ,0.0,143,The health club  ,0.0,143,The Archadelfia Health Club ,0.0,143,Arcadelphian health club,0.0,143,Arcadelphian health club,0.0,143,The Arcadelphian health club,0.0,143,the arkadelphia health club,0.0,143,The Arcadia Health Society is a nonprofit organization that provides health care services to children and youths ,0.0,143,Arkadelphia health club,0.0
144,trombone for sale,0.2,144,It s sold ,0.0,144,Tromone sales,0.0,144,Trampons for sale  ,0.0,144,Trampons for sale ,0.0,144,trombone for sale,0.2,144,Trombones for sale,0.2,144,Trombone for sale,0.2,144,trombone for sale,0.2,144,Trombone for sale,0.2,144,trombone for sale,0.2
145,vines for shade,0.2,145,It s the fruit ,0.0,145,A vine for shade,0.2,145,The grapes for the shade ,0.0323,145,Grapes for the Shade,0.0323,145,Vineyards in the shade,0.0,145,Vineyards for shade,0.0,145,Grapevine for shade,0.04,145,Vine for shade,0.2,145,The vineyards are suitable for shade,0.0,145,shady grapes,0.0196
146,sherwood regional library,0.5,146,Sherwood Regional Library,0.5,146,Sherwood County Library,0.0333,146,The regional library in Sherwood  ,0.5,146,The Sherwood District Library ,0.125,146,Sherwood Regional Library,0.5,146,The Scherwood Regional Library,0.0082,146,Sherwood Regional Library,0.5,146,the Sherwood regional library,0.5,146,The Sherwood Regional Library,0.5,146,sherwood strip library,0.0345
147,tangible personal property tax,1.0,147,Personal property tax,0.1429,147,Incidentally  personal property taxes are,0.2,147,Personal property tax,0.1429,147,Personal property tax,0.1429,147,Tax on tangible personal property,1.0,147,The amount of the adjustment shall be reported in the following column ,0.0023,147,tax on material property,0.25,147,real personal property tax,0.0455,147,A substantial personal property tax,0.0909,147,personal property tax,0.1429
148,martha stewart and imclone,1.0,148,Martha Stewart and Imclone ,1.0,148,Martha Stewart and the Imklone ,0.0345,148,Martha Stewart and Emklone ,0.0345,148,Martha Stewart and Umkhonto we are ,0.0333,148,Martha Stewart and Imclone,1.0,148,Martha Stewart and Imclone,1.0,148,Martha Stewart and Imklone,0.0345,148,Martha Stewart and Imclone,1.0,148,Martha Stewart and Imklone,0.0345,148,Martha Stewart and Imclone,1.0
149,uplift at yellowstone national park,0.1667,149,The rise of Yellowstone National Park,0.0667,149,The elevator at the Yellowstone National Park ,0.1,149,He was raised in Yellowstone National Park ,0.0556,149,Promotion at Yellowstone National Park,0.0417,149,The elevator at Yellowstone National Park,0.1,149,The Yellowstone National Park is closed,0.0833,149,The climb in Yellowstone National Park,0.0476,149,Raised in Yellowstone National Park,0.0625,149,Rise in Yellowstone National Park,0.0667,149,uplift in Yellowstone National Park,0.1667
150,tn highway patrol,0.0244,150,TN Highway Patrol,0.0244,150,Highway patrol ,0.0031,150,Highway patrol  ,0.0031,150,Highway patrol,0.0031,150,Road patrol,0.0012,150,Tn motorway patrol,0.0025,150,TN of the road patrol,0.0204,150,The big tour,0.0,150,tn highway patrol,0.0244,150,tn road patrol,0.0204
151,403b,1.0,151,   b ,0.0,151,   b,0.0,151,   b  ,0.0,151,   b,0.0,151,   b,0.0,151,Other articles,0.0,151,   b,0.0,151,   b,0.0,151,   b,0.0,151,   b,0.0
152,angular cheilitis,0.0,152,Coronary artery disease ,0.0,152,The angle of the salt,0.0,152,Corner head inflammation  ,0.0,152,It s a corner ,0.0,152,angular sheability,0.0,152,Other  of a kind used for the manufacture of goods,0.0,152,The corner helite,0.0,152,angular paralysis,0.0,152,angular curvature,0.0,152,angular chelulitis,0.0
153,pocono,0.3333,153,Poconno ,0.0,153,Pocono is here ,0.3333,153,The bocone  ,0.0,153,The pooch ,0.0,153,Pocono,0.3333,153,Pocono,0.3333,153,The Poconos,0.3333,153,Pocono is,0.3333,153,the bogono,0.0,153,Better,0.0
154,figs,0.0909,154,The tree ,0.0,154,I don t know ,0.0,154,The fig  ,0.0909,154,The figs ,0.0909,154,the figs,0.0909,154,Figs,0.0909,154,The figs,0.0909,154,figs,0.0909,154,The fig trees,1.0,154,figs,0.0909
155,last supper painting,1.0,155,The last dinner drawing ,0.0,155,Last dinner painting,0.2,155,The last painting ,0.0909,155,The last painting dinner ,0.2,155,Last table,0.0,155,Last supper painting,1.0,155,The last picture  ,0.0,155,Last dinner painting,0.2,155,The painting depicts the Last Supper,0.5,155,picture of the last supper,0.125
156,university of phoenix,0.5,156,The University of Nix ,0.0,156,The University of Phoenix,0.5,156,The University of Phoenix  ,0.5,156,The University of Phoenix ,0.5,156,University of Phoenix,0.5,156,University of Phoenix,0.5,156,The University of Phoenix,0.5,156,The University of Phoenix,0.5,156,The University of Phoenix,0.5,156,the University of Phoenix,0.5
157,the beatles rock band,0.1667,157,The Beatles ,0.0059,157,The Beatles are rock band ,0.1667,157,The Beatles  ,0.0059,157,The rock band The Beatles ,0.1667,157,the Beatles rock band,0.1667,157,The Beatles rock band,0.1667,157,The Beatles rock band,0.1667,157,The Beatles rock band,0.1667,157,The Beatles were a rock band ,0.037,157,The Beatles rock band,0.1667
158,septic system design,1.0,158,The design of the seven spin system ,0.0,158,Design of the septic system,1.0,158,The design of the decentralized system,0.0833,158,Design of the septic system,1.0,158,design of the septic system,1.0,158,Design of the septic system,1.0,158,the construction of the septic system,1.0,158,design of septic systems,1.0,158,Design of the septic system,1.0,158,design of septic system,1.0
159,porterville,0.3333,159,Portville  the city of Portville ,0.0,159,I m not sure ,0.0,159,Porterville  ,0.3333,159,Portroyl ,,159,Portreville,,159,Portville,0.0,159,I  m not here  ,0.0,159,The porterville,0.3333,159,Portville,0.0,159,Porterville,0.3333
160,grilling,0.0128,160,The roast meat ,0.0,160,Gary  please ,0.0,160,The confusion ,0.0,160,They re grilling ,0.0047,160,grilling,0.0128,160,Grill,0.0128,160,The grids,0.0,160,Fries,0.0,160,Glue,0.0,160,heating,0.0
161,furniture for small spaces,0.037,161,Small space furniture ,0.037,161,Furniture in a small space ,0.037,161,Furniture for small places  ,0.0139,161,Furniture for small spaces,0.037,161,furniture for small spaces,0.037,161,Furniture for small rooms,0.0042,161,furniture for small rooms,0.0042,161,furniture for small space,0.037,161,Furniture for small spaces,0.037,161,furniture for small space,0.037
162,dnr,0.0833,162,Other things ,0.0,162,Double that ,0.0,162,A ,,162,This is it ,,162,Other,0.0,162,The Commission,0.0,162,The DNR,0.0833,162,DN,0.0,162,The D M C ,0.0,162,Dr ,0.0
163,arkansas,0.025,163,The state of Arkansas  USA,1.0,163,Arkansas ,0.025,163,Arkansas  ,0.025,163,Arkansas ,0.025,163,The Arkansas,0.025,163,Arkansas,0.025,163,Arkansas,0.025,163,Arkansas,0.025,163,Arkansas,0.025,163,Arkansas,0.025
164,hobby stores,0.0556,164,The hobby shop ,0.0476,164,It s a hobby shop ,0.25,164,Interested shops,0.0,164,The entertainment shops,0.0,164,leisure business,0.0,164,Hobby shops,0.0476,164,Hobby shops,0.0476,164,hobby shop,0.0476,164,The entertainment shops,0.0,164,entertainment shops,0.0
165,blue throated hummingbird,0.0286,165,The blue throated fellow humans ,0.0,165,Colliver with a blue neck ,0.0,165,The blue throated Alliance bird  ,0.0,165,It s the same blue collar ,0.0,165,Blue throated hummingbird,0.0286,165,Other  of a kind used for the manufacture of goods of heading     ,0.0,165,The blue throat of a cobbler,0.0,165,Blue footed hummingbirds,0.0042,165,The blue collared Olympic,0.0,165,blue throated hummingbird,0.0286
166,computer programming,0.0167,166,Computer programming ,0.0167,166,Computer programming,0.0167,166,Computer programming,0.0167,166,Computer programming,0.0167,166,computer programming,0.0167,166,Computer programming,0.0167,166,computer programming,0.0167,166,Computer programming,0.0167,166,computer programming,0.0167,166,computer programs,0.0167
167,barbados,0.0294,167,Fish ,0.0,167,Barbados,0.0294,167,Barbados  ,0.0294,167,It s ruined ,0.0,167,The Beards,0.0,167,The following is the list of countries ,0.0,167,Barbados,0.0294,167,Armed,0.0,167,Barbados,0.0294,167,drug industries,0.0
168,lipoma,0.5,168,The tumor ,0.0,168,I have a lymphoma ,0.0,168,Aciditis  ,0.0,168,The lipum ,0.0,168,Lipoma,0.5,168,Lipomas and other,0.2,168,liposomes,0.0,168,Lipomas,0.5,168,bone marrow,0.0,168,when the disease,0.0
169,battles in the civil war,0.0345,169,Civil War,0.0286,169,The Civil War ,0.0286,169,Your battles in the Civil War  ,0.0345,169,Civil War battles,0.0345,169,battles of the civil war,0.0345,169,Battles in the Civil War,0.0345,169,battles in the civil war,0.0345,169,The Civil War,0.0286,169,The Civil War was a period of civil war ,0.0135,169,civil war,0.0286
170,scooters,0.0041,170,The scooter ,0.0041,170,The scooter ,0.0041,170,The bikes  ,0.0,170,The scooters ,0.0041,170,the scooters,0.0041,170,Motor vehicles,0.0,170,The motorcycle,0.0,170,scooter,0.0041,170,scooters,0.0041,170,motorcycle,0.0
171,ron howard,1.0,171,Ron Howard ,1.0,171,  What ,0.0,171,Ron Howard  ,1.0,171,Ron Howard ,1.0,171,Ron Howard,1.0,171,Ron Howard,1.0,171,Ron Howard,1.0,171,Ron Howard,1.0,171,Ron Howard,1.0,171,Ron Howard,1.0
