qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5
QALD2_te-57,Give me the Apollo 14 astronauts.,0.2969,0,,,,,,,,,,,,,,,
QALD2_te-58,What is the time zone of Salt Lake City?,0.0114,3,backtranslation_pes_arab,0.0176,What s the time zone in Salt Lake City,backtranslation_fra_latn,0.0176,What s the time zone in Salt Lake City,backtranslation_deu_latn,0.0176,What s the time zone of Salt Lake City,,,,,,
QALD2_te-59,Which U.S. states are in the same timezone as Utah?,0.0,1,backtranslation_fra_latn,0.0005,Which US states are in the same time zone as Utah,,,,,,,,,,,,
QALD2_te-60,Give me a list of all lakes in Denmark.,0.0008,0,,,,,,,,,,,,,,,
QALD2_te-63,Give me all Argentine films.,0.0016,0,,,,,,,,,,,,,,,
QALD2_te-64,Give me all launch pads operated by NASA.,0.2323,0,,,,,,,,,,,,,,,
QALD2_te-65,Which instruments did John Lennon play?,0.0869,0,,,,,,,,,,,,,,,
QALD2_te-66,Which ships were called after Benjamin Franklin?,0.0335,5,backtranslation_yue_hant,0.106,Which ship is named after Benjamin Franklin,backtranslation_pes_arab,0.092,What ships are named after Benjamin Franklin,backtranslation_fra_latn,0.074,Which ships were named after Benjamin Franklin,backtranslation_deu_latn,0.074,Which ships were named after Benjamin Franklin,backtranslation_dan_latn,0.074,Which ships were named after Benjamin Franklin
QALD2_te-67,Who are the parents of the wife of Juan Carlos I?,0.0227,0,,,,,,,,,,,,,,,
QALD2_te-72,In which U.S. state is Area 51 located?,0.0004,0,,,,,,,,,,,,,,,
QALD2_te-75,Which daughters of British earls died in the same place they were born in?,0.0085,0,,,,,,,,,,,,,,,
QALD2_te-76,List the children of Margaret Thatcher.,0.7119,0,,,,,,,,,,,,,,,
QALD2_te-77,Who was called Scarface?,0.1,4,backtranslation_yue_hant,0.3114,Who is Scarface,backtranslation_fra_latn,0.3114,Who was Scarface,backtranslation_deu_latn,0.3114,Who was Scarface,backtranslation_dan_latn,0.3114,Who was Scarface,,,
QALD2_te-80,Give me all books by William Goldman with more than 300 pages.,0.1807,5,backtranslation_pes_arab,0.2706,Give me all the books of William Goldman  over     pages,backtranslation_yue_hant,0.1898,Give me all the more than     pages of William Goldman books,backtranslation_fra_latn,0.1898,Give me all the books of William Goldman with more than     pages,backtranslation_deu_latn,0.1898,Give me all the books by William Goldman with more than     pages,backtranslation_dan_latn,0.1898,Give me all the books by William Goldman with more than     pages
QALD2_te-81,Which books by Kerouac were published by Viking Press?,0.5374,2,backtranslation_deu_latn,0.6107,What books by Kerouac were published by Viking Press,backtranslation_dan_latn,0.6107,What books by Kerouac were published by Viking Press,,,,,,,,,
QALD2_te-82,Give me a list of all American inventions.,0.0005,0,,,,,,,,,,,,,,,
QALD2_te-84,Who created the comic Captain America?,0.0422,2,backtranslation_fra_latn,0.0602,Who created the Captain America comic book,backtranslation_deu_latn,0.0602,Who created the comic book Captain America,,,,,,,,,
QALD2_te-86,What is the largest city in Australia?,0.0258,1,backtranslation_deu_latn,0.2189,Which city is the largest in Australia,,,,,,,,,,,,
QALD2_te-87,Who composed the music for Harold and Maude?,0.1678,0,,,,,,,,,,,,,,,
QALD2_te-88,Which films starring Clint Eastwood did he direct himself?,0.4992,0,,,,,,,,,,,,,,,
QALD2_te-89,In which city was the former Dutch queen Juliana buried?,0.2,1,backtranslation_fra_latn,0.5,In what city was the former Dutch Queen Juliana buried,,,,,,,,,,,,
QALD2_te-90,Where is the residence of the prime minister of Spain?,0.3929,0,,,,,,,,,,,,,,,
QALD2_te-91,Which U.S. State has the abbreviation MN?,0.0445,1,backtranslation_fra_latn,0.1206,Which US state has the abbreviation MN,,,,,,,,,,,,
QALD2_te-92,Show me all songs from Bruce Springsteen released between 1980 and 1990.,0.107,0,,,,,,,,,,,,,,,
QALD2_te-93,Which movies did Sam Raimi direct after Army of Darkness?,0.4698,3,backtranslation_fra_latn,0.5386,What movies did Sam Raimi direct after Army of Darkness,backtranslation_dan_latn,0.5386,What movies did Sam Raimi direct after Army of Darkness,backtranslation_deu_latn,0.4855,What movies did Sam Raimi direct at Army of Darkness,,,,,,
QALD2_te-95,Who wrote the lyrics for the Polish national anthem?,0.0278,0,,,,,,,,,,,,,,,
QALD2_te-97,Who painted The Storm on the Sea of Galilee?,0.3135,0,,,,,,,,,,,,,,,
QALD2_te-98,Which country does the creator of Miffy come from?,0.3704,3,backtranslation_fra_latn,0.4286,What country is Miffy s creator from,backtranslation_deu_latn,0.4286,What country is Miffy s creator from,backtranslation_dan_latn,0.4286,What country is Miffy s creator from,,,,,,
QALD2_te-99,For which label did Elvis record his first album?,0.0189,1,backtranslation_yue_hant,0.0191,For which record label did Elvis record his first album,,,,,,,,,,,,
QALD2_te-100,Who produces Orangina?,0.4737,0,,,,,,,,,,,,,,,
QALD2_tr-1,Give me all female Russian astronauts.,0.2349,0,,,,,,,,,,,,,,,
QALD2_tr-3,Who is the daughter of Bill Clinton married to?,0.0041,4,backtranslation_yue_hant,0.0068,Who married Bill Clinton s daughter,backtranslation_fra_latn,0.0068,Who is Bill Clinton s daughter married to,backtranslation_deu_latn,0.0068,Who is Bill Clinton s daughter married to,backtranslation_dan_latn,0.0068,Who is Bill Clinton s daughter married to,,,
QALD2_tr-4,Which river does the Brooklyn Bridge cross?,0.08,1,backtranslation_dan_latn,0.1526,Which river crosses the Brooklyn Bridge,,,,,,,,,,,,
QALD2_tr-6,Where did Abraham Lincoln die?,0.0176,0,,,,,,,,,,,,,,,
QALD2_tr-8,Which states of Germany are governed by the Social Democratic Party?,0.0651,3,backtranslation_yue_hant,0.1055,Which state in Germany is ruled by the Social Democratic Party,backtranslation_fra_latn,0.1055,Which states in Germany are ruled by the Social Democratic Party,backtranslation_dan_latn,0.1055,Which states in Germany are ruled by the Social Democratic Party,,,,,,
QALD2_tr-9,Which U.S. states possess gold minerals?,0.0163,1,backtranslation_fra_latn,0.0204,Which states own gold minerals,,,,,,,,,,,,
QALD2_tr-10,In which country does the Nile start?,0.0022,4,backtranslation_deu_latn,0.0144,Which country is the beginning of the Nile,backtranslation_yue_hant,0.0057,From which country does the Nile begin,backtranslation_pes_arab,0.0052,In which country does the Nile begin,backtranslation_dan_latn,0.0052,In which country does the Nile begin,,,
QALD2_tr-11,Which countries have places with more than two caves?,0.0224,0,,,,,,,,,,,,,,,
QALD2_tr-13,Which classis does the Millepede belong to?,1.0,0,,,,,,,,,,,,,,,
QALD2_tr-15,Who created Goofy?,0.1229,0,,,,,,,,,,,,,,,
QALD2_tr-16,Give me the capitals of all countries in Africa.,0.0,1,backtranslation_dan_latn,0.0001,Give me the capitals of every country in Africa,,,,,,,,,,,,
QALD2_tr-17,Give me all cities in New Jersey with more than 100000 inhabitants.,0.0056,0,,,,,,,,,,,,,,,
QALD2_tr-18,Which museum exhibits The Scream by Munch?,0.0066,4,backtranslation_fra_latn,0.0093,What museum is showing Munch s Cry,backtranslation_deu_latn,0.0084,Which museum is showing  The Scream of Munch,backtranslation_dan_latn,0.0084,Which museum is showing  Scream of the Munch,backtranslation_yue_hant,0.0078,Which museum has Munch s  Screaming,,,
QALD2_tr-21,Which states border Illinois?,0.0461,0,,,,,,,,,,,,,,,
QALD2_tr-22,In which country is the Limerick Lake?,0.1183,0,,,,,,,,,,,,,,,
QALD2_tr-23,Which television shows were created by Walt Disney?,0.1962,0,,,,,,,,,,,,,,,
QALD2_tr-24,Which mountain is the highest after the Annapurna?,0.1915,0,,,,,,,,,,,,,,,
QALD2_tr-25,In which films directed by Garry Marshall was Julia Roberts starring?,0.6629,0,,,,,,,,,,,,,,,
QALD2_tr-26,Which bridges are of the same type as the Manhattan Bridge?,0.0045,1,backtranslation_yue_hant,0.0066,Which bridge is the same as the Manhattan Bridge,,,,,,,,,,,,
QALD2_tr-28,Which European countries have a constitutional monarchy?,0.0945,1,backtranslation_yue_hant,0.2254,Which country in Europe has a constitutional monarchy,,,,,,,,,,,,
QALD2_tr-29,Which awards did WikiLeaks win?,0.1806,1,backtranslation_deu_latn,0.4444,What awards has WikiLeaks won,,,,,,,,,,,,
QALD2_tr-30,Which state of the USA has the highest population density?,0.0434,0,,,,,,,,,,,,,,,
QALD2_tr-31,What is the currency of the Czech Republic?,0.1984,0,,,,,,,,,,,,,,,
QALD2_tr-32,Which countries in the European Union adopted the Euro?,0.2718,0,,,,,,,,,,,,,,,
QALD2_tr-34,Which countries have more than two official languages?,0.0248,1,backtranslation_yue_hant,0.0337,Which country has more than two official languages,,,,,,,,,,,,
QALD2_tr-35,Who is the owner of Universal Studios?,0.0016,4,backtranslation_pes_arab,0.0041,Who owns Universal Studios,backtranslation_fra_latn,0.0041,Who owns the Universal Studios,backtranslation_deu_latn,0.0041,Who owns Universal Studios,backtranslation_dan_latn,0.0041,Who owns Universal Studios,,,
QALD2_tr-36,Through which countries does the Yenisei river flow?,0.2603,2,backtranslation_fra_latn,0.2645,Which country is the Yenisei River flowing into,backtranslation_dan_latn,0.2636,In which countries does the Yenisei River flow,,,,,,,,,
QALD2_tr-38,Which monarchs of the United Kingdom were married to a German?,0.0149,0,,,,,,,,,,,,,,,
QALD2_tr-40,What is the highest mountain in Australia?,0.1217,0,,,,,,,,,,,,,,,
QALD2_tr-41,Give me all soccer clubs in Spain.,0.0,5,backtranslation_pes_arab,0.0001,Give me all the Spanish football clubs,backtranslation_yue_hant,0.0001,Give me all the football clubs in Spain,backtranslation_fra_latn,0.0001,Give me all the football clubs in Spain,backtranslation_deu_latn,0.0001,Give me all the football clubs in Spain,backtranslation_dan_latn,0.0001,Give me all the football clubs in Spain
QALD2_tr-42,What are the official languages of the Philippines?,0.0587,0,,,,,,,,,,,,,,,
QALD2_tr-43,Who is the mayor of New York City?,0.0973,0,,,,,,,,,,,,,,,
QALD2_tr-44,Who designed the Brooklyn Bridge?,0.3138,0,,,,,,,,,,,,,,,
QALD2_tr-45,Which telecommunications organizations are located in Belgium?,0.156,3,backtranslation_deu_latn,0.4104,What telecommunications companies are located in Belgium,backtranslation_dan_latn,0.3958,Which telecommunications companies are located in Belgium,backtranslation_pes_arab,0.1572,What telecommunications organizations are located in Belgium,,,,,,
QALD2_tr-47,What is the highest place of Karakoram?,0.4127,0,,,,,,,,,,,,,,,
QALD2_tr-49,Give me all companies in the advertising industry.,0.0129,0,,,,,,,,,,,,,,,
QALD2_tr-50,What did Bruce Carver die from?,0.0238,1,backtranslation_deu_latn,0.0417,What killed Bruce Carver,,,,,,,,,,,,
QALD2_tr-51,Give me all school types.,0.0,0,,,,,,,,,,,,,,,
QALD2_tr-52,Which presidents were born in 1945?,0.0241,0,,,,,,,,,,,,,,,
QALD2_tr-53,Give me all presidents of the United States.,0.0,0,,,,,,,,,,,,,,,
QALD2_tr-54,Who was the wife of U.S. president Lincoln?,0.0755,0,,,,,,,,,,,,,,,
QALD2_tr-55,Who developed the video game World of Warcraft?,0.2721,0,,,,,,,,,,,,,,,
QALD2_tr-57,List all episodes of the first season of the HBO television series The Sopranos!,0.3733,1,backtranslation_fra_latn,0.374,List all the episodes from the first season of the HBO television series The Sopranos,,,,,,,,,,,,
QALD2_tr-58,Who produced the most films?,0.0006,5,backtranslation_fra_latn,0.002,Who produced the most movies,backtranslation_deu_latn,0.002,Who produced most of the movies,backtranslation_dan_latn,0.002,Who produced the most movies,backtranslation_pes_arab,0.0016,Who made most of the movies,backtranslation_yue_hant,0.001,Who makes the most movies
QALD2_tr-59,Give me all people with first name Jimmy.,0.0002,1,backtranslation_yue_hant,0.0008,Ask all people with the last name Jimmy,,,,,,,,,,,,
QALD2_tr-61,Which mountains are higher than the Nanga Parbat?,0.0738,0,,,,,,,,,,,,,,,
QALD2_tr-62,Who created Wikipedia?,0.0185,1,backtranslation_yue_hant,0.0432,Who founded Wikipedia,,,,,,,,,,,,
QALD2_tr-63,Give me all actors starring in Batman Begins.,0.058,4,backtranslation_fra_latn,0.0874,Give me all the actors who play in Batman Begins,backtranslation_pes_arab,0.0733,Give me all the actors in Batman Begins,backtranslation_deu_latn,0.0733,Give me all the actors in Batman Begins,backtranslation_dan_latn,0.0733,Give me all the actors in Batman Begins,,,
QALD2_tr-64,Which software has been developed by organizations founded in California?,0.0141,0,,,,,,,,,,,,,,,
QALD2_tr-65,Which companies work in the aerospace industry as well as on nuclear reactor technology?,0.2406,0,,,,,,,,,,,,,,,
QALD2_tr-68,Which actors were born in Germany?,0.0544,0,,,,,,,,,,,,,,,
QALD2_tr-69,Which caves have more than 3 entrances?,0.0397,0,,,,,,,,,,,,,,,
QALD2_tr-70,Give me all films produced by Hal Roach.,0.758,0,,,,,,,,,,,,,,,
QALD2_tr-71,Give me all video games published by Mean Hamster Software.,0.5609,0,,,,,,,,,,,,,,,
QALD2_tr-72,Which languages are spoken in Estonia?,0.4316,0,,,,,,,,,,,,,,,
QALD2_tr-73,Who owns Aldi?,0.445,0,,,,,,,,,,,,,,,
QALD2_tr-74,Which capitals in Europe were host cities of the summer olympic games?,0.0519,0,,,,,,,,,,,,,,,
QALD2_tr-75,Who has been the 5th president of the United States of America?,0.0123,2,backtranslation_fra_latn,0.1006,Who was the fifth president of the United States of America,backtranslation_deu_latn,0.1006,Who was the fifth president of the United States of America,,,,,,,,,
QALD2_tr-77,Which music albums contain the song Last Christmas?,0.0365,0,,,,,,,,,,,,,,,
QALD2_tr-78,Give me all books written by Danielle Steel.,0.0204,2,backtranslation_yue_hant,0.0366,Give me all the books by Danielle Steel,backtranslation_deu_latn,0.0366,Give me all the books by Danielle Steel,,,,,,,,,
QALD2_tr-79,"Which airports are located in California, USA?",0.4843,0,,,,,,,,,,,,,,,
QALD2_tr-80,Give me all Canadian Grunge record labels.,0.0009,0,,,,,,,,,,,,,,,
QALD2_tr-81,Which country has the most official languages?,0.078,0,,,,,,,,,,,,,,,
QALD2_tr-82,In which programming language is GIMP written?,0.091,0,,,,,,,,,,,,,,,
QALD2_tr-83,Who produced films starring Natalie Portman?,0.2519,1,backtranslation_yue_hant,0.2592,Who made the film starring Natalie Portman,,,,,,,,,,,,
QALD2_tr-84,Give me all movies with Tom Cruise.,0.0364,0,,,,,,,,,,,,,,,
QALD2_tr-85,In which films did Julia Roberts as well as Richard Gere play?,0.7794,0,,,,,,,,,,,,,,,
QALD2_tr-86,Give me all female German chancellors.,0.0294,2,backtranslation_yue_hant,0.0625,To all the female German prime ministers,backtranslation_pes_arab,0.0331,Give me all the women of the Chancellor of Germany,,,,,,,,,
QALD2_tr-87,Who wrote the book The pillars of the Earth?,0.2024,2,backtranslation_pes_arab,0.2116,Who wrote the Pillars of the Earth,backtranslation_yue_hant,0.2116,Who wrote  The Pillars of the Earth,,,,,,,,,
QALD2_tr-89,Give me all soccer clubs in the Premier League.,0.0001,0,,,,,,,,,,,,,,,
QALD2_tr-91,Which organizations were founded in 1950?,0.0068,0,,,,,,,,,,,,,,,
QALD2_tr-92,What is the highest mountain?,0.0166,0,,,,,,,,,,,,,,,
SemSearch_ES-1,44 magnum hunting,0.4133,0,,,,,,,,,,,,,,,
SemSearch_ES-2,B. F. Skinner,0.7706,0,,,,,,,,,,,,,,,
SemSearch_ES-3,Bookwork,0.2778,0,,,,,,,,,,,,,,,
SemSearch_ES-4,NAACP Image Awards,0.5877,0,,,,,,,,,,,,,,,
SemSearch_ES-5,Scott County,0.6087,0,,,,,,,,,,,,,,,
SemSearch_ES-6,air wisconsin,0.097,0,,,,,,,,,,,,,,,
SemSearch_ES-7,airsoft glock,0.2339,0,,,,,,,,,,,,,,,
SemSearch_ES-9,american embassy nairobi,0.0786,5,backtranslation_yue_hant,0.1556,The US Embassy in Nairobi,backtranslation_deu_latn,0.1556,The US Embassy in Nairobi,backtranslation_pes_arab,0.1007,The U S  Embassy in Nairobi,backtranslation_fra_latn,0.1007,U S  Embassy in Nairobi,backtranslation_dan_latn,0.1007,U S  Embassy in Nairobi
SemSearch_ES-10,asheville north carolina,0.5119,0,,,,,,,,,,,,,,,
SemSearch_ES-11,austin powers,0.9549,0,,,,,,,,,,,,,,,
SemSearch_ES-12,austin texas,0.2515,0,,,,,,,,,,,,,,,
SemSearch_ES-13,banana paper making,0.1111,3,backtranslation_fra_latn,1.0,Manufacture of banana paper,backtranslation_deu_latn,1.0,Manufacture of banana paper,backtranslation_dan_latn,1.0,Manufacture of banana paper,,,,,,
SemSearch_ES-14,ben franklin,0.7148,0,,,,,,,,,,,,,,,
SemSearch_ES-15,bradley center,0.5204,0,,,,,,,,,,,,,,,
SemSearch_ES-16,brooklyn bridge,0.574,0,,,,,,,,,,,,,,,
SemSearch_ES-17,butte montana,0.381,0,,,,,,,,,,,,,,,
SemSearch_ES-18,canasta cards,0.8762,0,,,,,,,,,,,,,,,
SemSearch_ES-19,carl lewis,0.2917,0,,,,,,,,,,,,,,,
SemSearch_ES-20,carolina,0.1808,0,,,,,,,,,,,,,,,
SemSearch_ES-21,charles darwin,0.8524,0,,,,,,,,,,,,,,,
SemSearch_ES-22,city of charlotte,0.5673,1,backtranslation_yue_hant,0.5978,Charlotte  the city of Charlotte,,,,,,,,,,,,
SemSearch_ES-23,city of virginia beach,0.3486,0,,,,,,,,,,,,,,,
SemSearch_ES-24,coastal carolina,0.3992,0,,,,,,,,,,,,,,,
SemSearch_ES-25,david suchet,0.3986,0,,,,,,,,,,,,,,,
SemSearch_ES-26,disney orlando,0.3409,0,,,,,,,,,,,,,,,
SemSearch_ES-28,el salvador,0.3887,0,,,,,,,,,,,,,,,
SemSearch_ES-29,ellis college,0.0075,0,,,,,,,,,,,,,,,
SemSearch_ES-30,eloan line of credit,0.0938,2,backtranslation_fra_latn,0.25,credit line,backtranslation_dan_latn,0.25,credit line,,,,,,,,,
SemSearch_ES-31,emery,0.6846,0,,,,,,,,,,,,,,,
SemSearch_ES-32,fitzgerald auto mall chambersburg pa,0.1667,3,backtranslation_dan_latn,0.5,The Fitzgerald Auto Mall at Chambersburg,backtranslation_yue_hant,0.25,Fitzgerald Car Mall in Cumberland  PA,backtranslation_fra_latn,0.25,Fitzgerald auto mall chamber of commerce,,,,,,
SemSearch_ES-33,harry potter,0.7585,0,,,,,,,,,,,,,,,
SemSearch_ES-34,harry potter movie,0.3401,4,backtranslation_pes_arab,0.4663,The Harry Potter film,backtranslation_fra_latn,0.4663,Harry Potter film,backtranslation_deu_latn,0.4663,Harry Potter film,backtranslation_dan_latn,0.4663,Harry Potter film,,,
SemSearch_ES-36,imdb batman returns,0.2439,0,,,,,,,,,,,,,,,
SemSearch_ES-37,jack johnson,0.7779,0,,,,,,,,,,,,,,,
SemSearch_ES-38,jack the ripper,0.7828,0,,,,,,,,,,,,,,,
SemSearch_ES-39,james caldwell high school,0.3495,0,,,,,,,,,,,,,,,
SemSearch_ES-40,james clayton md,0.0175,0,,,,,,,,,,,,,,,
SemSearch_ES-41,joan of arc,0.8827,0,,,,,,,,,,,,,,,
SemSearch_ES-42,john maxwell,0.5854,0,,,,,,,,,,,,,,,
SemSearch_ES-45,keith urban,0.8381,0,,,,,,,,,,,,,,,
SemSearch_ES-47,king arthur,0.62,0,,,,,,,,,,,,,,,
SemSearch_ES-49,laura bush,0.2449,0,,,,,,,,,,,,,,,
SemSearch_ES-50,laura steele bob and tom,0.0,0,,,,,,,,,,,,,,,
SemSearch_ES-52,lincoln park,0.5887,0,,,,,,,,,,,,,,,
SemSearch_ES-53,lynchburg virginia,0.4787,0,,,,,,,,,,,,,,,
SemSearch_ES-54,marc anthony,0.8129,0,,,,,,,,,,,,,,,
SemSearch_ES-56,mario bros,0.8249,0,,,,,,,,,,,,,,,
SemSearch_ES-57,martin luther king,0.7988,0,,,,,,,,,,,,,,,
SemSearch_ES-58,mason ohio,0.1134,0,,,,,,,,,,,,,,,
SemSearch_ES-59,"mercy hospital in des moines, ia",0.3517,2,backtranslation_pes_arab,0.5082,Mercy Hospital in Des Moines  is it,backtranslation_fra_latn,0.5049,Mercy Hospital in Des Moines  Ireland,,,,,,,,,
SemSearch_ES-60,michael douglas,0.5999,0,,,,,,,,,,,,,,,
SemSearch_ES-61,mr rourke fantasy island,0.0351,1,backtranslation_pes_arab,0.25,Mr  Roark  the Island of Fantasy,,,,,,,,,,,,
SemSearch_ES-63,old winchester shotguns,0.4539,0,,,,,,,,,,,,,,,
SemSearch_ES-65,orlando florida,0.4319,0,,,,,,,,,,,,,,,
SemSearch_ES-66,overeaters anonymous,0.6667,2,backtranslation_deu_latn,0.75,Over eating anonymous,backtranslation_dan_latn,0.75,over eating anonymously,,,,,,,,,
SemSearch_ES-67,ovguide movies,0.5,0,,,,,,,,,,,,,,,
SemSearch_ES-68,pierce county washington,0.236,0,,,,,,,,,,,,,,,
SemSearch_ES-70,radio italia online,0.1476,0,,,,,,,,,,,,,,,
SemSearch_ES-71,richmond virginia,0.5215,0,,,,,,,,,,,,,,,
SemSearch_ES-72,rock 103 memphis,0.5024,0,,,,,,,,,,,,,,,
SemSearch_ES-73,rowan university,0.6998,0,,,,,,,,,,,,,,,
SemSearch_ES-74,sacred heart u,0.0815,5,backtranslation_pes_arab,0.2592,The Sacred Heart,backtranslation_yue_hant,0.2592,The Sacred Heart,backtranslation_fra_latn,0.2592,the sacred heart,backtranslation_deu_latn,0.2592,The Sacred Heart,backtranslation_dan_latn,0.2592,The Sacred Heart
SemSearch_ES-75,sagemont church houston tx,0.0,2,backtranslation_pes_arab,0.0833,The Church of the Sacred Heart of Houston  Tx,backtranslation_yue_hant,0.0118,Sagemont Church  Houston,,,,,,,,,
SemSearch_ES-76,san antonio,0.3976,0,,,,,,,,,,,,,,,
SemSearch_ES-77,savannah tech,0.4874,1,backtranslation_pes_arab,0.6397,Savannah technology,,,,,,,,,,,,
SemSearch_ES-78,sharp pc,0.1628,0,,,,,,,,,,,,,,,
SemSearch_ES-79,shobana masala,0.1429,0,,,,,,,,,,,,,,,
SemSearch_ES-80,sonny and cher,0.6625,0,,,,,,,,,,,,,,,
SemSearch_ES-81,south dakota state university,0.2835,0,,,,,,,,,,,,,,,
SemSearch_ES-82,st lucia,0.4996,0,,,,,,,,,,,,,,,
SemSearch_ES-83,st paul saints,0.173,0,,,,,,,,,,,,,,,
SemSearch_ES-84,the dish danielle fishel,1.0,0,,,,,,,,,,,,,,,
SemSearch_ES-85,the longest yard sale,1.0,0,,,,,,,,,,,,,,,
SemSearch_ES-86,the morning call lehigh valley pa,0.0442,2,backtranslation_fra_latn,0.3756,The morning call to Lehigh Valley,backtranslation_dan_latn,0.3756,Morning call to Lehigh Valley,,,,,,,,,
SemSearch_ES-88,thomas jefferson,0.531,0,,,,,,,,,,,,,,,
SemSearch_ES-89,university of north dakota,0.4629,0,,,,,,,,,,,,,,,
SemSearch_ES-90,university of phoenix,0.3216,0,,,,,,,,,,,,,,,
SemSearch_ES-91,westminster abbey,0.7372,0,,,,,,,,,,,,,,,
SemSearch_ES-93,08 toyota tundra,0.3096,3,backtranslation_fra_latn,0.4639,      toyota tundra,backtranslation_deu_latn,0.4639,    Toyota Tundra,backtranslation_dan_latn,0.4639,    Toyota tundra,,,,,,
SemSearch_ES-94,Hugh Downs,0.1069,0,,,,,,,,,,,,,,,
SemSearch_ES-95,MADRID,0.2541,0,,,,,,,,,,,,,,,
SemSearch_ES-96,New England Coffee,0.3125,0,,,,,,,,,,,,,,,
SemSearch_ES-97,PINK PANTHER 2,0.5498,2,backtranslation_deu_latn,0.7548,Pink Panther,backtranslation_dan_latn,0.7548,Pink Panther,,,,,,,,,
SemSearch_ES-98,University of Texas at Austin,0.3925,0,,,,,,,,,,,,,,,
SemSearch_ES-99,University of York,0.1822,0,,,,,,,,,,,,,,,
SemSearch_ES-100,YMCA Tampa,0.0988,0,,,,,,,,,,,,,,,
SemSearch_ES-101,ashley wagner,0.5385,0,,,,,,,,,,,,,,,
SemSearch_ES-102,beach flowers,0.2149,0,,,,,,,,,,,,,,,
SemSearch_ES-104,bourbonnais il,0.3596,0,,,,,,,,,,,,,,,
SemSearch_ES-106,chase masterson,0.7556,0,,,,,,,,,,,,,,,
SemSearch_ES-107,concord steel,1.0,0,,,,,,,,,,,,,,,
SemSearch_ES-108,danielia cotton,1.0,0,,,,,,,,,,,,,,,
SemSearch_ES-109,david hewlett,0.4525,0,,,,,,,,,,,,,,,
SemSearch_ES-111,"eagle rock, ca",0.184,0,,,,,,,,,,,,,,,
SemSearch_ES-114,glenn frey,0.8259,0,,,,,,,,,,,,,,,
SemSearch_ES-115,goodwill of michigan,0.024,0,,,,,,,,,,,,,,,
SemSearch_ES-118,iowa energy,0.4237,0,,,,,,,,,,,,,,,
SemSearch_ES-119,john elliott,0.6982,0,,,,,,,,,,,,,,,
SemSearch_ES-120,lawrence general hospital,0.1513,1,backtranslation_yue_hant,0.4446,The Lawrence Hospital,,,,,,,,,,,,
SemSearch_ES-123,michael zimmerman,1.0,0,,,,,,,,,,,,,,,
SemSearch_ES-124,motorola bluetooth hs850,0.4274,0,,,,,,,,,,,,,,,
SemSearch_ES-125,nokia e73,0.1072,1,backtranslation_pes_arab,0.2165,The Nokia E,,,,,,,,,,,,
SemSearch_ES-127,palm tungsten e2 handheld,0.414,0,,,,,,,,,,,,,,,
SemSearch_ES-128,philadelphia neufchatel cheese,0.0068,2,backtranslation_pes_arab,0.0088,The Philadelphia Neftal cheese,backtranslation_fra_latn,0.0081,New Chateau cheese from Philadelphia,,,,,,,,,
SemSearch_ES-129,pizza populous detroit mi,0.0769,3,backtranslation_dan_latn,1.0,Pizza in Detroit,backtranslation_pes_arab,0.5,The pizza is crowded in Detroit,backtranslation_fra_latn,0.1667,Pizza is very crowded in Detroit,,,,,,
SemSearch_ES-130,plymouth police department,0.0608,2,backtranslation_deu_latn,0.2593,Plymouth Police,backtranslation_dan_latn,0.2593,Plymouth Police,,,,,,,,,
SemSearch_ES-131,scpa san diego,1.0,0,,,,,,,,,,,,,,,
SemSearch_ES-132,sealy mattress co,0.5714,0,,,,,,,,,,,,,,,
SemSearch_ES-135,spring shoes canada,0.0227,0,,,,,,,,,,,,,,,
SemSearch_ES-136,sri lanka government gazette,0.3339,0,,,,,,,,,,,,,,,
SemSearch_ES-137,steak express,0.0185,0,,,,,,,,,,,,,,,
SemSearch_ES-139,the big texan steak house,0.2522,0,,,,,,,,,,,,,,,
SemSearch_ES-141,ventura county court,0.1588,0,,,,,,,,,,,,,,,
SemSearch_LS-1,Apollo astronauts who walked on the Moon,0.7228,0,,,,,,,,,,,,,,,
SemSearch_LS-2,Arab states of the Persian Gulf,0.2877,0,,,,,,,,,,,,,,,
SemSearch_LS-3,astronauts who landed on the Moon,0.2425,0,,,,,,,,,,,,,,,
SemSearch_LS-4,Axis powers of World War II,0.3066,0,,,,,,,,,,,,,,,
SemSearch_LS-5,books of the Jewish canon,0.4674,0,,,,,,,,,,,,,,,
SemSearch_LS-6,boroughs of New York City,0.3024,0,,,,,,,,,,,,,,,
SemSearch_LS-7,Branches of the US military,0.1575,0,,,,,,,,,,,,,,,
SemSearch_LS-8,continents in the world,0.2372,0,,,,,,,,,,,,,,,
SemSearch_LS-9,degrees of Eastern Orthodox monasticism,0.2019,0,,,,,,,,,,,,,,,
SemSearch_LS-10,did nicole kidman have any siblings,0.0461,5,backtranslation_yue_hant,0.165,Nicole Kidman has no siblings,backtranslation_pes_arab,0.1573,Nicole Kidman had a sister and a brother,backtranslation_fra_latn,0.0503,Does Nicole Kidman have any siblings,backtranslation_deu_latn,0.0503,Does Nicole Kidman have any siblings,backtranslation_dan_latn,0.0503,Does Nicole Kidman have any siblings
SemSearch_LS-11,dioceses of the church of ireland,0.6272,0,,,,,,,,,,,,,,,
SemSearch_LS-12,first targets of the atomic bomb,0.0858,0,,,,,,,,,,,,,,,
