qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,qid,backtranslation_yue_hant,backtranslation_yue_hant.bm25.map,qid,backtranslation_kor_hang,backtranslation_kor_hang.bm25.map,qid,backtranslation_arb_arab,backtranslation_arb_arab.bm25.map,qid,backtranslation_pes_arab,backtranslation_pes_arab.bm25.map,qid,backtranslation_fra_latn,backtranslation_fra_latn.bm25.map,qid,backtranslation_deu_latn,backtranslation_deu_latn.bm25.map,qid,backtranslation_rus_cyrl,backtranslation_rus_cyrl.bm25.map,qid,backtranslation_zsm_latn,backtranslation_zsm_latn.bm25.map,qid,backtranslation_tam_taml,backtranslation_tam_taml.bm25.map,qid,backtranslation_swh_latn,backtranslation_swh_latn.bm25.map
INEX_XER-98,Makers of lawn tennis rackets,0.0545,INEX_XER-98,The manufacturer of the grass ball ball racks,0.0018,INEX_XER-98,We re a manufacturer of lawn tennis racquets,0.1492,INEX_XER-98,The tennis ball maker in the grass,0.0005,INEX_XER-98,The makers of lawn tennis rockets,0.004,INEX_XER-98,Manufacturers of lawn tennis rackets,0.2005,INEX_XER-98,Manufacturers of lawn tennis rackets,0.2005,INEX_XER-98,Manufacturers of lawn tennis rockets,0.0447,INEX_XER-98,Manufacturer of lawn tennis rackets,0.2005,INEX_XER-98,The manufacturers of lawn tennis rackets,0.2005,INEX_XER-98,Manufacturers of lawn tennis rackets,0.2005
INEX_XER-99,Computer systems that have a recursive acronym for the name,0.4443,INEX_XER-99,Computer systems  the name is a recursive abbreviation,0.1029,INEX_XER-99,Computer system with the name s short for  re invention,0.0001,INEX_XER-99,Computer systems that have a continuous abbreviation for name,0.0,INEX_XER-99,Computer systems that call names with a recurring acronym,0.0513,INEX_XER-99,Computer systems with a recursive acronym for the name,0.5126,INEX_XER-99,Computer systems having a recursive acronym for the name,0.4443,INEX_XER-99,Computer systems with a recursive acronym for the name,0.5126,INEX_XER-99,Computer systems with recursive acronyms for name,0.5126,INEX_XER-99,A review of computer systems with renamed encryption,0.0012,INEX_XER-99,Computer systems with a shortcut to record name,0.0
INEX_XER-100,Operating systems to which Steve Jobs related,0.1709,INEX_XER-100,Steve Jobs s related operating system,0.1358,INEX_XER-100,Steve Jobs s related operating system,0.1358,INEX_XER-100,The operating systems Steve Jobs was connected to,0.1517,INEX_XER-100,The operating systems that Steve Jobs is associated with,0.2994,INEX_XER-100,Operating systems associated with Steve Jobs,0.2994,INEX_XER-100,Operating systems that Steve Jobs was connected to,0.1517,INEX_XER-100,The operating systems that Steve Jobs was connecting to,0.1517,INEX_XER-100,The operating system related to Steve Jobs,0.1849,INEX_XER-100,Steve Jobs related operating systems,0.1849,INEX_XER-100,Operating systems that Steve Jobs was involved in,0.2306
INEX_XER-106,Noble english person from the Hundred Years' War,0.1006,INEX_XER-106,The English nobility of the Hundred Years  War,0.0792,INEX_XER-106,The English nobility of the Hundred Years  War,0.0792,INEX_XER-106,A noble Englishman from the Hundred Years War,0.0382,INEX_XER-106,A great Englishman from the Hundred Years  War,0.0033,INEX_XER-106,A British nobleman from the Hundred Years  War,0.0344,INEX_XER-106,A noble Englishman from the Hundred Years  War,0.0382,INEX_XER-106,A noble Englishman from the Hundred Years War,0.0382,INEX_XER-106,The English nobleman of the Hundred Years  War,0.0905,INEX_XER-106,The British from the Hundred Years  War,0.0148,INEX_XER-106,An Englishman from the Hundred Years  War,0.0206
INEX_XER-108,State capitals of the United States of America,0.0105,INEX_XER-108,All of the states in the United States,0.0,INEX_XER-108,The capital of the United States of America,0.0079,INEX_XER-108,The capitals of the United States of America,0.0079,INEX_XER-108,Capital cities of the United States,0.1677,INEX_XER-108,Capital cities of the United States of America,0.049,INEX_XER-108,Capital cities of the United States of America,0.049,INEX_XER-108,Capital cities of the United States of America,0.049,INEX_XER-108,Capital of the United States,0.0307,INEX_XER-108,The capitals of the United States,0.0307,INEX_XER-108,The capital of the United States,0.0307
INEX_XER-109,National capitals situated on islands,0.0098,INEX_XER-109,The capital of the island nation,0.0327,INEX_XER-109,The national capital is located on the island,0.031,INEX_XER-109,National capitals on the islands,0.0327,INEX_XER-109,National capitals on the islands,0.0327,INEX_XER-109,National capitals located on islands,0.031,INEX_XER-109,Capital cities located on islands,0.0283,INEX_XER-109,National capitals located on the islands,0.031,INEX_XER-109,The capital of the island nation,0.0327,INEX_XER-109,National capitals located on the islands,0.031,INEX_XER-109,The capital of the island nation,0.0327
INEX_XER-110,Nobel Prize in Literature winners who were also poets,0.1576,INEX_XER-110,Nobel Prize winner and poet,0.1659,INEX_XER-110,Nobel Prize winner in literature  also poet,0.1793,INEX_XER-110,Nobel Prize winners for literature who were also poets,0.1576,INEX_XER-110,Nobel Prize winners who were also poets,0.114,INEX_XER-110,Nobel Prize in Literature who were also poets,0.1573,INEX_XER-110,Nobel Prize winners for Literature who were also poets,0.1576,INEX_XER-110,Nobel Prize winners in literature who were also poets,0.1576,INEX_XER-110,Nobel Prize winner in Literature who was also a poet,0.1795,INEX_XER-110,The Nobel Prize in Literature was awarded to Nobel Prize winning poets,0.2632,INEX_XER-110,Nobel Prize winners who were also poets,0.114
INEX_XER-113,Formula 1 drivers that won the Monaco Grand Prix,0.3564,INEX_XER-113,The Monaco Grand Prix F  racer,0.104,INEX_XER-113,Formula One driver who won the Monaco Grand Prix,0.2284,INEX_XER-113,The Formula One drivers who won the Monaco Grand Prix,0.2284,INEX_XER-113,Formula One drivers who won the Monaco Grand Prix,0.2284,INEX_XER-113,Formula One drivers who won the Monaco Grand Prix,0.2284,INEX_XER-113,Formula One drivers who have won the Monaco Grand Prix,0.1685,INEX_XER-113,Formula One drivers who won the Monaco Grand Prix,0.2284,INEX_XER-113,Formula One driver who won the Monaco Grand Prix,0.2284,INEX_XER-113,Formula   drivers who won the Monaco Grand Prix,0.2273,INEX_XER-113,Formula   drivers who won the Monaco Grand Prix,0.2273
INEX_XER-114,Formula one races in Europe,0.2034,INEX_XER-114,The European Formula One race,0.2266,INEX_XER-114,The European Formula One race,0.2266,INEX_XER-114,Formula One races in Europe,0.2034,INEX_XER-114,Formula One races in Europe,0.2034,INEX_XER-114,Formula   racing in Europe,0.0516,INEX_XER-114,Formula     racing in Europe,0.0516,INEX_XER-114,Formula   in Europe,0.0381,INEX_XER-114,The Formula One Race in Europe,0.2034,INEX_XER-114,Formula   races in Europe,0.0516,INEX_XER-114,The European Formula   competition,0.0201
INEX_XER-115,Formula One World Constructors' Champions,0.2898,INEX_XER-115,The foxville world champion,0.0006,INEX_XER-115,Formula One World Champion Builder,0.0924,INEX_XER-115,The Formula One World Building Championship,0.0415,INEX_XER-115,Formula One champions of the building,0.0719,INEX_XER-115,Formula One world champion,0.1645,INEX_XER-115,Formula One world champion,0.1645,INEX_XER-115,Formula   world champions,0.152,INEX_XER-115,Formula One world champion,0.1645,INEX_XER-115,Formula One World Architects,0.0571,INEX_XER-115,World Formula One Competition,0.0235
INEX_XER-116,Italian nobel prize winners,0.2282,INEX_XER-116,Italy is the winner of the Nobel Prize,0.1945,INEX_XER-116,Italian Nobel laureate,0.5665,INEX_XER-116,The Italian Nobel Prize winners,0.2282,INEX_XER-116,Italian Nobel laureates,0.5665,INEX_XER-116,Italian Nobel Prize,0.5765,INEX_XER-116,Italian Nobel laureates,0.5665,INEX_XER-116,Italian Nobel Prize winners,0.2282,INEX_XER-116,Italian Nobel Prize winner,0.2282,INEX_XER-116,The Italian Nobel Prize winners,0.2282,INEX_XER-116,Italian Nobel laureates,0.5665
INEX_XER-117,Musicians who appeared in the Blues Brothers movies,0.0651,INEX_XER-117,The musicians in the Blue Brothers movies,0.1425,INEX_XER-117,He was a musician in the Blues Brothers,0.0839,INEX_XER-117,Musicians who have appeared in the Brothers Blues movies,0.0448,INEX_XER-117,Musicians who appeared in Brother Blues movies,0.0651,INEX_XER-117,Musicians who have starred in the Blues Brothers films,0.0476,INEX_XER-117,Musicians who have appeared in the Blues Brothers films,0.0501,INEX_XER-117,Musicians who appeared in the Blues Brothers films,0.065,INEX_XER-117,Musicians who appeared in the Blues Brothers films,0.065,INEX_XER-117,The musicians who appeared in the Blues Brothers films,0.065,INEX_XER-117,Musicians who appeared in the Blues Brothers films,0.065
INEX_XER-118,French car models in 1960's,0.1155,INEX_XER-118,French model of the     s,0.0008,INEX_XER-118,French car model of the     s,0.0197,INEX_XER-118,French car models of the     s,0.0197,INEX_XER-118,French car models in the      s,0.0197,INEX_XER-118,French car models in the     s,0.0197,INEX_XER-118,French car models in the     s,0.0197,INEX_XER-118,French model cars in the     s,0.0197,INEX_XER-118,French car model in the     s,0.0197,INEX_XER-118,French car models in the      s,0.0197,INEX_XER-118,French car models in the      s,0.0197
INEX_XER-119,Swiss cantons where they speak German,0.0779,INEX_XER-119,Swiss states where German is spoken,0.0384,INEX_XER-119,German speaking cantons of Switzerland,0.1238,INEX_XER-119,Swiss Mantonese where they speak German,0.0311,INEX_XER-119,Swiss cantons that speak German,0.1049,INEX_XER-119,Swiss cantons where German is spoken,0.1315,INEX_XER-119,Swiss cantons where German is spoken,0.1315,INEX_XER-119,Swiss cantons where German is spoken,0.1315,INEX_XER-119,Canton of Switzerland where they speak German,0.086,INEX_XER-119,The German speaking Swiss cantons,0.1049,INEX_XER-119,Swiss German speaking centers,0.0282
INEX_XER-121,US presidents since 1960,0.029,INEX_XER-121,President of the United States in,0.1192,INEX_XER-121,President of the United States since,0.0071,INEX_XER-121,Presidents of the United States since,0.0071,INEX_XER-121,President of the United States since,0.0071,INEX_XER-121,Presidents of the United States since,0.0071,INEX_XER-121,President of the United States since,0.0071,INEX_XER-121,President of the United States since,0.0071,INEX_XER-121,President of the United States since,0.0071,INEX_XER-121,Presidents of the United States since,0.0071,INEX_XER-121,President of the United States since,0.0071
INEX_XER-122,Movies with eight or more Academy Awards,0.0125,INEX_XER-122,  or more Oscars,0.0,INEX_XER-122,More than eight Academy Awards,0.0,INEX_XER-122,Movies that have won eight or more Academy Awards,0.0302,INEX_XER-122,Films that have won eight or more Academy Awards,0.0128,INEX_XER-122,Movies with eight or more Academy Awards,0.0125,INEX_XER-122,Movies with eight or more Academy Awards,0.0125,INEX_XER-122,Movies with eight or more Oscars,0.0013,INEX_XER-122,Films with eight or more Academy Awards,0.0032,INEX_XER-122,The film won eight or more Academy Awards,0.0189,INEX_XER-122,Movies with eight or more Academy Awards,0.0125
INEX_XER-123,FIFA world cup national team winners since 1974,0.0637,INEX_XER-123,The national team that has won the FIFA World Cup since,0.0217,INEX_XER-123,National team winner of the FIFA World Cup since,0.041,INEX_XER-123,National team winner of the FIFA World Cup since,0.041,INEX_XER-123,The winners of the FIFA World Cup since,0.0348,INEX_XER-123,FIFA World Cup championships since,0.0034,INEX_XER-123,FIFA World Cup since,0.0068,INEX_XER-123,Winners of the world cup since,0.0084,INEX_XER-123,National team winner of the FIFA World Cup since,0.041,INEX_XER-123,National team winners of the FIFA World Cup since,0.041,INEX_XER-123,Winners of the national team of the FIFA World Cup since,0.041
INEX_XER-124,Novels that won the Booker Prize,0.5158,INEX_XER-124,Booker Prize winning novel,0.349,INEX_XER-124,Booker Prize winning novel,0.349,INEX_XER-124,Novels that won the Booker Prize,0.5158,INEX_XER-124,The novels that won the Booker Prize,0.5158,INEX_XER-124,Romans who won the Booker Prize,0.3152,INEX_XER-124,Novels that won the Booker Prize,0.5158,INEX_XER-124,Novels that won the Booker Prize,0.5158,INEX_XER-124,Booker Prize winning novel,0.349,INEX_XER-124,Booker Prize winning novels,0.349,INEX_XER-124,Books that won the Booker Prize,0.4208
INEX_XER-125,countries which have won the FIFA world cup,0.0962,INEX_XER-125,The country that won the World Cup,0.0046,INEX_XER-125,The country that won the FIFA World Cup,0.0972,INEX_XER-125,Countries that have won the FIFA World Cup,0.1379,INEX_XER-125,FIFA World Cup winners,0.0031,INEX_XER-125,countries that have won the FIFA World Cup,0.1379,INEX_XER-125,Countries that have won the FIFA World Cup,0.1379,INEX_XER-125,countries that have won the World Cup,0.021,INEX_XER-125,countries that have won the FIFA World Cup,0.1379,INEX_XER-125,FIFA World Cup winners,0.0031,INEX_XER-125,countries that have won the FIFA World Cup,0.1379
INEX_XER-126,toy train manufacturers that are still in business,0.1639,INEX_XER-126,Toy train manufacturers are still producing,0.1989,INEX_XER-126,Toys train manufacturer still in business,0.1639,INEX_XER-126,The toy train manufacturers still in operation,0.1786,INEX_XER-126,Toys train manufacturers still operating,0.1786,INEX_XER-126,manufacturers of toy trains that are still in operation,0.1786,INEX_XER-126,Manufacturers of toys and accessories still in operation,0.0577,INEX_XER-126,manufacturers of toy trains that are still in operation,0.1786,INEX_XER-126,manufacturers of toy cars still operating,0.0252,INEX_XER-126,Toy train manufacturers still in business,0.1639,INEX_XER-126,manufacturers of sports trains that are still in business,0.0022
INEX_XER-127,german female politicians,0.23,INEX_XER-127,German female politician,0.23,INEX_XER-127,A German female politician,0.23,INEX_XER-127,German politics,0.0011,INEX_XER-127,German political women,0.1064,INEX_XER-127,German women politicians,0.176,INEX_XER-127,German politicians,0.0227,INEX_XER-127,German women politicians,0.176,INEX_XER-127,German female politician,0.23,INEX_XER-127,German female politicians,0.23,INEX_XER-127,German female politicians,0.23
INEX_XER-128,Bond girls,0.4077,INEX_XER-128,The creditors,0.0,INEX_XER-128,The bond girls,0.4077,INEX_XER-128,The Bond girls,0.4077,INEX_XER-128,The bandy girls,0.0,INEX_XER-128,The Bond Girls,0.4077,INEX_XER-128,The Bond girls,0.4077,INEX_XER-128,Girls close,0.0001,INEX_XER-128,The Bond girls,0.4077,INEX_XER-128,bond girls,0.4077,INEX_XER-128,The Girl Bond,0.4077
INEX_XER-129,Science fiction book written in the 1980,0.2026,INEX_XER-129,Science fiction written in the     s,0.0012,INEX_XER-129,A science fiction book written in the     s,0.0031,INEX_XER-129,A science fiction book written in the    s,0.0031,INEX_XER-129,A science fiction book written in the     s,0.0031,INEX_XER-129,A science fiction book written in the     s,0.0031,INEX_XER-129,Science fiction book written in the     s,0.0031,INEX_XER-129,Science fiction written in,0.0027,INEX_XER-129,A science fiction book written in,0.0054,INEX_XER-129,A science fiction book written in the      s,0.0031,INEX_XER-129,A scientific textbook written in the      s,0.0
INEX_XER-130,Star Trek Captains,0.415,INEX_XER-130,Captain of the Star Trek team,0.198,INEX_XER-130,Captain of the Star Trek,0.415,INEX_XER-130,Captain Star Trek,0.415,INEX_XER-130,The Captains of Star Trek,0.415,INEX_XER-130,Captain of Star Trek,0.415,INEX_XER-130,Captain of the Star Trek,0.415,INEX_XER-130,Captain of the Star Trek,0.415,INEX_XER-130,Captain of the Star Trek,0.415,INEX_XER-130,The Captains of Star Trek,0.415,INEX_XER-130,Captain of the Star Trek,0.415
INEX_XER-132,living nordic classical composers,0.1138,INEX_XER-132,A living Nordic classical composer,0.1138,INEX_XER-132,A living classical composer from Northern Europe,0.0002,INEX_XER-132,Northern classical authors alive,0.0,INEX_XER-132,The Northern classical composers alive,0.0,INEX_XER-132,Nordic classical composers living,0.1138,INEX_XER-132,living Nordic classical composers,0.1138,INEX_XER-132,living Nordic classical composers,0.1138,INEX_XER-132,Northern classical composer who lived,0.0002,INEX_XER-132,The North s classical composers live,0.0007,INEX_XER-132,Ancient northern composers,0.0
INEX_XER-133,EU countries,0.1208,INEX_XER-133,The EU countries,0.1208,INEX_XER-133,EU countries,0.1208,INEX_XER-133,The European Union,0.0451,INEX_XER-133,Countries of the European Union,0.0893,INEX_XER-133,The EU countries,0.1208,INEX_XER-133,EU countries,0.1208,INEX_XER-133,EU countries,0.1208,INEX_XER-133,EU countries,0.1208,INEX_XER-133,The European Union,0.0451,INEX_XER-133,Countries of the EU,0.1208
INEX_XER-134,record-breaking sprinters in male 100-meter sprints,0.1097,INEX_XER-134,Men s    m runner,0.0,INEX_XER-134,Record sprinter in the men s    m sprint,0.038,INEX_XER-134,The male dancers in the    m,0.0,INEX_XER-134,The record for men s    m sprints,0.0129,INEX_XER-134,record sprinters in men s     metres sprint,0.0322,INEX_XER-134,Record breaking sprinters in the men s    m sprint,0.0406,INEX_XER-134,record sprinters in men  s     meter sprints,0.0505,INEX_XER-134,record setting in men s     meter printers,0.0044,INEX_XER-134,The men s     meter sprinters,0.0204,INEX_XER-134,male runners in the     meters,0.0004
INEX_XER-135,professional baseball team in Japan,0.4059,INEX_XER-135,Japanese professional baseball team,0.1749,INEX_XER-135,Japanese professional baseball team,0.1749,INEX_XER-135,Professional baseball team in Japan,0.4059,INEX_XER-135,Japanese professional baseball team,0.1749,INEX_XER-135,professional baseball team in Japan,0.4059,INEX_XER-135,Professional baseball team in Japan,0.4059,INEX_XER-135,professional baseball team in Japan,0.4059,INEX_XER-135,professional football team in Japan,0.0034,INEX_XER-135,Professional baseball team in Japan,0.4059,INEX_XER-135,professional baseball team in Japan,0.4059
INEX_XER-136,Japanese players in Major League Baseball,0.7363,INEX_XER-136,Japanese baseball players,0.0753,INEX_XER-136,Japanese Major League Baseball player,0.7363,INEX_XER-136,Japanese baseball players in the majors,0.7233,INEX_XER-136,Japanese players in Major League Baseball,0.7363,INEX_XER-136,Japanese Major League Baseball player,0.7363,INEX_XER-136,Japanese players in Major League Baseball,0.7363,INEX_XER-136,Japanese players in the baseball league,0.3984,INEX_XER-136,Japanese players in Major League Baseball,0.7363,INEX_XER-136,Japanese players in Major League Baseball,0.7363,INEX_XER-136,Japanese players in major league baseball,0.7363
INEX_XER-138,National Parks East Coast Canada US,0.0095,INEX_XER-138,National parks  the east coast of Canada  the United States,0.0107,INEX_XER-138,National Park on the east coast of Canada,0.0935,INEX_XER-138,National parks east coast Canada United States,0.0107,INEX_XER-138,National parks along the east coast of Canada,0.0128,INEX_XER-138,National parks on the east coast of Canada United States,0.0107,INEX_XER-138,National parks east coast of Canada US,0.0095,INEX_XER-138,National parks of the Eastern coast of Canada,0.0774,INEX_XER-138,The U S  Canadian East Coast National Park,0.023,INEX_XER-138,National parks east coast Canada United States,0.0107,INEX_XER-138,National Parks on the East Coast of Canada,0.0935
INEX_XER-139,Films directed by Akira Kurosawa,0.9074,INEX_XER-139,Directed by Akira Kurosawa,0.895,INEX_XER-139,A film directed by Akira Kurosa,0.8089,INEX_XER-139,Movies directed by Akira Kurosawa,0.9391,INEX_XER-139,Films directed by Akira Kurosawa,0.9074,INEX_XER-139,Films directed by Akira Kurosawa,0.9074,INEX_XER-139,Films by Akira Kurosawa,0.9013,INEX_XER-139,Films by director Akira Kurosava,0.3258,INEX_XER-139,Film directed by Akira Kurosawa,0.9074,INEX_XER-139,The film was directed by Agra Kurozawa,0.0,INEX_XER-139,Movies directed by Akira Kurosawa,0.9391
INEX_XER-140,Airports in Germany,0.3623,INEX_XER-140,German airports,0.1411,INEX_XER-140,Airport in Germany,0.3623,INEX_XER-140,Airports in Germany,0.3623,INEX_XER-140,German airports,0.1411,INEX_XER-140,Germany s airports,0.0655,INEX_XER-140,Airport in Germany,0.3623,INEX_XER-140,German airports,0.1411,INEX_XER-140,Airport in Germany,0.3623,INEX_XER-140,Airports in Germany,0.3623,INEX_XER-140,Airports in Germany,0.3623
INEX_XER-141,Universities in Catalunya,0.0877,INEX_XER-141,The University of Catalonia,0.2783,INEX_XER-141,The University of Catalonia,0.2783,INEX_XER-141,Universities in Catalonia,0.2783,INEX_XER-141,Catalan universities,0.0256,INEX_XER-141,Universities in Catalonia,0.2783,INEX_XER-141,Higher education in Catalonia,0.2963,INEX_XER-141,Universities of Catalonia,0.2783,INEX_XER-141,University of Catalonia,0.2783,INEX_XER-141,The number of universities in Catalonia is about one third of the population,0.0048,INEX_XER-141,Universities in Catalonia,0.2783
INEX_XER-143,Hanseatic league in Germany in the Netherlands Circle,0.1094,INEX_XER-143,The German Hanseatic League  the Dutch Circuit,0.0254,INEX_XER-143,The Hanseatic League in Germany  the Dutch circle,0.0604,INEX_XER-143,The Hanseatic League in Germany in the Dutch division,0.095,INEX_XER-143,The Hans Liga in Germany in the Netherlands,0.0007,INEX_XER-143,Hanseatic League in Germany in the Dutch circle,0.0604,INEX_XER-143,The Hanselliga in Germany in the Dutch circuit,0.0,INEX_XER-143,The Hanseatic League in Germany in the Netherlands,0.1183,INEX_XER-143,Hanseatic League in Germany in the Dutch Circle,0.0604,INEX_XER-143,The Hanseatic League in Germany in the Netherlands,0.1183,INEX_XER-143,The Hanseatic League in Germany in the Netherlands Circle,0.1094
INEX_XER-144,chess world champions,0.5702,INEX_XER-144,The world chess champion,0.5702,INEX_XER-144,World chess champion,0.5702,INEX_XER-144,World chess champion,0.5702,INEX_XER-144,World chess champions,0.5702,INEX_XER-144,champions of the world chess,0.5702,INEX_XER-144,World chess champion,0.5702,INEX_XER-144,World chess champions,0.5702,INEX_XER-144,World chess champion,0.5702,INEX_XER-144,World chess champions,0.5702,INEX_XER-144,world chess heroes,0.1465
INEX_XER-147,Chemical elements that are named after people,0.0702,INEX_XER-147,Chemical elements are named after humans,0.0343,INEX_XER-147,The chemical elements named after humans,0.0343,INEX_XER-147,Chemicals that carry people  s names,0.0013,INEX_XER-147,Chemical elements named after people,0.0702,INEX_XER-147,Chemicals named after people,0.0005,INEX_XER-147,Chemical elements named after humans,0.0343,INEX_XER-147,Chemical elements named after humans,0.0343,INEX_XER-147,Chemical elements named after humans,0.0343,INEX_XER-147,The chemical elements that bear the names of humans,0.0192,INEX_XER-147,Chemicals named after people,0.0005
QALD2_te-1,Which German cities have more than 250000 inhabitants?,0.0012,QALD2_te-1,Which city in Germany has more than         people,0.0448,QALD2_te-1,Are German cities cities with a population of over,0.0175,QALD2_te-1,What German city has more than         inhabitants,0.004,QALD2_te-1,Which German cities have a population of more than,0.0239,QALD2_te-1,Which German cities have more than         inhabitants,0.0037,QALD2_te-1,What German cities have more than         inhabitants,0.0007,QALD2_te-1,What German cities have more than         inhabitants,0.0007,QALD2_te-1,Which city in Germany has more than        inhabitants,0.009,QALD2_te-1,What German cities have more than         inhabitants,0.0007,QALD2_te-1,What cities in Germany have more than         inhabitants,0.0011
QALD2_te-2,Who was the successor of John F. Kennedy?,0.0,QALD2_te-2,Who was John Kennedy s successor,0.0004,QALD2_te-2,Who was John F  Kennedy s successor,0.002,QALD2_te-2,Who was John F  Kennedy s successor,0.002,QALD2_te-2,Who was John F  Kennedy s successor,0.002,QALD2_te-2,Who was John F  Kennedy s successor,0.002,QALD2_te-2,Who was John F  Kennedy s successor,0.002,QALD2_te-2,Who was John F  Kennedy s successor,0.002,QALD2_te-2,Who is the successor to John F  Kennedy,0.0,QALD2_te-2,Who is next to John F  Kennedy,0.0011,QALD2_te-2,Who was John F  Kennedy s successor,0.002
QALD2_te-3,Who is the mayor of Berlin?,0.1422,QALD2_te-3,Who is the mayor of Berlin,0.1422,QALD2_te-3,Who is the mayor of Berlin,0.1422,QALD2_te-3,Who is the mayor of Berlin,0.1422,QALD2_te-3,Who s the mayor of Berlin,0.0538,QALD2_te-3,Who is the mayor of Berlin,0.1422,QALD2_te-3,Who is the mayor of Berlin,0.1422,QALD2_te-3,Who is the mayor of Berlin,0.1422,QALD2_te-3,Who is the mayor of Berlin,0.1422,QALD2_te-3,Who is the mayor of Berlin,0.1422,QALD2_te-3,Who is the mayor of Berlin,0.1422
QALD2_te-5,What is the second highest mountain on Earth?,0.1148,QALD2_te-5,What is the second highest mountain on earth,0.1148,QALD2_te-5,What is the second highest mountain on Earth,0.1148,QALD2_te-5,What s the second highest mountain on earth,0.0519,QALD2_te-5,What is the second highest mountain in the earth,0.1148,QALD2_te-5,What is the second highest mountain on Earth,0.1148,QALD2_te-5,What is the second highest mountain on earth,0.1148,QALD2_te-5,What is the second highest mountain on Earth,0.1148,QALD2_te-5,What is the second highest mountain on Earth,0.1148,QALD2_te-5,What is the second highest mountain on earth,0.1148,QALD2_te-5,What is the second highest mountain in the world,0.0309
QALD2_te-6,Give me all professional skateboarders from Sweden.,0.0746,QALD2_te-6,To all the professional skateboarders from Sweden,0.4169,QALD2_te-6,Give me all the Swedish professional skateboards,0.2908,QALD2_te-6,Give me all the professional skiers from Sweden,0.0,QALD2_te-6,Give me all the Swedish professional skateboards,0.2908,QALD2_te-6,Give me all the professional skateboarders in Sweden,0.0827,QALD2_te-6,Give me all the professional skateboarders from Sweden,0.0746,QALD2_te-6,Give me all the professional skateboards from Sweden,0.0746,QALD2_te-6,Give me all the professional skateboarders from Sweden,0.0746,QALD2_te-6,Give me all the professional skateboarders from Sweden,0.0746,QALD2_te-6,Give me all the professional skateboarders from Sweden,0.0746
QALD2_te-8,To which countries does the Himalayan mountain system extend?,0.1839,QALD2_te-8,Which country is the Himalayas,0.0879,QALD2_te-8,What country is the Himalayan Range,0.0842,QALD2_te-8,To what countries does the Himalayan mountain system extend,0.1222,QALD2_te-8,To what countries does the Himalayas extend,0.0745,QALD2_te-8,In what countries is the Himalayan mountain system extended,0.1466,QALD2_te-8,What countries are the Himalayan mountain range extending into,0.1098,QALD2_te-8,What countries are the Himalayan mountain range extending into,0.1098,QALD2_te-8,To which country does the Himalayan mountain system extend,0.1839,QALD2_te-8,What countries have Himalayan mountains,0.0816,QALD2_te-8,To what extent does the Himalayas extend,0.0033
QALD2_te-9,Give me a list of all trumpet players that were bandleaders.,0.292,QALD2_te-9,Let me list all the lads who were bandleaders,0.0016,QALD2_te-9,Give me a list of the trumpet players who were the band s leader,0.0344,QALD2_te-9,Give me a list of all the trumpeters who were the bandleaders,0.2167,QALD2_te-9,Give me a list of all the Trumpeters who have been the leader of the group,0.0055,QALD2_te-9,Give me a list of all the trumpeters who led the band,0.0136,QALD2_te-9,Give me a list of all the trumpeters who were bandleaders,0.2167,QALD2_te-9,Give me a list of all the plumbers who were the leaders of the group,0.0,QALD2_te-9,Give me a list of all the trumpeters who have ever led the band,0.0074,QALD2_te-9,Give me a list of all the boxers who have been the bandleaders,0.0159,QALD2_te-9,Give me a list of all the trumpeters who were bandleaders,0.2167
QALD2_te-11,Who is the Formula 1 race driver with the most races?,0.0153,QALD2_te-11,Who is the most F  driver in the world,0.0055,QALD2_te-11,Who s the Formula One driver with the most races,0.014,QALD2_te-11,Who s the Formula One driver with the most races,0.014,QALD2_te-11,Who s the most competitive Formula One driver,0.0056,QALD2_te-11,Who s the most raced Formula One driver,0.014,QALD2_te-11,Who s the Formula One driver with the most races,0.014,QALD2_te-11,Who s the most successful Formula One driver,0.0079,QALD2_te-11,Who s the most racing Formula One driver,0.014,QALD2_te-11,Who is the most successful Formula   driver,0.007,QALD2_te-11,Who is the most competitive Formula   driver,0.0043
QALD2_te-12,Give me all world heritage sites designated within the past five years.,0.0113,QALD2_te-12,And they gave me all the World Heritage sites in the last five years,0.0056,QALD2_te-12,Tell us all about the World Heritage sites that have been designated in the last five years,0.0026,QALD2_te-12,Give me all the World Heritage sites identified in the last five years,0.0023,QALD2_te-12,Give me all the World Heritage sites that have been designated in the last five years,0.0103,QALD2_te-12,Give me all the designated World Heritage sites in the last five years,0.0136,QALD2_te-12,Give me all the world heritage sites that have been exhibited in the last five years,0.002,QALD2_te-12,Give me all the World Heritage sites that have been designated over the last five years,0.0026,QALD2_te-12,Give me all the world heritage sites designated in the last five years,0.0136,QALD2_te-12,Give me everything that has been declared World Heritage Sites in the last five years,0.0008,QALD2_te-12,Give me all the world heritage sites that have been designated in the last five years,0.0103
