qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9
627,Russian food crisis,0.0066,3,backtranslation_rus_cyrl,0.0068,Food Crisis in Russia,backtranslation_tam_taml,0.0068,The food crisis in Russia,backtranslation_swh_latn,0.0068,Food Crisis in Russia,,,,,,,,,,,,,,,,,,
628,U.S. invasion of Panama,0.2494,2,backtranslation_deu_latn,0.2635,The US invasion of Panama,backtranslation_rus_cyrl,0.2635,US invasion of Panama,,,,,,,,,,,,,,,,,,,,,
629,abortion clinic attack,0.1288,1,backtranslation_yue_hant,0.1501,The abortion clinic is under attack,,,,,,,,,,,,,,,,,,,,,,,,
630,Gulf War Syndrome,0.5446,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,Mandela South Africa President,0.1541,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,southeast Asia tin mining,0.2296,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,Welsh devolution,0.4929,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,L-tryptophan deaths,0.7314,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
635,doctor assisted suicides,0.509,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,jury duty exemptions,0.0632,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,human growth hormone (HGH),0.4429,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,wrongful convictions,0.0265,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,consumer on-line shopping,0.146,5,backtranslation_yue_hant,0.1792,Consumers shop online,backtranslation_arb_arab,0.1792,Online shopping for consumers,backtranslation_pes_arab,0.1792,Consumer shopping online,backtranslation_deu_latn,0.1792,Consumer online shopping,backtranslation_swh_latn,0.1792,online shopping for consumers,,,,,,,,,,,,
640,maternity leave policies,0.3591,1,backtranslation_deu_latn,0.4044,maternity leave,,,,,,,,,,,,,,,,,,,,,,,,
641,Valdez wildlife marine life,0.2812,3,backtranslation_fra_latn,0.3076,Wildlife in Valdez,backtranslation_deu_latn,0.3076,Wildlife of Valdez,backtranslation_zsm_latn,0.3076,The wildlife of Valdez,,,,,,,,,,,,,,,,,,
642,Tiananmen Square protesters,0.1597,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,salmon dams Pacific northwest,0.1502,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,exotic animals import,0.0429,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
645,software piracy,0.6164,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,food stamps increase,0.1341,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,windmill electricity,0.2085,7,backtranslation_tam_taml,0.5366,Wind power,backtranslation_kor_hang,0.3477,Wind power plants,backtranslation_zsm_latn,0.3477,Wind power plants,backtranslation_pes_arab,0.3004,Windmill power,backtranslation_yue_hant,0.2579,Power supply for wind turbines,backtranslation_arb_arab,0.2167,Electricity from the windmill,backtranslation_fra_latn,0.2167,electricity from windmills,,,,,,
648,family leave law,0.1201,3,backtranslation_kor_hang,0.2278,Family leave,backtranslation_deu_latn,0.2278,Family leave,backtranslation_fra_latn,0.1638,right to family leave,,,,,,,,,,,,,,,,,,
649,computer viruses,0.5766,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,tax evasion indicted,0.0831,5,backtranslation_kor_hang,0.0996,Charged with tax evasion,backtranslation_arb_arab,0.0996,Charges of tax evasion,backtranslation_fra_latn,0.0996,charge of tax evasion,backtranslation_deu_latn,0.0996,Charged with tax evasion,backtranslation_swh_latn,0.0996,tax evasion charges,,,,,,,,,,,,
651,U.S. ethnic population,0.0514,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,OIC Balkans 1990s,0.3254,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
653,ETA Basque terrorism,0.5468,1,backtranslation_yue_hant,0.5635,Basque terrorist ETA,,,,,,,,,,,,,,,,,,,,,,,,
654,same-sex schools,0.4163,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
655,ADD diagnosis treatment,0.0007,1,backtranslation_rus_cyrl,0.2882,Treatment of the diagnosis of ADHD,,,,,,,,,,,,,,,,,,,,,,,,
656,lead poisoning children,0.0569,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
657,school prayer banned,0.4131,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,teenage pregnancy,0.0494,3,backtranslation_fra_latn,0.1047,pregnancy in adolescents,backtranslation_rus_cyrl,0.1047,pregnancy of adolescents,backtranslation_deu_latn,0.0523,Pregnancy in the teenage years,,,,,,,,,,,,,,,,,,
659,cruise health safety,0.3011,2,backtranslation_rus_cyrl,0.3918,safety for the health of cruise passengers,backtranslation_pes_arab,0.3083,Cruise safety,,,,,,,,,,,,,,,,,,,,,
660,whale watching California,0.6318,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,melanoma treatment causes,0.5658,4,backtranslation_kor_hang,0.6415,The Causes of Melanoma,backtranslation_arb_arab,0.6415,The causes of melanoma,backtranslation_pes_arab,0.6415,The Cause of Melanoma,backtranslation_swh_latn,0.6415,causes of melanoma,,,,,,,,,,,,,,,
662,telemarketer protection,0.5743,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,Agent Orange exposure,0.2147,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
664,American Indian Museum,0.3514,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,poverty Africa sub-Sahara,0.2245,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,Thatcher resignation impact,0.0109,3,backtranslation_arb_arab,0.0116,The effect of Thatcher  s resignation,backtranslation_tam_taml,0.0116,The effect of Thatcher s resignation,backtranslation_swh_latn,0.0116,The effects of Thatcher s resignation,,,,,,,,,,,,,,,,,,
667,unmarried-partner households,0.3583,4,backtranslation_kor_hang,0.44,A family with an unmarried partner,backtranslation_tam_taml,0.44,Families with unmarried partners,backtranslation_swh_latn,0.44,families of unmarried partners,backtranslation_zsm_latn,0.36,household of unmarried couples,,,,,,,,,,,,,,,
668,"poverty, disease",0.3365,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
669,Islamic Revolution,0.1509,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
670,U.S. elections apathy,0.0934,2,backtranslation_rus_cyrl,0.116,American apathy in the election,backtranslation_zsm_latn,0.1037,Apathy in the US election,,,,,,,,,,,,,,,,,,,,,
671,Salvation Army benefits,0.2656,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,NRA membership profile,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,Soviet withdrawal Afghanistan,0.3391,6,backtranslation_kor_hang,0.3519,Soviet withdrawal from Afghanistan,backtranslation_arb_arab,0.3519,The Soviet withdrawal from Afghanistan,backtranslation_fra_latn,0.3519,The Soviet withdrawal from Afghanistan,backtranslation_deu_latn,0.3519,Soviet withdrawal from Afghanistan,backtranslation_swh_latn,0.3519,The Soviet withdrawal from Afghanistan,backtranslation_pes_arab,0.3465,Withdrawal of the Soviet Union from Afghanistan,,,,,,,,,
674,Greenpeace prosecuted,0.1223,5,backtranslation_swh_latn,0.2518,Greenpeace is charged,backtranslation_arb_arab,0.2378,The Greenpeace trial,backtranslation_pes_arab,0.2378,The Greenpeace trial,backtranslation_rus_cyrl,0.1889,The Greenpeace persecution,backtranslation_zsm_latn,0.124,Greenpeace is accused,,,,,,,,,,,,
675,Olympics training swimming,0.2851,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
676,poppy cultivation,0.2781,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
677,Leaning Tower of Pisa,0.9134,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
678,joint custody impact,0.2175,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
679,opening adoption records,0.8491,1,backtranslation_yue_hant,0.8542,Adoption records,,,,,,,,,,,,,,,,,,,,,,,,
680,immigrants Spanish school,0.0961,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
681,wind power location,0.3758,1,backtranslation_swh_latn,0.3845,wind energy area,,,,,,,,,,,,,,,,,,,,,,,,
682,adult immigrants English,0.2442,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
683,Czechoslovakia breakup,0.0278,4,backtranslation_fra_latn,0.0597,The division of Czechoslovakia,backtranslation_tam_taml,0.0597,The division of Czechoslovakia,backtranslation_yue_hant,0.0543,Czechoslovakia was divided,backtranslation_zsm_latn,0.0433,The breaking of Czechoslovakia,,,,,,,,,,,,,,,
684,part-time benefits,0.0943,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
685,Oscar winner selection,0.2494,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
686,Argentina pegging dollar,0.2584,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
687,Northern Ireland industry,0.2142,3,backtranslation_yue_hant,0.259,Northern Ireland s industrial sector,backtranslation_kor_hang,0.216,Northern Ireland s industry,backtranslation_zsm_latn,0.216,Northern Ireland s industrial,,,,,,,,,,,,,,,,,,
688,non-U.S. media bias,0.1017,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
689,family-planning aid,0.0192,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
690,college education advantage,0.0062,2,backtranslation_kor_hang,0.0082,The benefits of college education,backtranslation_tam_taml,0.0082,The benefits of college education,,,,,,,,,,,,,,,,,,,,,
691,clear-cutting forests,0.2718,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
692,prostate cancer detection treatment,0.3975,7,backtranslation_kor_hang,0.4335,Treatment for prostate cancer,backtranslation_pes_arab,0.4335,Treatment for prostate cancer,backtranslation_fra_latn,0.4335,treatment for prostate cancer,backtranslation_rus_cyrl,0.4335,treatment of prostate cancer,backtranslation_zsm_latn,0.4335,treatment for prostate cancer,backtranslation_tam_taml,0.4335,The treatment for prostate cancer,backtranslation_swh_latn,0.4335,treatment for prostate cancer,,,,,,
693,newspapers electronic media,0.2627,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
694,compost pile,0.4345,3,backtranslation_yue_hant,0.4995,Compost,backtranslation_fra_latn,0.445,compost stacks,backtranslation_zsm_latn,0.445,compost stacks,,,,,,,,,,,,,,,,,,
695,white collar crime sentence,0.2486,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
696,safety plastic surgery,0.2553,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
697,air traffic controller,0.0804,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
698,literacy rates Africa,0.5394,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
699,term limits,0.4582,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,gasoline tax U.S.,0.2981,1,backtranslation_kor_hang,0.3498,Gasoline tax,,,,,,,,,,,,,,,,,,,,,,,,
