qid,abstractqueryexpansion,abstractqueryexpansion.bm25.recip_rank,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9
651,U.S. ethnic population,0.3333,6,backtranslation_arb_arab,0.5,The ethnic population in the United States,backtranslation_pes_arab,0.5,Ethnic population of the United States,backtranslation_fra_latn,0.5,Ethnic population of the United States,backtranslation_rus_cyrl,0.5,Ethnic population of the United States,backtranslation_zsm_latn,0.5,Ethnic population of the United States,backtranslation_tam_taml,0.5,Ethnic population of the United States,,,,,,,,,
652,OIC Balkans 1990s,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
653,ETA Basque terrorism,0.5,2,backtranslation_yue_hant,1.0,Basque terrorist ETA,backtranslation_rus_cyrl,1.0,This is Basque terrorism,,,,,,,,,,,,,,,,,,,,,
654,same-sex schools,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
655,ADD diagnosis treatment,0.005,1,backtranslation_rus_cyrl,1.0,Treatment of the diagnosis of ADHD,,,,,,,,,,,,,,,,,,,,,,,,
656,lead poisoning children,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
657,school prayer banned,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,teenage pregnancy,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,cruise health safety,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,whale watching California,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,melanoma treatment causes,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,telemarketer protection,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,Agent Orange exposure,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
664,American Indian Museum,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,poverty Africa sub-Sahara,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,Thatcher resignation impact,0.0208,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
667,unmarried-partner households,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,"poverty, disease",1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
669,Islamic Revolution,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
670,U.S. elections apathy,0.5,1,backtranslation_zsm_latn,1.0,Apathy in the US election,,,,,,,,,,,,,,,,,,,,,,,,
671,Salvation Army benefits,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,NRA membership profile,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,Soviet withdrawal Afghanistan,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
674,Greenpeace prosecuted,0.1429,6,backtranslation_arb_arab,1.0,The Greenpeace trial,backtranslation_pes_arab,1.0,The Greenpeace trial,backtranslation_swh_latn,1.0,Greenpeace is charged,backtranslation_kor_hang,0.3333,The Greenpeace case,backtranslation_rus_cyrl,0.3333,The Greenpeace persecution,backtranslation_zsm_latn,0.25,Greenpeace is accused,,,,,,,,,
675,Olympics training swimming,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
676,poppy cultivation,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
677,Leaning Tower of Pisa,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
678,joint custody impact,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
679,opening adoption records,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
680,immigrants Spanish school,0.3333,1,backtranslation_yue_hant,0.5,Immigrant Spanish College,,,,,,,,,,,,,,,,,,,,,,,,
681,wind power location,0.5,1,backtranslation_swh_latn,1.0,wind energy area,,,,,,,,,,,,,,,,,,,,,,,,
682,adult immigrants English,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
683,Czechoslovakia breakup,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
684,part-time benefits,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
685,Oscar winner selection,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
686,Argentina pegging dollar,0.3333,1,backtranslation_zsm_latn,1.0,Argentine pegged dollar,,,,,,,,,,,,,,,,,,,,,,,,
687,Northern Ireland industry,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
688,non-U.S. media bias,0.2,3,backtranslation_deu_latn,1.0,Non American media distortion,backtranslation_rus_cyrl,1.0,The un American media bias,backtranslation_pes_arab,0.25,Non American media bias,,,,,,,,,,,,,,,,,,
689,family-planning aid,0.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
690,college education advantage,0.0133,6,backtranslation_rus_cyrl,0.0526,The advantages of higher education,backtranslation_arb_arab,0.027,The advantage of university education,backtranslation_kor_hang,0.0238,The benefits of college education,backtranslation_tam_taml,0.0238,The benefits of college education,backtranslation_fra_latn,0.0169,The benefits of higher education,backtranslation_deu_latn,0.0169,The benefits of higher education,,,,,,,,,
691,clear-cutting forests,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
692,prostate cancer detection treatment,0.5,8,backtranslation_kor_hang,1.0,Treatment for prostate cancer,backtranslation_arb_arab,1.0,The cure for prostate cancer,backtranslation_pes_arab,1.0,Treatment for prostate cancer,backtranslation_fra_latn,1.0,treatment for prostate cancer,backtranslation_rus_cyrl,1.0,treatment of prostate cancer,backtranslation_zsm_latn,1.0,treatment for prostate cancer,backtranslation_tam_taml,1.0,The treatment for prostate cancer,backtranslation_swh_latn,1.0,treatment for prostate cancer,,,
693,newspapers electronic media,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
694,compost pile,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
695,white collar crime sentence,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
696,safety plastic surgery,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
697,air traffic controller,0.3333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
698,literacy rates Africa,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
699,term limits,0.5,7,backtranslation_kor_hang,1.0,The time limit,backtranslation_arb_arab,1.0,The time limit,backtranslation_pes_arab,1.0,The time limit,backtranslation_rus_cyrl,1.0,The time limit,backtranslation_zsm_latn,1.0,Limit of time,backtranslation_tam_taml,1.0,time limits,backtranslation_swh_latn,1.0,time limits,,,,,,
700,gasoline tax U.S.,0.5,1,backtranslation_kor_hang,1.0,Gasoline tax,,,,,,,,,,,,,,,,,,,,,,,,
