qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9
1373069,Freedom of Speech - why don't people understand how to use it?,0.1738,3,backtranslation_deu_latn,0.1834,Freedom of speech   why don t people understand how to use it,backtranslation_rus_cyrl,0.1834,Freedom of speech   why don t people understand how to use it,backtranslation_zsm_latn,0.1834,Freedom of Speech   Why don t people understand how to use it,,,,,,,,,,,,,,,,,,
1063812,How do I grow taller?,0.4302,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722241,why do some animals hide in a dark place b4 they die?,0.1303,1,backtranslation_deu_latn,0.1708,Why are animals hiding in a dark place,,,,,,,,,,,,,,,,,,,,,,,,
746920,How do you get rid of wart on your hand a using home method?,0.371,2,backtranslation_rus_cyrl,0.4355,How to get rid of hand warts by home use,backtranslation_fra_latn,0.4342,How to get rid of a wart on your hand using a method at home,,,,,,,,,,,,,,,,,,,,,
1977054,Couscous is a food from what origin?,0.2496,1,backtranslation_fra_latn,0.2738,What is the origin of couscous,,,,,,,,,,,,,,,,,,,,,,,,
1199639,"How to ""LOSE""all body fat ?",0.5186,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785579,"If you could be an element of weather, which would you choose, and why?",0.0369,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964316,"What do you mean by ""weed""?",0.2195,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3206998,how does disneyland make it snow?,0.258,1,backtranslation_tam_taml,0.2764,How did Disneyland make it ice,,,,,,,,,,,,,,,,,,,,,,,,
2864267,what exemplifies effective customer service?,0.5943,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3382736,what is minimalist cubisium?,0.5333,2,backtranslation_deu_latn,0.6435,What is a minimalist cubism,backtranslation_swh_latn,0.6435,What is a minimalist cubism,,,,,,,,,,,,,,,,,,,,,
949154,can anybody tell me what is a butler?,0.2134,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1364894,Why do we need to tell customer service/operator about our sickness in order to make appointment w/ a doctor?,0.2324,3,backtranslation_deu_latn,0.2813,Why do we have to tell the customer service operator about our illness to make an appointment with a doctor,backtranslation_fra_latn,0.2593,Why should we inform the customer service operator of our illness before making an appointment with a doctor,backtranslation_zsm_latn,0.2457,Why do we have to tell the customer service about our illness to make an appointment with the doctor,,,,,,,,,,,,,,,,,,
2797224,"Muslims Are The Happiest People Ever, Why?",0.3691,2,backtranslation_rus_cyrl,0.4329,Muslims are the happiest people  why,backtranslation_swh_latn,0.4329,Muslims Are the Happiest People  Why,,,,,,,,,,,,,,,,,,,,,
765138,Why does loving someone hurts like hell?,0.1689,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479423,Why is there brail on the keypads at drive up ATM's?,0.7487,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2862887,how to care for a spiked dragon and what to feed them?,0.1659,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4250296,What do doctors do when a patient has a Do Nor Resuscitate Order?,0.084,6,backtranslation_fra_latn,0.1956,What do doctors do when a patient is ordered not to be resuscitated,backtranslation_tam_taml,0.1784,What would doctors do if a patient was ordered not to be re admitted,backtranslation_zsm_latn,0.16,What does a doctor do when a patient has a No or Resuscitate order,backtranslation_yue_hant,0.1215,What will the doctor do when the patient is unable to do or restore order to life,backtranslation_pes_arab,0.1092,What do doctors do when a patient has a no live order,backtranslation_swh_latn,0.1056,What do doctors do when a patient has an order to Do or Resuscitate,,,,,,,,,
3872395,what are some easy ways to get a toddler to go to sleep without being mean?,0.0188,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4473137,Causes and effects of the rise of Christanity?,0.2654,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1509982,How is th Chemistry is a basic of Science?,0.8167,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3269759,what is artificial intelligence?,0.4301,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3723508,What is the difference between an ox and a bull?,0.5752,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1282199,how can I hide the cuts on my wrists?,0.1937,2,backtranslation_fra_latn,0.2124,How do I hide the cuts on my wrists,backtranslation_deu_latn,0.2124,How do I hide the cuts on my wrists,,,,,,,,,,,,,,,,,,,,,
4196421,how can you be more brilliant?,0.2111,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1850323,Why some men never wash their hands after using the Urinal/Toilet?,0.3391,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2192891,how are braces put on and do they hurt a lot?,0.4358,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4406669,What do you order at Taco Bell?,0.3697,2,backtranslation_rus_cyrl,0.3833,What to order at Taco Bell,backtranslation_zsm_latn,0.3749,What are you ordering at Taco Bell,,,,,,,,,,,,,,,,,,,,,
1582877,why do we go to school if in the real world we dont use most of it?,0.1021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1340574,Why do some people only go to church on Easter Sunday and never go again until Christmas ?,0.4332,5,backtranslation_pes_arab,0.4539,Why do some people only go to church on Easter Sunday and not until Christmas,backtranslation_deu_latn,0.4539,Why do some people only go to church on Easter Sunday and not until Christmas,backtranslation_kor_hang,0.4538,Why do some people go to church on Easter Sunday and not go back until Christmas,backtranslation_fra_latn,0.4489,Why do some people only go to church on Easter Sunday and not before Christmas,backtranslation_zsm_latn,0.4409,Why do some people just go to church on Easter Sunday and not go again until Christmas,,,,,,,,,,,,
1971899,what is masturbat***?,0.1667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
