qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,qid.1,backtranslation_yue_hant,backtranslation_yue_hant.bm25.map,qid.2,backtranslation_kor_hang,backtranslation_kor_hang.bm25.map,qid.3,backtranslation_arb_arab,backtranslation_arb_arab.bm25.map,qid.4,backtranslation_pes_arab,backtranslation_pes_arab.bm25.map,qid.5,backtranslation_fra_latn,backtranslation_fra_latn.bm25.map,qid.6,backtranslation_deu_latn,backtranslation_deu_latn.bm25.map,qid.7,backtranslation_rus_cyrl,backtranslation_rus_cyrl.bm25.map,qid.8,backtranslation_zsm_latn,backtranslation_zsm_latn.bm25.map,qid.9,backtranslation_tam_taml,backtranslation_tam_taml.bm25.map,qid.10,backtranslation_swh_latn,backtranslation_swh_latn.bm25.map
772,flag display rules,0.2818,772,The logo shows the rules,0.0,772,Flag sign rules,0.0106,772,The rules of flagging,0.0589,772,The flag display rules,0.2818,772,rules for displaying the flag,0.2818,772,Flag display rules,0.2818,772,The flag display rules,0.2818,772,the rules of appearance of the flag,0.021,772,Flag display rules,0.2818,772,rules for flags,0.0589
773,Pennsylvania slot machine gambling,0.5595,773,The Pennsylvania bookmaker,0.2328,773,Pennsylvania slot machine gambling,0.5595,773,Pennsylvania machine games,0.3155,773,Playing in the Pennsylvania slot machine,0.5024,773,Pennsylvania slot machines,0.4939,773,Pennsylvania slot machines gambling,0.5595,773,Gambling at the Pennsylvania machines,0.9027,773,Pennsylvania slot machine gambling,0.5595,773,Pennsylvania slot machine gambling,0.5595,773,Pennsylvania game machine,0.3155
774,Causes of Homelessness,0.3057,774,Why they re homeless,0.012,774,Why I Have No Home,0.0,774,The causes of homelessness,0.3057,774,The cause of homelessness,0.3057,774,The Causes of Poverty,0.0008,774,Causes of homelessness,0.3057,774,The Causes of Homelessness,0.3057,774,Causes of Housing Emptiness,0.0001,774,homeless,0.1391,774,Reasons for Homelessness,0.0868
775,Commercial candy makers,0.4179,775,Commercial candy manufacturers,0.19,775,Commercial candy manufacturers,0.19,775,The commercial confectioners,0.0815,775,Commercial sweets manufacturers,0.0454,775,Manufacturers of commercial sweets,0.0454,775,Manufacturers of commercial sweets,0.0454,775,Commercial candy manufacturers,0.19,775,Commercial candy manufacturers,0.19,775,Commercial sweets makers,0.1036,775,Commercial sugar producers,0.0
776,Magnet schools success,0.3178,776,The success of the magnet school,0.3178,776,Success in your school,0.0004,776,The success of magnet schools,0.3178,776,Successful Magnet Schools,0.3178,776,The Success of Magnetic Schools,0.3178,776,Success of magnet schools,0.3178,776,The success of magnet schools,0.3178,776,Success of magnet school,0.3178,776,The success of magnetic schools,0.3178,776,The success of magnetic schools,0.3178
777,hybrid alternative fuel cars,0.3462,777,hybrid fuel cars,0.3205,777,Alternative fuel hybrid cars,0.3462,777,Alternate fuel cars,0.0957,777,Replacement fuel cars,0.0128,777,hybrid alternative fuel vehicles,0.1908,777,Hybrid cars with alternative fuels,0.3462,777,hybrid vehicles with alternative fuel,0.1908,777,hybrid alternative fuels,0.1668,777,Alternative fuel car,0.0957,777,vehicles with alternative fuels,0.0159
778,golden ratio,0.1284,778,The golden ratio,0.1284,778,Gold ratio,0.0002,778,The golden ratio,0.1284,778,Gold compared to gold,0.0,778,Gold ratio,0.0002,778,Gold ratio,0.0002,778,The golden ratio,0.1284,778,The golden ratio,0.1284,778,gold ratio,0.0002,778,The gold standard,0.0
779,Javelinas range and description,0.5286,779,Fish series and description,0.0,779,The range and description of Jabellana,0.0,779,The group and description of Javelinas,0.4184,779,The range and description of Javnas,0.0,779,Region and description of the javelins,0.0,779,Selection and description of Javelinas,0.3971,779,The range and description of the owl,0.0001,779,Range and description of Javelinas,0.5286,779,The description and classification of Javelina,0.402,779,Types and descriptions of javelinas,0.4191
780,Arable land,0.4222,780,The land,0.0006,780,Farming land,0.0002,780,The cultivated land,0.0001,780,The slaughterhouses,0.0,780,Agricultural land,0.0004,780,Agricultural land,0.0004,780,Soil,0.0,780,Farmland,0.0,780,land,0.0006,780,The Harvest,0.0
781,Squirrel control and protections,0.4122,781,Control and protection,0.0,781,Sky control and protection,0.0,781,Counter squirrel and protective herring,0.1134,781,Control and protection of squirrels,0.4122,781,Control and protection of squirrels,0.4122,781,Control and protection of squirrels,0.4122,781,Proteins control and protection,0.0,781,Squirrel control and protection,0.4122,781,Ant control and protection,0.0008,781,Control and protection of animals,0.0012
782,Orange varieties seasons,0.7065,782,Color  season,0.0899,782,Orange season,0.4849,782,The orange of the season,0.4849,782,Seasons of orange species,0.0,782,Seasons of Orange Varieties,0.7065,782,The Times of Oranges,0.0015,782,Orange varieties of the season,0.7065,782,Seasons of the orange type,0.5055,782,Orange varieties seasons,0.7065,782,Varieties of summer oranges,0.1853
783,school mercury poisoning,0.0702,783,School poisoning,0.0004,783,School hydrogen dependency,0.0002,783,Mercury poisoning at school,0.0702,783,Jewellery poisoning at school,0.0003,783,Mercury intoxication at school,0.0959,783,School mercury poisoning,0.0702,783,school mercury poisoning,0.0702,783,Mercury poisoning in schools,0.0702,783,Mercury poisoning in schools,0.0702,783,the poison of school inspiration,0.0
784,mersenne primes,0.4458,784,Mason number,0.0,784,The first of the Mercenaries,0.0,784,The first number,0.0,784,The first Mersenne numbers,0.3268,784,the prime numbers of mercenary,0.0035,784,their primary values,0.0,784,the first number,0.0,784,number of mersenne primes,0.4583,784,Merson s first,0.0,784,mersenne primes,0.4458
785,Ivory-billed woodpecker,0.3274,785,Ivory wood,0.0216,785,The tree of the whale,0.0001,785,The wood bird from the ivory tree,0.1514,785,Wood wheat with ivory wheat,0.0,785,The species of ivory ball woodpeckers,0.3184,785,Instruments for the manufacture of electrical equipment,0.0,785,The skin blade wooden peak,0.0,785,Wood cutter with ivory,0.0047,785,Cotton wool,0.0,785,Yellow horned river sand,0.0012
786,Yew trees,0.4179,786,The trees,0.0003,786,Vegetable tree,0.0018,786,Trees to him,0.0,786,The oak trees,0.0001,786,The Vine Trees,0.0012,786,The disciples,0.0,786,The trees,0.0003,786,Purple trees,0.0001,786,The tree,0.0003,786,Trees of plants,0.0003
787,Sunflower Cultivation,0.6141,787,Planting flowers,0.0004,787,Solar power plant,0.0,787,Planting sunflowers,0.3025,787,He planted sunflowers,0.192,787,The cultivation of sunflower,0.6141,787,Plants of sunflowers,0.3025,787,The sunflower,0.3427,787,Cultivation of sunflowers,0.6141,787,The cultivation of sunflower,0.6141,787,Planting a Sunflower,0.3025
788,Reverse mortgages,0.5735,788,Reverse mortgages,0.5735,788,I m not gonna reflect,0.0,788,The reverse mortgage,0.5735,788,Reverse mortgages,0.5735,788,Reverse mortgage loans,0.5218,788,Other loans,0.0,788,Mortgage loans,0.0189,788,Reverse mortgage loans,0.5218,788,Repayment of mortgages,0.0306,788,Loans to repay,0.0
789,abandoned mine reclamation,0.2294,789,Disposed mines re opened,0.0001,789,Abandoned mining,0.1325,789,The abandoned re embellishment,0.0004,789,Mining recycling is abandoned,0.0094,789,abandoned mining,0.1325,789,Abandoned minefields,0.0013,789,abandoned mines,0.1325,789,Restoration of the abandoned mine,0.0729,789,The recovery of abandoned mines,0.0342,789,The construction of lost bombs,0.0
790,women's rights in Saudi Arabia,0.5289,790,The rights of women in Saudi Arabia,0.5289,790,Women s rights in Saudi Arabia,0.4895,790,Women s rights in Saudi Arabia,0.4895,790,Women s rights in Saudi Arabia,0.4895,790,Women s rights in Saudi Arabia,0.4895,790,Women s rights in Saudi Arabia,0.4895,790,women s rights in Saudi Arabia,0.4895,790,Women s rights in Saudi Arabia,0.4895,790,Women s rights in Saudi Arabia,0.4895,790,Women s rights in Saudi Arabia,0.4895
791,Gullah geechee language culture,0.4695,791,The culture of the Gilli language,0.0,791,The culture of the Guarani language,0.0,791,The culture of the language of the Ghoul,0.0,791,The culture of the Gucci language,0.0,791,The culture of the Gula Gechee language,0.0,791,Gullahi Geechee language culture,0.161,791,The culture of the Gulla Geychi language,0.0026,791,The culture of the Gullah language geechee,0.4695,791,The culture of the Kula Chichi language,0.0,791,The culture of the Gulah geechee language,0.161
792,Social Security means test,0.1308,792,The way we provide social security,0.0061,792,Social Security exam,0.0,792,Social security means a test,0.1308,792,Social insurance is a test,0.0134,792,Social security means testing,0.1308,792,Social security means testing,0.1308,792,Social security   a test,0.1773,792,Social security means testing,0.1308,792,Social security testing,0.1773,792,Social Security means the test,0.1308
793,Bagpipe Bands,0.3595,793,The wire,0.0,793,The backpack pipe band,0.0004,793,The pipe tapes,0.0,793,Bags of bugs,0.0,793,Pipes and pipes,0.0,793,Other  of a kind used for the manufacture of goods of heading,0.0,793,The Tape,0.0,793,Band of bagpipes,0.3595,793,Backpack bands,0.0,793,Loading equipment,0.0
794,pet therapy,0.0888,794,Pet therapy,0.0888,794,Treatment of pets,0.0008,794,Treatment of pets,0.0008,794,Treatment of pets,0.0008,794,therapy for pets,0.0888,794,Animal health,0.0005,794,therapy of domestic animals,0.0055,794,Pet therapy,0.0888,794,Pet therapy,0.0888,794,treatment of animals,0.0001
795,notable cocker spaniels,0.0254,795,Fish,0.0,795,A remarkable Coker Spaniel,0.0675,795,Cocker Spaniel,0.0257,795,Notable spaniels,0.0235,795,the remarkable cocker spaniels,0.0436,795,Notable Cocker Spaniels,0.0254,795,The most remarkable cock singer,0.0,795,The famous cocker Spaniel,0.0459,795,The notable Coker Spaniel,0.0095,795,The famous cocker spaniels,0.0459
796,Blue Grass Music Festival history,0.2559,796,The history of the Blue Grass Festival,0.1744,796,The history of the Blue Grass Music Festival,0.2559,796,The history of the Blue Grass Music Festival,0.2559,796,The history of the Blue Grass Music Festival,0.2559,796,The history of the Blue Grass Music Festival,0.2559,796,History of the Blue Grass music festival,0.2559,796,The history of the Blue Grass music festival,0.2559,796,The history of the Blue Grass Music Festival,0.2559,796,The history of the Blue Cross Music Festival,0.1644,796,The history of the Blue Grass Music Festival,0.2559
797,reintroduction of gray wolves,0.5207,797,Grey wolves are reintroduced,0.2921,797,The red eyed grey wolf,0.011,797,The reintroduction of the gray wolves,0.5207,797,The gray wolf,0.2612,797,reintroduction of grey wolves,0.3407,797,Restoration of gray wolves,0.3802,797,Restarting the use of gray wolves,0.4046,797,re identification of the grey wolf,0.0048,797,The Red Wolf Resettlement,0.0075,797,reintroduction of the black wolf,0.2325
798,Massachusetts textile mills,0.1673,798,Massachusetts  the Massachusetts textile mill,0.165,798,Massachusetts textile factory,0.1911,798,The textile mills in Massachusetts,0.1673,798,The Massachusetts textile mills,0.1673,798,Textile manufacturing in Massachusetts,0.0459,798,Textile factories in Massachusetts,0.1911,798,Textile factories of Massachusetts,0.1911,798,Massachusetts textile mills,0.1673,798,Massachusetts textile mills,0.1673,798,Textile industry of Massachusetts,0.0615
799,Animals in Alzheimer's research,0.3095,799,Animals in the Alzheimer s study,0.3409,799,The animals in the Alzheimer s study,0.3409,799,Animals in Alzheimer s research,0.2691,799,In animal research on Alzheimer s,0.2691,799,Animal research on Alzheimer s,0.2691,799,Animals in Alzheimer s research,0.2691,799,Animals in Alzheimer s research,0.2691,799,Animals in Alzheimer s research,0.2691,799,The animals in Alzheimer s disease research are the most important,0.3816,799,Animals in Alzheimer s research,0.2691
800,Ovarian Cancer Treatment,0.2232,800,Ovarian cancer treatment,0.2232,800,Treatment of ovarian cancer,0.2232,800,Treatment for ovarian cancer,0.2232,800,Treatment for ovarian cancer,0.2232,800,Treatment of ovarian cancer,0.2232,800,Treatment of ovarian cancer,0.2232,800,Treatment of ovarian cancer,0.2232,800,Treatment for Ovarian Cancer,0.2232,800,The treatment of cervical cancer,0.0012,800,Treatment of Eye Cancer,0.0012
801,Kudzu Pueraria lobata,0.4259,801,The garden of Kunsan  the faucet,0.0,801,The Kuz Poeria Robata is coming,0.0,801,I  m not going to lie,0.0,801,The first is the  Codez Porcaria Lobata,0.0637,801,The child s elbow,0.0,801,Other  of a kind used for the manufacture of foodstuffs,0.0,801,The Kudo Poeraria of the Lobot,0.0,801,Kudzu Pueraria the lobotome,0.5209,801,The Kutsu Puewari Lopada,0.0,801,The Pueraria lobata,0.2158
802,Volcano eruptions global temperature,0.3804,802,The volcano erupted  and global warming began,0.2109,802,Volcanic eruptions  global warming,0.5024,802,Volcanic eruptions   Global warming,0.5024,802,The eruption of a global warming volcano,0.4052,802,Volcanic eruptions and global warming,0.5024,802,Volcanic eruptions global temperature,0.494,802,Volcanic eruptions global temperature,0.494,802,Global temperature volcanic eruption,0.494,802,Volcanic eruptions global warming,0.5024,802,Volcanic violence global warming,0.2317
803,May Day,0.0,803,One of May,0.0,803,May  st,0.0,803,May  st,0.0,803,A little bit,0.0,803,May,0.0,803,May,0.0,803,May  st,0.0,803,First day of May,0.0,803,May,0.0,803,The First Day of May,0.0
804,ban on human cloning,0.5224,804,Human cloning is prohibited,0.5425,804,Prohibition of human reproduction,0.3503,804,The ban on human replication,0.1329,804,Prohibition of human cloning,0.5425,804,prohibition on cloning humans,0.5425,804,Prohibition of cloning of humans,0.5425,804,The ban on cloning,0.5051,804,Prohibition of human cloning,0.5425,804,The ban on human cloning,0.5224,804,Prohibition of human design,0.0041
805,Identity Theft Passport,0.0764,805,I D  is a passport,0.0,805,A passport to steal an ID,0.0098,805,A passport for identity theft,0.0764,805,Identity theft pass,0.0205,805,Passport for identity theft,0.0764,805,Pass for identity theft,0.0205,805,Passport of identity theft,0.0764,805,Passport for identity theft,0.0764,805,Identity theft passport,0.0764,805,A Passport for Identity Theft,0.0764
806,Doctors Without Borders,0.1037,806,Doctors without borders,0.1037,806,Doctors without borders,0.1037,806,Doctors without borders,0.1037,806,Doctors without borders,0.1037,806,Doctors without Borders,0.1037,806,Doctors without Borders,0.1037,806,Doctors without borders,0.1037,806,Doctor Without Borders,0.1037,806,Doctors without Borders,0.1037,806,Doctors Without Borders,0.1037
807,Sugar tariff-rate quotas,0.5928,807,The sugar tax rate is set,0.1025,807,Sugar tariffs,0.4513,807,Sugar tariffs,0.4513,807,Low sugar tariffs,0.4605,807,Tariff quotas for sugar,0.5989,807,Tariff quotas for sugar,0.5989,807,Quotas on sugar tariff rates,0.5928,807,Sugar tariff boxes,0.272,807,Tax quotas for sugar,0.446,807,Sugar tax rates,0.1057
808,North Korean Counterfeiting,0.6233,808,North Korea is fake,0.0117,808,The North Korean counterfeit,0.6233,808,North Korean counterfeiting,0.6233,808,North Korean fraud,0.0295,808,Counterfeiting in North Korea,0.6065,808,North Korean counterfeiting,0.6233,808,North Korea is a fake,0.0117,808,North Korea Abuse,0.0245,808,The North Korean counterfeit,0.6233,808,North Korean Fraud,0.0295
809,wetlands wastewater treatment,0.3129,809,Wetland wastewater treatment,0.3129,809,The wetland drainage,0.0034,809,Treating the water in the swamp,0.0018,809,Wastewater treatment in wetlands,0.3129,809,treatment of wetland wastewater,0.3129,809,Wastewater treatment of wetlands,0.3129,809,Cleaning of wastewater in wetlands,0.0453,809,Wastewater treatment in wetlands,0.3129,809,Wetland wastewater treatment,0.3129,809,rainwater treatment,0.0
810,timeshare resales,0.3235,810,Share the time of the sale,0.0,810,Shared time reselling,0.0001,810,Re selling the stake in time,0.0,810,The resale of time stock,0.0,810,Sales distributed,0.0,810,The Commission shall take into account the following information,0.0,810,hourly share resale,0.0,810,Selling time back together,0.0,810,Time sharing reselling,0.0001,810,time sales,0.0
811,handwriting recognition,0.2378,811,Handwritten identification,0.0201,811,Signature,0.0,811,Identifying the handwriting,0.0167,811,Handwritten recognition,0.1606,811,recognition of writing,0.012,811,Handwriting identification,0.0122,811,recognition of handwriting,0.2378,811,handwriting recognition,0.2378,811,Signature acknowledgment,0.0,811,Recognizing the Scriptures,0.0
812,total knee replacement surgery,0.5915,812,Full knee replacement surgery,0.4999,812,Full knee replacement surgery,0.4999,812,Full knee replacement surgery,0.4999,812,Knee replacement surgery,0.4971,812,total knee replacement surgery,0.5915,812,Total knee replacement operation,0.5268,812,General operation for knee replacement,0.3899,812,Total knee replacement surgery,0.5915,812,A complete knee replacement,0.23,812,knee surgery,0.2886
813,Atlantic Intracoastal Waterway,0.298,813,The Pacific Ocean,0.0,813,I m on the Atlantic coast,0.0001,813,The Atlantic Waterway,0.1754,813,The waterway into the Atlantic coast,0.1173,813,The Atlantic Intracoastal Waterway,0.298,813,Intracoastal waterway of the Atlantic,0.298,813,Inland sea routes of the Atlantic,0.0028,813,Waterways in the Atlantic coast,0.1173,813,The coastal marine waterway,0.0262,813,The Atlantic Ocean s Inland Waterway,0.0709
814,Johnstown flood,0.6509,814,Johnstown flood,0.6509,814,The Johnstown Flood,0.6509,814,The Johnstown floods,0.6509,814,The flood of Johnstown,0.6509,814,Flood in Johnstown,0.6509,814,Johnstown Flood,0.6509,814,Flooding in Johnstown,0.6509,814,Flooding in Johnstown,0.6509,814,Johnstown Flood,0.6509,814,Floods in Johnstown,0.6509
815,Coast Guard rescues,0.2255,815,Coast Guard rescue,0.2255,815,Coast Guard rescue team,0.1249,815,The Coast Guard rescue,0.2255,815,The Coast Guard is rescuing,0.2255,815,Rescue by the Coast Guard,0.2255,815,Rescue of the Coast Guard,0.2255,815,Coast Guard rescuers,0.0087,815,The Coast Guard Rescue,0.2255,815,Coast Guard rescue,0.2255,815,The Safety of the Coast Guard,0.0253
816,USAID assistance to Galapagos,0.8266,816,USAID is helping Galapagos,0.8548,816,USAID support for the Galapagos region,0.8452,816,Assistance provided by the U S  Agency for International Development to the Galapagos Islands,0.5689,816,USAID aid to the Galapagos,0.6762,816,Aid from USAID in the Galapagos,0.6966,816,USAID support for the Galapagos,0.8523,816,USAID s assistance to the Galapagos,0.8222,816,USAID aid to the Galapagos,0.6762,816,USAID aid on the Galapagos,0.6762,816,USAID assistance to the Galapagos,0.8266
817,sports stadium naming rights,0.3758,817,The naming rights of the stadium,0.4101,817,Sports stadium name card,0.1837,817,Sports fields naming rights,0.0495,817,Sports stadium naming rights,0.3758,817,Rights to name sports stadiums,0.3758,817,Sports stadium rights,0.2933,817,right to name the sports stadium,0.3758,817,right to name sports stadiums,0.3758,817,Naming rights of the stadium,0.4101,817,rights to the name of the stadium,0.4101
818,Chaco Culture National Park,0.3886,818,The Chako Culture National Park,0.0058,818,The Chako Cultural National Park,0.0058,818,The national park of culture of the Chaco,0.3886,818,The national park of culture of the Chaco,0.3886,818,The Chaco National Park,0.3145,818,The Chaco culture national park,0.3886,818,The Chaco National Park of Culture,0.3886,818,The Chaco Cultural Park,0.3855,818,Sago Cultural National Park,0.0032,818,The Chaco National Park,0.3145
819,1890 Census,0.5175,819,The      census,0.0048,819,The      census,0.0048,819,The      census,0.0048,819,The      census,0.0048,819,Census of,0.0048,819,Census of,0.0048,819,The      census,0.0048,819,The      census,0.0048,819,Census,0.0048,819,Population in,0.0009
820,imported fire ants,0.7739,820,Importing fire,0.2535,820,Imported fireworks,0.0,820,Imported fire ants,0.7739,820,Fire ants are in,0.6853,820,imported fire ants,0.7739,820,Import of fire ants,0.7739,820,imported fire ants,0.7739,820,imported fire ants,0.7739,820,Imported fire ants,0.7739,820,outdoor fireflies,0.0
821,Internet work-at-home scams,0.222,821,The Internet is electric,0.0,821,You re cheating on the Internet,0.0,821,Internet scams at work at home,0.222,821,Internet scams at work,0.1795,821,The scams on the Internet,0.0622,821,Internet Fraud at Work at Home,0.0734,821,Internet fraud at work,0.0209,821,Internet fraud at home,0.0406,821,The Internet is a home for online work,0.0033,821,Cheating on the Internet,0.0
822,Custer's Last Stand,0.108,822,Castor s final position is,0.0,822,The last of the Cousters,0.0,822,Last stop for Custer,0.0393,822,The last stop of Custer,0.0393,822,Custer s last stand,0.0626,822,Custer s last stand,0.0626,822,Custer s last post,0.0162,822,Custer s last defense,0.1312,822,The final stage of Castro,0.0,822,Custer s Final Victory,0.048
823,Continuing care retirement communities,0.2669,823,Continuing to care for the retirement community,0.2669,823,Continuous management retirement community,0.0355,823,Continuous retirement communities,0.1236,823,Continuing care retirement communities,0.2669,823,Continuing care pension communities,0.0001,823,Development pension communities,0.0,823,Communities of pensioners in constant care,0.0,823,The community of retired people continues to care,0.1108,823,Continuous care pension communities,0.0001,823,Adult communities to thrive,0.0
824,Civil Air Patrol,0.3192,824,Civil air patrol,0.3192,824,Civil air patrol,0.3192,824,Civil air patrol,0.3192,824,Civil air patrol,0.3192,824,Civil air patrol,0.3192,824,Civil air patrol,0.3192,824,Civil air patrol,0.3192,824,Public air services,0.0003,824,Civil Air Force,0.1124,824,A Vehicle for Air Transport,0.0
825,National Guard Involvement in Iraq,0.0282,825,The Iraqi National Guard is involved,0.0049,825,The National Guard s involvement in Iraq,0.022,825,National Guard involvement in Iraq,0.0282,825,National Army involvement in Iraq,0.0017,825,National Guard involvement in Iraq,0.0282,825,Participation of the National Guard in Iraq,0.0667,825,The National Guard s involvement in Iraq,0.022,825,National Guard involvement in Iraq,0.0282,825,National Police participation in Iraq,0.0068,825,The National Guard in Iraq,0.0958
826,Florida Seminole Indians,0.2173,826,The Florida Seminole Indians,0.2173,826,The Florida Seminole Indian,0.2173,826,Seminole Indian in Florida,0.2173,826,The Seminole Indians of Florida,0.2173,826,Seminole Indians of Florida,0.2173,826,Florida Seminole Indians,0.2173,826,The Seminole Indians of Florida,0.2173,826,The Seminole Indians of Florida,0.2173,826,Florida Seminole Indians,0.2173,826,Seminole Indians of Florida,0.2173
827,Hidden Markov Modeling HMM,0.3525,827,The hidden Malkovic simulation of HMM,0.3898,827,HMM hidden markup modeling,0.3578,827,Markov is hiding a model hymn,0.0403,827,The secret model of the HMM Markov,0.3455,827,Hidden modeling of Markov HMM,0.3525,827,Hidden Markov modeling HMM,0.3525,827,The hidden model of Markov HMM,0.3525,827,HMM model of Markov hidden,0.3525,827,HMM with hidden Markov modeling,0.3525,827,Secret Markov Modeling HMM,0.3455
828,secret shoppers,0.2777,828,Secret shoppers,0.2777,828,Secret shoppers,0.2777,828,The secret shoppers,0.2777,828,The hidden buyers,0.0,828,secret buyers,0.0,828,Secret buyers,0.0,828,The secret buyers,0.0,828,Secret shoppers,0.2777,828,Secret buyers,0.0,828,secret shoppers,0.2777
829,Spanish Civil War support,0.0666,829,Spanish Civil War support,0.0666,829,Spanish Civil War Support,0.0666,829,Supporting the Spanish Civil War,0.0666,829,Support for the Spanish Civil War,0.0666,829,Support for the Spanish Civil War,0.0666,829,Support for the Spanish Civil War,0.0666,829,Supporting the Spanish Civil War,0.0666,829,Support for the Spanish Civil War,0.0666,829,The Spanish Civil War was a turning point in the history of the Spanish Civil War,0.0304,829,Aid for the Spanish Civil War,0.0402
830,model railroads,0.0629,830,The model of railroads,0.0629,830,Model railway,0.0092,830,Typical railways,0.0001,830,Model railway,0.0092,830,railway model,0.0092,830,Model route,0.0,830,model of railways,0.0092,830,model railway,0.0092,830,Model railway,0.0092,830,model railways,0.0092
831,Dulles Airport security,0.3064,831,Dulles Airport is safe,0.0327,831,Dallas airport security,0.0075,831,Dalyes airport security,0.0324,831,Security at Dallas Airport,0.0075,831,Security at Dulles Airport,0.3064,831,Security at Dulles Airport,0.3064,831,The security of the Dallas airport,0.0075,831,Dulles Airport Security,0.3064,831,Airport security of Dulles,0.3064,831,Security at Dulles Airport,0.3064
832,labor union activity,0.1649,832,The trade union movement,0.0021,832,Trade union activities,0.0006,832,Trade union activity,0.0006,832,Trade unions,0.0013,832,trade union activity,0.0006,832,Trade union activity,0.0006,832,Trade union activities,0.0006,832,trade union activities,0.0006,832,Trade union activity,0.0006,832,trade union activities,0.0006
833,Iceland government,0.4049,833,The Icelandic government,0.4049,833,The Icelandic government,0.4049,833,The Icelandic government,0.4049,833,The Icelandic government,0.4049,833,The Icelandic Government,0.4049,833,Government of Iceland,0.4049,833,The Government of Iceland,0.4049,833,The Icelandic government,0.4049,833,The Icelandic government,0.4049,833,The Icelandic government,0.4049
834,Global positioning system earthquakes,0.4494,834,Global positioning system,0.0057,834,Global location system earthquake,0.2041,834,Earthquakes in the global positioning system,0.4494,834,Earthquakes in the global positioning system,0.4494,834,Earthquake of the World Positioning System,0.0992,834,Earthquakes of the global positioning system,0.4494,834,Global positioning systems for earthquakes,0.4494,834,Global earthquake placement system,0.1024,834,The global positioning system earthquakes,0.4494,834,Earthquake of a system of local order,0.0181
835,Big Dig pork,0.0986,835,It s a big pig,0.0,835,Big  digging pigs,0.0336,835,Big pork,0.0006,835,Big pork,0.0006,835,The Pork of the Dig,0.0,835,Big pigs,0.0002,835,Big pigs,0.0002,835,Big pork,0.0006,835,Big digging meat,0.0453,835,The large pig,0.0
836,illegal immigrant wages,0.2575,836,The wages of illegal immigrants,0.2575,836,The wages of illegal immigrants,0.2575,836,Illegal immigrant wages,0.2575,836,The rights of illegal immigrants,0.0645,836,wages of illegal immigrants,0.2575,836,Wages for illegal immigrants,0.2575,836,wages of illegal immigrants,0.2575,836,Illegal immigrant wages,0.2575,836,The wages of illegal immigrants,0.2575,836,wages of legal immigrants,0.0298
837,Eskimo History,0.0944,837,The Smithsonian,0.0,837,The history of the Eskimos,0.0944,837,The history of the Eskimos,0.0944,837,The history of the Eskimos,0.0944,837,The history of the Eskimos,0.0944,837,The history of the Eskimos,0.0944,837,The story is sketchy,0.0,837,The history of the Eskimos,0.0944,837,The history of Eskimo,0.0944,837,The History of the Waeskim,0.0
838,urban suburban coyotes,0.3531,838,And the suburbs,0.0,838,Coyote outside the city,0.1618,838,Urban cows,0.0,838,Urban Quoits,0.0,838,urban coyotes,0.5081,838,Suburban coyotes,0.2737,838,urban coyotes,0.5081,838,Suburban coyotes,0.2737,838,Urban coyotes,0.5081,838,urban coyotes,0.5081
839,textile dyeing techniques,0.5885,839,Weaving technology,0.0021,839,Fiber dyeing,0.1788,839,Techniques for dyeing fabrics,0.2512,839,Textile dyeing techniques,0.5885,839,textile dyeing techniques,0.5885,839,Textile colouring processes,0.0101,839,textile painting techniques,0.0119,839,textile dyeing techniques,0.5885,839,Textile dyeing techniques,0.5885,839,techniques for dyeing clothes,0.0936
840,Geysers,0.1631,840,The cyclone,0.0,840,The basement,0.0,840,The Geysers,0.1631,840,The Geyser,0.1631,840,The geysers,0.1631,840,Other geysers,0.1624,840,Geysers,0.1631,840,Geysers,0.1631,840,Kaiser,0.0,840,Geysers,0.1631
841,camel North America,0.338,841,North American camel,0.1588,841,The Camel North American,0.1588,841,North America,0.0,841,North America,0.0,841,North America,0.0,841,North America,0.0,841,Camel North America,0.338,841,North American camel,0.1588,841,North America,0.0,841,camels in North America,0.338
842,David McCullough,0.1266,842,David McCullough,0.1266,842,I m not going to lie,0.0001,842,I  m not going to lie,0.0001,842,I m going to see David McCullough,0.1424,842,David McCullough,0.1266,842,The Commission has also adopted a proposal for a regulation on the implementation of the common fisheries policy,0.0,842,David McCullough,0.1266,842,David McCullough is,0.1266,842,David McCullough,0.1266,842,David McCullough,0.1266
843,Pol Pot,0.3922,843,This is Paul Porter,0.0,843,Paul Port,0.0,843,Paul Booth,0.0,843,The money s gone,0.0,843,Pol Pot,0.3922,843,Pol Pot,0.3922,843,Paul Pot,0.0026,843,Pol Pot,0.3922,843,Paul Pot,0.0026,843,Pol Pot,0.3922
844,segmental duplications,0.0619,844,Partially copied,0.0,844,Copy the segment,0.0003,844,The cataract complications,0.0,844,The double edged sword,0.0,844,double segmented,0.0,844,Segmental duplications,0.0619,844,segmental duplications,0.0619,844,duplication of the segment,0.0619,844,division double,0.0,844,segmental duplications,0.0619
845,New Jersey tomato,0.3247,845,New Jersey tomatoes are the best,0.2044,845,The New Jersey tomatoes,0.3247,845,New Jersey tomatoes,0.3247,845,The New Jersey tomatoes,0.3247,845,Tomatoes from New Jersey,0.3178,845,Tomatoes from New Jersey,0.3178,845,Tomatoes from New Jersey,0.3178,845,New Jersey tomatoes,0.3247,845,New Jersey tomatoes,0.3247,845,New Jersey s grandmother,0.0
