qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,qid.1,backtranslation_yue_hant,backtranslation_yue_hant.qld.map,qid.2,backtranslation_kor_hang,backtranslation_kor_hang.qld.map,qid.3,backtranslation_arb_arab,backtranslation_arb_arab.qld.map,qid.4,backtranslation_pes_arab,backtranslation_pes_arab.qld.map,qid.5,backtranslation_fra_latn,backtranslation_fra_latn.qld.map,qid.6,backtranslation_deu_latn,backtranslation_deu_latn.qld.map,qid.7,backtranslation_rus_cyrl,backtranslation_rus_cyrl.qld.map,qid.8,backtranslation_zsm_latn,backtranslation_zsm_latn.qld.map,qid.9,backtranslation_tam_taml,backtranslation_tam_taml.qld.map,qid.10,backtranslation_swh_latn,backtranslation_swh_latn.qld.map
772,flag display rules,0.3723,772,The logo shows the rules,0.0,772,Flag sign rules,0.0304,772,The rules of flagging,0.1028,772,The flag display rules,0.3723,772,rules for displaying the flag,0.3723,772,Flag display rules,0.3723,772,The flag display rules,0.3723,772,the rules of appearance of the flag,0.0592,772,Flag display rules,0.3723,772,rules for flags,0.1028
773,Pennsylvania slot machine gambling,0.5488,773,The Pennsylvania bookmaker,0.268,773,Pennsylvania slot machine gambling,0.5488,773,Pennsylvania machine games,0.2436,773,Playing in the Pennsylvania slot machine,0.462,773,Pennsylvania slot machines,0.3592,773,Pennsylvania slot machines gambling,0.5488,773,Gambling at the Pennsylvania machines,0.8534,773,Pennsylvania slot machine gambling,0.5488,773,Pennsylvania slot machine gambling,0.5488,773,Pennsylvania game machine,0.2436
774,Causes of Homelessness,0.3052,774,Why they re homeless,0.0158,774,Why I Have No Home,0.0,774,The causes of homelessness,0.3052,774,The cause of homelessness,0.3052,774,The Causes of Poverty,0.0005,774,Causes of homelessness,0.3052,774,The Causes of Homelessness,0.3052,774,Causes of Housing Emptiness,0.0001,774,homeless,0.136,774,Reasons for Homelessness,0.1509
775,Commercial candy makers,0.3719,775,Commercial candy manufacturers,0.1169,775,Commercial candy manufacturers,0.1169,775,The commercial confectioners,0.1545,775,Commercial sweets manufacturers,0.0444,775,Manufacturers of commercial sweets,0.0444,775,Manufacturers of commercial sweets,0.0444,775,Commercial candy manufacturers,0.1169,775,Commercial candy manufacturers,0.1169,775,Commercial sweets makers,0.1082,775,Commercial sugar producers,0.0001
776,Magnet schools success,0.223,776,The success of the magnet school,0.223,776,Success in your school,0.0007,776,The success of magnet schools,0.223,776,Successful Magnet Schools,0.223,776,The Success of Magnetic Schools,0.223,776,Success of magnet schools,0.223,776,The success of magnet schools,0.223,776,Success of magnet school,0.223,776,The success of magnetic schools,0.223,776,The success of magnetic schools,0.223
777,hybrid alternative fuel cars,0.3082,777,hybrid fuel cars,0.3172,777,Alternative fuel hybrid cars,0.3082,777,Alternate fuel cars,0.0878,777,Replacement fuel cars,0.0249,777,hybrid alternative fuel vehicles,0.1293,777,Hybrid cars with alternative fuels,0.3082,777,hybrid vehicles with alternative fuel,0.1293,777,hybrid alternative fuels,0.1258,777,Alternative fuel car,0.0878,777,vehicles with alternative fuels,0.0165
778,golden ratio,0.0998,778,The golden ratio,0.0998,778,Gold ratio,0.0007,778,The golden ratio,0.0998,778,Gold compared to gold,0.0,778,Gold ratio,0.0007,778,Gold ratio,0.0007,778,The golden ratio,0.0998,778,The golden ratio,0.0998,778,gold ratio,0.0007,778,The gold standard,0.0
779,Javelinas range and description,0.5034,779,Fish series and description,0.0,779,The range and description of Jabellana,0.0,779,The group and description of Javelinas,0.3196,779,The range and description of Javnas,0.0,779,Region and description of the javelins,0.0,779,Selection and description of Javelinas,0.341,779,The range and description of the owl,0.0001,779,Range and description of Javelinas,0.5034,779,The description and classification of Javelina,0.3302,779,Types and descriptions of javelinas,0.3138
780,Arable land,0.3529,780,The land,0.0005,780,Farming land,0.0003,780,The cultivated land,0.0004,780,The slaughterhouses,0.0,780,Agricultural land,0.0005,780,Agricultural land,0.0005,780,Soil,0.0,780,Farmland,0.0,780,land,0.0005,780,The Harvest,0.0
781,Squirrel control and protections,0.4286,781,Control and protection,0.0,781,Sky control and protection,0.0,781,Counter squirrel and protective herring,0.1095,781,Control and protection of squirrels,0.4286,781,Control and protection of squirrels,0.4286,781,Control and protection of squirrels,0.4286,781,Proteins control and protection,0.0,781,Squirrel control and protection,0.4286,781,Ant control and protection,0.0008,781,Control and protection of animals,0.0007
782,Orange varieties seasons,0.6889,782,Color  season,0.0799,782,Orange season,0.4163,782,The orange of the season,0.4163,782,Seasons of orange species,0.053,782,Seasons of Orange Varieties,0.6889,782,The Times of Oranges,0.0013,782,Orange varieties of the season,0.6889,782,Seasons of the orange type,0.4846,782,Orange varieties seasons,0.6889,782,Varieties of summer oranges,0.2631
783,school mercury poisoning,0.1768,783,School poisoning,0.0029,783,School hydrogen dependency,0.0,783,Mercury poisoning at school,0.1768,783,Jewellery poisoning at school,0.0013,783,Mercury intoxication at school,0.1282,783,School mercury poisoning,0.1768,783,school mercury poisoning,0.1768,783,Mercury poisoning in schools,0.1768,783,Mercury poisoning in schools,0.1768,783,the poison of school inspiration,0.0001
784,mersenne primes,0.4507,784,Mason number,0.0,784,The first of the Mercenaries,0.0,784,The first number,0.0,784,The first Mersenne numbers,0.3443,784,the prime numbers of mercenary,0.0005,784,their primary values,0.0,784,the first number,0.0,784,number of mersenne primes,0.4521,784,Merson s first,0.0,784,mersenne primes,0.4507
785,Ivory-billed woodpecker,0.4231,785,Ivory wood,0.0367,785,The tree of the whale,0.0001,785,The wood bird from the ivory tree,0.1838,785,Wood wheat with ivory wheat,0.0001,785,The species of ivory ball woodpeckers,0.5637,785,Instruments for the manufacture of electrical equipment,0.0,785,The skin blade wooden peak,0.0,785,Wood cutter with ivory,0.0088,785,Cotton wool,0.0,785,Yellow horned river sand,0.0012
786,Yew trees,0.425,786,The trees,0.0003,786,Vegetable tree,0.0019,786,Trees to him,0.0,786,The oak trees,0.0001,786,The Vine Trees,0.0016,786,The disciples,0.0,786,The trees,0.0003,786,Purple trees,0.0002,786,The tree,0.0003,786,Trees of plants,0.0003
787,Sunflower Cultivation,0.5755,787,Planting flowers,0.0005,787,Solar power plant,0.0,787,Planting sunflowers,0.2363,787,He planted sunflowers,0.1968,787,The cultivation of sunflower,0.5755,787,Plants of sunflowers,0.2363,787,The sunflower,0.3437,787,Cultivation of sunflowers,0.5755,787,The cultivation of sunflower,0.5755,787,Planting a Sunflower,0.2363
788,Reverse mortgages,0.5221,788,Reverse mortgages,0.5221,788,I m not gonna reflect,0.0,788,The reverse mortgage,0.5221,788,Reverse mortgages,0.5221,788,Reverse mortgage loans,0.4153,788,Other loans,0.0,788,Mortgage loans,0.0178,788,Reverse mortgage loans,0.4153,788,Repayment of mortgages,0.0411,788,Loans to repay,0.0
789,abandoned mine reclamation,0.2213,789,Disposed mines re opened,0.0017,789,Abandoned mining,0.1192,789,The abandoned re embellishment,0.0,789,Mining recycling is abandoned,0.0701,789,abandoned mining,0.1192,789,Abandoned minefields,0.0,789,abandoned mines,0.1192,789,Restoration of the abandoned mine,0.1064,789,The recovery of abandoned mines,0.0785,789,The construction of lost bombs,0.0
790,women's rights in Saudi Arabia,0.5206,790,The rights of women in Saudi Arabia,0.5206,790,Women s rights in Saudi Arabia,0.4883,790,Women s rights in Saudi Arabia,0.4883,790,Women s rights in Saudi Arabia,0.4883,790,Women s rights in Saudi Arabia,0.4883,790,Women s rights in Saudi Arabia,0.4883,790,women s rights in Saudi Arabia,0.4883,790,Women s rights in Saudi Arabia,0.4883,790,Women s rights in Saudi Arabia,0.4883,790,Women s rights in Saudi Arabia,0.4883
791,Gullah geechee language culture,0.4643,791,The culture of the Gilli language,0.0,791,The culture of the Guarani language,0.0,791,The culture of the language of the Ghoul,0.0,791,The culture of the Gucci language,0.0,791,The culture of the Gula Gechee language,0.0,791,Gullahi Geechee language culture,0.1803,791,The culture of the Gulla Geychi language,0.0147,791,The culture of the Gullah language geechee,0.4643,791,The culture of the Kula Chichi language,0.0,791,The culture of the Gulah geechee language,0.1788
792,Social Security means test,0.103,792,The way we provide social security,0.0123,792,Social Security exam,0.0001,792,Social security means a test,0.103,792,Social insurance is a test,0.0077,792,Social security means testing,0.103,792,Social security means testing,0.103,792,Social security   a test,0.1243,792,Social security means testing,0.103,792,Social security testing,0.1243,792,Social Security means the test,0.103
793,Bagpipe Bands,0.274,793,The wire,0.0,793,The backpack pipe band,0.0,793,The pipe tapes,0.0,793,Bags of bugs,0.0,793,Pipes and pipes,0.0,793,Other  of a kind used for the manufacture of goods of heading,0.0,793,The Tape,0.0,793,Band of bagpipes,0.274,793,Backpack bands,0.0,793,Loading equipment,0.0
794,pet therapy,0.0638,794,Pet therapy,0.0638,794,Treatment of pets,0.0008,794,Treatment of pets,0.0008,794,Treatment of pets,0.0008,794,therapy for pets,0.0638,794,Animal health,0.0006,794,therapy of domestic animals,0.0141,794,Pet therapy,0.0638,794,Pet therapy,0.0638,794,treatment of animals,0.0002
795,notable cocker spaniels,0.0223,795,Fish,0.0,795,A remarkable Coker Spaniel,0.0993,795,Cocker Spaniel,0.0238,795,Notable spaniels,0.0171,795,the remarkable cocker spaniels,0.0358,795,Notable Cocker Spaniels,0.0223,795,The most remarkable cock singer,0.0,795,The famous cocker Spaniel,0.0375,795,The notable Coker Spaniel,0.0079,795,The famous cocker spaniels,0.0375
796,Blue Grass Music Festival history,0.1649,796,The history of the Blue Grass Festival,0.1145,796,The history of the Blue Grass Music Festival,0.1649,796,The history of the Blue Grass Music Festival,0.1649,796,The history of the Blue Grass Music Festival,0.1649,796,The history of the Blue Grass Music Festival,0.1649,796,History of the Blue Grass music festival,0.1649,796,The history of the Blue Grass music festival,0.1649,796,The history of the Blue Grass Music Festival,0.1649,796,The history of the Blue Cross Music Festival,0.1369,796,The history of the Blue Grass Music Festival,0.1649
797,reintroduction of gray wolves,0.6259,797,Grey wolves are reintroduced,0.3336,797,The red eyed grey wolf,0.0172,797,The reintroduction of the gray wolves,0.6259,797,The gray wolf,0.2608,797,reintroduction of grey wolves,0.3672,797,Restoration of gray wolves,0.4332,797,Restarting the use of gray wolves,0.3908,797,re identification of the grey wolf,0.006,797,The Red Wolf Resettlement,0.0154,797,reintroduction of the black wolf,0.2707
798,Massachusetts textile mills,0.1714,798,Massachusetts  the Massachusetts textile mill,0.1745,798,Massachusetts textile factory,0.152,798,The textile mills in Massachusetts,0.1714,798,The Massachusetts textile mills,0.1714,798,Textile manufacturing in Massachusetts,0.0027,798,Textile factories in Massachusetts,0.152,798,Textile factories of Massachusetts,0.152,798,Massachusetts textile mills,0.1714,798,Massachusetts textile mills,0.1714,798,Textile industry of Massachusetts,0.043
799,Animals in Alzheimer's research,0.185,799,Animals in the Alzheimer s study,0.2018,799,The animals in the Alzheimer s study,0.2018,799,Animals in Alzheimer s research,0.1515,799,In animal research on Alzheimer s,0.1515,799,Animal research on Alzheimer s,0.1515,799,Animals in Alzheimer s research,0.1515,799,Animals in Alzheimer s research,0.1515,799,Animals in Alzheimer s research,0.1515,799,The animals in Alzheimer s disease research are the most important,0.1988,799,Animals in Alzheimer s research,0.1515
800,Ovarian Cancer Treatment,0.1997,800,Ovarian cancer treatment,0.1997,800,Treatment of ovarian cancer,0.1997,800,Treatment for ovarian cancer,0.1997,800,Treatment for ovarian cancer,0.1997,800,Treatment of ovarian cancer,0.1997,800,Treatment of ovarian cancer,0.1997,800,Treatment of ovarian cancer,0.1997,800,Treatment for Ovarian Cancer,0.1997,800,The treatment of cervical cancer,0.0045,800,Treatment of Eye Cancer,0.0007
801,Kudzu Pueraria lobata,0.4422,801,The garden of Kunsan  the faucet,0.0,801,The Kuz Poeria Robata is coming,0.0,801,I  m not going to lie,0.0,801,The first is the  Codez Porcaria Lobata,0.0441,801,The child s elbow,0.0,801,Other  of a kind used for the manufacture of foodstuffs,0.0,801,The Kudo Poeraria of the Lobot,0.0,801,Kudzu Pueraria the lobotome,0.5346,801,The Kutsu Puewari Lopada,0.0,801,The Pueraria lobata,0.2475
802,Volcano eruptions global temperature,0.3471,802,The volcano erupted  and global warming began,0.1265,802,Volcanic eruptions  global warming,0.4749,802,Volcanic eruptions   Global warming,0.4749,802,The eruption of a global warming volcano,0.3409,802,Volcanic eruptions and global warming,0.4749,802,Volcanic eruptions global temperature,0.4665,802,Volcanic eruptions global temperature,0.4665,802,Global temperature volcanic eruption,0.4665,802,Volcanic eruptions global warming,0.4749,802,Volcanic violence global warming,0.2603
803,May Day,0.0,803,One of May,0.0,803,May  st,0.0,803,May  st,0.0,803,A little bit,0.0,803,May,0.0,803,May,0.0,803,May  st,0.0,803,First day of May,0.0,803,May,0.0,803,The First Day of May,0.0
804,ban on human cloning,0.5122,804,Human cloning is prohibited,0.5534,804,Prohibition of human reproduction,0.3811,804,The ban on human replication,0.1542,804,Prohibition of human cloning,0.5534,804,prohibition on cloning humans,0.5534,804,Prohibition of cloning of humans,0.5534,804,The ban on cloning,0.5025,804,Prohibition of human cloning,0.5534,804,The ban on human cloning,0.5122,804,Prohibition of human design,0.097
805,Identity Theft Passport,0.041,805,I D  is a passport,0.0,805,A passport to steal an ID,0.016,805,A passport for identity theft,0.041,805,Identity theft pass,0.0082,805,Passport for identity theft,0.041,805,Pass for identity theft,0.0082,805,Passport of identity theft,0.041,805,Passport for identity theft,0.041,805,Identity theft passport,0.041,805,A Passport for Identity Theft,0.041
806,Doctors Without Borders,0.0663,806,Doctors without borders,0.0663,806,Doctors without borders,0.0663,806,Doctors without borders,0.0663,806,Doctors without borders,0.0663,806,Doctors without Borders,0.0663,806,Doctors without Borders,0.0663,806,Doctors without borders,0.0663,806,Doctor Without Borders,0.0663,806,Doctors without Borders,0.0663,806,Doctors Without Borders,0.0663
807,Sugar tariff-rate quotas,0.5685,807,The sugar tax rate is set,0.1238,807,Sugar tariffs,0.4826,807,Sugar tariffs,0.4826,807,Low sugar tariffs,0.5106,807,Tariff quotas for sugar,0.5819,807,Tariff quotas for sugar,0.5819,807,Quotas on sugar tariff rates,0.5685,807,Sugar tariff boxes,0.4108,807,Tax quotas for sugar,0.5759,807,Sugar tax rates,0.1383
808,North Korean Counterfeiting,0.6491,808,North Korea is fake,0.0535,808,The North Korean counterfeit,0.6491,808,North Korean counterfeiting,0.6491,808,North Korean fraud,0.075,808,Counterfeiting in North Korea,0.6668,808,North Korean counterfeiting,0.6491,808,North Korea is a fake,0.0535,808,North Korea Abuse,0.031,808,The North Korean counterfeit,0.6491,808,North Korean Fraud,0.075
809,wetlands wastewater treatment,0.3132,809,Wetland wastewater treatment,0.3132,809,The wetland drainage,0.0032,809,Treating the water in the swamp,0.0017,809,Wastewater treatment in wetlands,0.3132,809,treatment of wetland wastewater,0.3132,809,Wastewater treatment of wetlands,0.3132,809,Cleaning of wastewater in wetlands,0.1006,809,Wastewater treatment in wetlands,0.3132,809,Wetland wastewater treatment,0.3132,809,rainwater treatment,0.0
810,timeshare resales,0.3129,810,Share the time of the sale,0.0,810,Shared time reselling,0.0,810,Re selling the stake in time,0.0,810,The resale of time stock,0.0,810,Sales distributed,0.0,810,The Commission shall take into account the following information,0.0,810,hourly share resale,0.0,810,Selling time back together,0.0,810,Time sharing reselling,0.0,810,time sales,0.0
811,handwriting recognition,0.2808,811,Handwritten identification,0.0207,811,Signature,0.0,811,Identifying the handwriting,0.019,811,Handwritten recognition,0.1787,811,recognition of writing,0.0057,811,Handwriting identification,0.0113,811,recognition of handwriting,0.2808,811,handwriting recognition,0.2808,811,Signature acknowledgment,0.0,811,Recognizing the Scriptures,0.0
812,total knee replacement surgery,0.5012,812,Full knee replacement surgery,0.4683,812,Full knee replacement surgery,0.4683,812,Full knee replacement surgery,0.4683,812,Knee replacement surgery,0.4609,812,total knee replacement surgery,0.5012,812,Total knee replacement operation,0.441,812,General operation for knee replacement,0.3921,812,Total knee replacement surgery,0.5012,812,A complete knee replacement,0.3184,812,knee surgery,0.2691
813,Atlantic Intracoastal Waterway,0.2986,813,The Pacific Ocean,0.0,813,I m on the Atlantic coast,0.0001,813,The Atlantic Waterway,0.1657,813,The waterway into the Atlantic coast,0.0946,813,The Atlantic Intracoastal Waterway,0.2986,813,Intracoastal waterway of the Atlantic,0.2986,813,Inland sea routes of the Atlantic,0.0009,813,Waterways in the Atlantic coast,0.0946,813,The coastal marine waterway,0.0048,813,The Atlantic Ocean s Inland Waterway,0.0645
814,Johnstown flood,0.6922,814,Johnstown flood,0.6922,814,The Johnstown Flood,0.6922,814,The Johnstown floods,0.6922,814,The flood of Johnstown,0.6922,814,Flood in Johnstown,0.6922,814,Johnstown Flood,0.6922,814,Flooding in Johnstown,0.6922,814,Flooding in Johnstown,0.6922,814,Johnstown Flood,0.6922,814,Floods in Johnstown,0.6922
815,Coast Guard rescues,0.1404,815,Coast Guard rescue,0.1404,815,Coast Guard rescue team,0.1132,815,The Coast Guard rescue,0.1404,815,The Coast Guard is rescuing,0.1404,815,Rescue by the Coast Guard,0.1404,815,Rescue of the Coast Guard,0.1404,815,Coast Guard rescuers,0.014,815,The Coast Guard Rescue,0.1404,815,Coast Guard rescue,0.1404,815,The Safety of the Coast Guard,0.0219
816,USAID assistance to Galapagos,0.7736,816,USAID is helping Galapagos,0.8637,816,USAID support for the Galapagos region,0.8143,816,Assistance provided by the U S  Agency for International Development to the Galapagos Islands,0.4119,816,USAID aid to the Galapagos,0.722,816,Aid from USAID in the Galapagos,0.7576,816,USAID support for the Galapagos,0.8356,816,USAID s assistance to the Galapagos,0.798,816,USAID aid to the Galapagos,0.722,816,USAID aid on the Galapagos,0.722,816,USAID assistance to the Galapagos,0.7736
817,sports stadium naming rights,0.2786,817,The naming rights of the stadium,0.2699,817,Sports stadium name card,0.1342,817,Sports fields naming rights,0.0074,817,Sports stadium naming rights,0.2786,817,Rights to name sports stadiums,0.2786,817,Sports stadium rights,0.2368,817,right to name the sports stadium,0.2786,817,right to name sports stadiums,0.2786,817,Naming rights of the stadium,0.2699,817,rights to the name of the stadium,0.2699
818,Chaco Culture National Park,0.2037,818,The Chako Culture National Park,0.0015,818,The Chako Cultural National Park,0.0015,818,The national park of culture of the Chaco,0.2037,818,The national park of culture of the Chaco,0.2037,818,The Chaco National Park,0.0909,818,The Chaco culture national park,0.2037,818,The Chaco National Park of Culture,0.2037,818,The Chaco Cultural Park,0.3247,818,Sago Cultural National Park,0.0012,818,The Chaco National Park,0.0909
819,1890 Census,0.5531,819,The      census,0.0047,819,The      census,0.0047,819,The      census,0.0047,819,The      census,0.0047,819,Census of,0.0047,819,Census of,0.0047,819,The      census,0.0047,819,The      census,0.0047,819,Census,0.0047,819,Population in,0.0008
820,imported fire ants,0.7563,820,Importing fire,0.0752,820,Imported fireworks,0.0,820,Imported fire ants,0.7563,820,Fire ants are in,0.6603,820,imported fire ants,0.7563,820,Import of fire ants,0.7563,820,imported fire ants,0.7563,820,imported fire ants,0.7563,820,Imported fire ants,0.7563,820,outdoor fireflies,0.0
821,Internet work-at-home scams,0.2364,821,The Internet is electric,0.0,821,You re cheating on the Internet,0.0004,821,Internet scams at work at home,0.2364,821,Internet scams at work,0.1529,821,The scams on the Internet,0.054,821,Internet Fraud at Work at Home,0.0504,821,Internet fraud at work,0.0142,821,Internet fraud at home,0.0287,821,The Internet is a home for online work,0.0017,821,Cheating on the Internet,0.0
822,Custer's Last Stand,0.0837,822,Castor s final position is,0.0,822,The last of the Cousters,0.0,822,Last stop for Custer,0.0329,822,The last stop of Custer,0.0329,822,Custer s last stand,0.0725,822,Custer s last stand,0.0725,822,Custer s last post,0.0205,822,Custer s last defense,0.1036,822,The final stage of Castro,0.0,822,Custer s Final Victory,0.0231
823,Continuing care retirement communities,0.2914,823,Continuing to care for the retirement community,0.2914,823,Continuous management retirement community,0.0592,823,Continuous retirement communities,0.0837,823,Continuing care retirement communities,0.2914,823,Continuing care pension communities,0.0067,823,Development pension communities,0.0,823,Communities of pensioners in constant care,0.0002,823,The community of retired people continues to care,0.2099,823,Continuous care pension communities,0.0067,823,Adult communities to thrive,0.0
824,Civil Air Patrol,0.3261,824,Civil air patrol,0.3261,824,Civil air patrol,0.3261,824,Civil air patrol,0.3261,824,Civil air patrol,0.3261,824,Civil air patrol,0.3261,824,Civil air patrol,0.3261,824,Civil air patrol,0.3261,824,Public air services,0.0001,824,Civil Air Force,0.0652,824,A Vehicle for Air Transport,0.0
825,National Guard Involvement in Iraq,0.0687,825,The Iraqi National Guard is involved,0.0211,825,The National Guard s involvement in Iraq,0.0563,825,National Guard involvement in Iraq,0.0687,825,National Army involvement in Iraq,0.0057,825,National Guard involvement in Iraq,0.0687,825,Participation of the National Guard in Iraq,0.0933,825,The National Guard s involvement in Iraq,0.0563,825,National Guard involvement in Iraq,0.0687,825,National Police participation in Iraq,0.0046,825,The National Guard in Iraq,0.0918
826,Florida Seminole Indians,0.2695,826,The Florida Seminole Indians,0.2695,826,The Florida Seminole Indian,0.2695,826,Seminole Indian in Florida,0.2695,826,The Seminole Indians of Florida,0.2695,826,Seminole Indians of Florida,0.2695,826,Florida Seminole Indians,0.2695,826,The Seminole Indians of Florida,0.2695,826,The Seminole Indians of Florida,0.2695,826,Florida Seminole Indians,0.2695,826,Seminole Indians of Florida,0.2695
827,Hidden Markov Modeling HMM,0.4363,827,The hidden Malkovic simulation of HMM,0.3272,827,HMM hidden markup modeling,0.4149,827,Markov is hiding a model hymn,0.0629,827,The secret model of the HMM Markov,0.4458,827,Hidden modeling of Markov HMM,0.4363,827,Hidden Markov modeling HMM,0.4363,827,The hidden model of Markov HMM,0.4363,827,HMM model of Markov hidden,0.4363,827,HMM with hidden Markov modeling,0.4363,827,Secret Markov Modeling HMM,0.4458
828,secret shoppers,0.2763,828,Secret shoppers,0.2763,828,Secret shoppers,0.2763,828,The secret shoppers,0.2763,828,The hidden buyers,0.0,828,secret buyers,0.0,828,Secret buyers,0.0,828,The secret buyers,0.0,828,Secret shoppers,0.2763,828,Secret buyers,0.0,828,secret shoppers,0.2763
829,Spanish Civil War support,0.0755,829,Spanish Civil War support,0.0755,829,Spanish Civil War Support,0.0755,829,Supporting the Spanish Civil War,0.0755,829,Support for the Spanish Civil War,0.0755,829,Support for the Spanish Civil War,0.0755,829,Support for the Spanish Civil War,0.0755,829,Supporting the Spanish Civil War,0.0755,829,Support for the Spanish Civil War,0.0755,829,The Spanish Civil War was a turning point in the history of the Spanish Civil War,0.0373,829,Aid for the Spanish Civil War,0.0537
830,model railroads,0.0254,830,The model of railroads,0.0254,830,Model railway,0.0043,830,Typical railways,0.0,830,Model railway,0.0043,830,railway model,0.0043,830,Model route,0.0,830,model of railways,0.0043,830,model railway,0.0043,830,Model railway,0.0043,830,model railways,0.0043
831,Dulles Airport security,0.5786,831,Dulles Airport is safe,0.0471,831,Dallas airport security,0.0249,831,Dalyes airport security,0.0378,831,Security at Dallas Airport,0.0249,831,Security at Dulles Airport,0.5786,831,Security at Dulles Airport,0.5786,831,The security of the Dallas airport,0.0249,831,Dulles Airport Security,0.5786,831,Airport security of Dulles,0.5786,831,Security at Dulles Airport,0.5786
832,labor union activity,0.1706,832,The trade union movement,0.0035,832,Trade union activities,0.0041,832,Trade union activity,0.0041,832,Trade unions,0.0016,832,trade union activity,0.0041,832,Trade union activity,0.0041,832,Trade union activities,0.0041,832,trade union activities,0.0041,832,Trade union activity,0.0041,832,trade union activities,0.0041
833,Iceland government,0.5123,833,The Icelandic government,0.5123,833,The Icelandic government,0.5123,833,The Icelandic government,0.5123,833,The Icelandic government,0.5123,833,The Icelandic Government,0.5123,833,Government of Iceland,0.5123,833,The Government of Iceland,0.5123,833,The Icelandic government,0.5123,833,The Icelandic government,0.5123,833,The Icelandic government,0.5123
834,Global positioning system earthquakes,0.3159,834,Global positioning system,0.005,834,Global location system earthquake,0.0728,834,Earthquakes in the global positioning system,0.3159,834,Earthquakes in the global positioning system,0.3159,834,Earthquake of the World Positioning System,0.0329,834,Earthquakes of the global positioning system,0.3159,834,Global positioning systems for earthquakes,0.3159,834,Global earthquake placement system,0.0844,834,The global positioning system earthquakes,0.3159,834,Earthquake of a system of local order,0.0145
835,Big Dig pork,0.0826,835,It s a big pig,0.0002,835,Big  digging pigs,0.0291,835,Big pork,0.0005,835,Big pork,0.0005,835,The Pork of the Dig,0.0006,835,Big pigs,0.0003,835,Big pigs,0.0003,835,Big pork,0.0005,835,Big digging meat,0.0514,835,The large pig,0.0
836,illegal immigrant wages,0.218,836,The wages of illegal immigrants,0.218,836,The wages of illegal immigrants,0.218,836,Illegal immigrant wages,0.218,836,The rights of illegal immigrants,0.0715,836,wages of illegal immigrants,0.218,836,Wages for illegal immigrants,0.218,836,wages of illegal immigrants,0.218,836,Illegal immigrant wages,0.218,836,The wages of illegal immigrants,0.218,836,wages of legal immigrants,0.0293
837,Eskimo History,0.0671,837,The Smithsonian,0.0,837,The history of the Eskimos,0.0671,837,The history of the Eskimos,0.0671,837,The history of the Eskimos,0.0671,837,The history of the Eskimos,0.0671,837,The history of the Eskimos,0.0671,837,The story is sketchy,0.0001,837,The history of the Eskimos,0.0671,837,The history of Eskimo,0.0671,837,The History of the Waeskim,0.0
838,urban suburban coyotes,0.2955,838,And the suburbs,0.0,838,Coyote outside the city,0.2221,838,Urban cows,0.0,838,Urban Quoits,0.0,838,urban coyotes,0.5162,838,Suburban coyotes,0.3136,838,urban coyotes,0.5162,838,Suburban coyotes,0.3136,838,Urban coyotes,0.5162,838,urban coyotes,0.5162
839,textile dyeing techniques,0.5587,839,Weaving technology,0.0013,839,Fiber dyeing,0.1779,839,Techniques for dyeing fabrics,0.2549,839,Textile dyeing techniques,0.5587,839,textile dyeing techniques,0.5587,839,Textile colouring processes,0.0167,839,textile painting techniques,0.0099,839,textile dyeing techniques,0.5587,839,Textile dyeing techniques,0.5587,839,techniques for dyeing clothes,0.0869
840,Geysers,0.1648,840,The cyclone,0.0,840,The basement,0.0,840,The Geysers,0.1648,840,The Geyser,0.1648,840,The geysers,0.1648,840,Other geysers,0.1604,840,Geysers,0.1648,840,Geysers,0.1648,840,Kaiser,0.0,840,Geysers,0.1648
841,camel North America,0.3307,841,North American camel,0.1692,841,The Camel North American,0.1692,841,North America,0.0,841,North America,0.0,841,North America,0.0,841,North America,0.0,841,Camel North America,0.3307,841,North American camel,0.1692,841,North America,0.0,841,camels in North America,0.3307
842,David McCullough,0.0978,842,David McCullough,0.0978,842,I m not going to lie,0.0001,842,I  m not going to lie,0.0001,842,I m going to see David McCullough,0.0757,842,David McCullough,0.0978,842,The Commission has also adopted a proposal for a regulation on the implementation of the common fisheries policy,0.0,842,David McCullough,0.0978,842,David McCullough is,0.0978,842,David McCullough,0.0978,842,David McCullough,0.0978
843,Pol Pot,0.3728,843,This is Paul Porter,0.0,843,Paul Port,0.0,843,Paul Booth,0.0,843,The money s gone,0.0,843,Pol Pot,0.3728,843,Pol Pot,0.3728,843,Paul Pot,0.0011,843,Pol Pot,0.3728,843,Paul Pot,0.0011,843,Pol Pot,0.3728
844,segmental duplications,0.0549,844,Partially copied,0.0,844,Copy the segment,0.0002,844,The cataract complications,0.0,844,The double edged sword,0.0,844,double segmented,0.0,844,Segmental duplications,0.0549,844,segmental duplications,0.0549,844,duplication of the segment,0.0549,844,division double,0.0,844,segmental duplications,0.0549
845,New Jersey tomato,0.3806,845,New Jersey tomatoes are the best,0.3077,845,The New Jersey tomatoes,0.3806,845,New Jersey tomatoes,0.3806,845,The New Jersey tomatoes,0.3806,845,Tomatoes from New Jersey,0.3622,845,Tomatoes from New Jersey,0.3622,845,Tomatoes from New Jersey,0.3622,845,New Jersey tomatoes,0.3806,845,New Jersey tomatoes,0.3806,845,New Jersey s grandmother,0.0001
