qid,abstractqueryexpansion,abstractqueryexpansion.bm25.recip_rank,qid.1,backtranslation_yue_hant,backtranslation_yue_hant.bm25.recip_rank,qid.2,backtranslation_kor_hang,backtranslation_kor_hang.bm25.recip_rank,qid.3,backtranslation_arb_arab,backtranslation_arb_arab.bm25.recip_rank,qid.4,backtranslation_pes_arab,backtranslation_pes_arab.bm25.recip_rank,qid.5,backtranslation_fra_latn,backtranslation_fra_latn.bm25.recip_rank,qid.6,backtranslation_deu_latn,backtranslation_deu_latn.bm25.recip_rank,qid.7,backtranslation_rus_cyrl,backtranslation_rus_cyrl.bm25.recip_rank,qid.8,backtranslation_zsm_latn,backtranslation_zsm_latn.bm25.recip_rank,qid.9,backtranslation_tam_taml,backtranslation_tam_taml.bm25.recip_rank,qid.10,backtranslation_swh_latn,backtranslation_swh_latn.bm25.recip_rank
774,Causes of Homelessness,1.0,774,Why they re homeless,0.5,774,Why I Have No Home,0.0,774,The causes of homelessness,1.0,774,The cause of homelessness,1.0,774,The Causes of Poverty,0.25,774,Causes of homelessness,1.0,774,The Causes of Homelessness,1.0,774,Causes of Housing Emptiness,0.0294,774,homeless,0.0909,774,Reasons for Homelessness,0.3333
775,Commercial candy makers,0.3333,775,Commercial candy manufacturers,0.0714,775,Commercial candy manufacturers,0.0714,775,The commercial confectioners,1.0,775,Commercial sweets manufacturers,0.0167,775,Manufacturers of commercial sweets,0.0167,775,Manufacturers of commercial sweets,0.0167,775,Commercial candy manufacturers,0.0714,775,Commercial candy manufacturers,0.0714,775,Commercial sweets makers,1.0,775,Commercial sugar producers,0.0023
776,Magnet schools success,1.0,776,The success of the magnet school,1.0,776,Success in your school,0.0455,776,The success of magnet schools,1.0,776,Successful Magnet Schools,1.0,776,The Success of Magnetic Schools,1.0,776,Success of magnet schools,1.0,776,The success of magnet schools,1.0,776,Success of magnet school,1.0,776,The success of magnetic schools,1.0,776,The success of magnetic schools,1.0
777,hybrid alternative fuel cars,0.25,777,hybrid fuel cars,0.5,777,Alternative fuel hybrid cars,0.25,777,Alternate fuel cars,0.1667,777,Replacement fuel cars,0.0141,777,hybrid alternative fuel vehicles,0.0714,777,Hybrid cars with alternative fuels,0.25,777,hybrid vehicles with alternative fuel,0.0714,777,hybrid alternative fuels,0.0625,777,Alternative fuel car,0.1667,777,vehicles with alternative fuels,0.0625
778,golden ratio,1.0,778,The golden ratio,1.0,778,Gold ratio,0.0069,778,The golden ratio,1.0,778,Gold compared to gold,0.0,778,Gold ratio,0.0069,778,Gold ratio,0.0069,778,The golden ratio,1.0,778,The golden ratio,1.0,778,gold ratio,0.0069,778,The gold standard,0.0
779,Javelinas range and description,1.0,779,Fish series and description,0.0,779,The range and description of Jabellana,0.0,779,The group and description of Javelinas,1.0,779,The range and description of Javnas,0.0,779,Region and description of the javelins,0.0,779,Selection and description of Javelinas,1.0,779,The range and description of the owl,0.0052,779,Range and description of Javelinas,1.0,779,The description and classification of Javelina,1.0,779,Types and descriptions of javelinas,1.0
780,Arable land,1.0,780,The land,0.0769,780,Farming land,0.0112,780,The cultivated land,0.0034,780,The slaughterhouses,0.0,780,Agricultural land,0.0115,780,Agricultural land,0.0115,780,Soil,0.0064,780,Farmland,0.0076,780,land,0.0769,780,The Harvest,0.0
781,Squirrel control and protections,1.0,781,Control and protection,0.0,781,Sky control and protection,0.0014,781,Counter squirrel and protective herring,0.5,781,Control and protection of squirrels,1.0,781,Control and protection of squirrels,1.0,781,Control and protection of squirrels,1.0,781,Proteins control and protection,0.0,781,Squirrel control and protection,1.0,781,Ant control and protection,0.0625,781,Control and protection of animals,0.1429
782,Orange varieties seasons,1.0,782,Color  season,0.0385,782,Orange season,1.0,782,The orange of the season,1.0,782,Seasons of orange species,0.0018,782,Seasons of Orange Varieties,1.0,782,The Times of Oranges,0.0312,782,Orange varieties of the season,1.0,782,Seasons of the orange type,0.2,782,Orange varieties seasons,1.0,782,Varieties of summer oranges,1.0
783,school mercury poisoning,0.2,783,School poisoning,0.0052,783,School hydrogen dependency,0.0145,783,Mercury poisoning at school,0.2,783,Jewellery poisoning at school,0.0038,783,Mercury intoxication at school,0.007,783,School mercury poisoning,0.2,783,school mercury poisoning,0.2,783,Mercury poisoning in schools,0.2,783,Mercury poisoning in schools,0.2,783,the poison of school inspiration,0.0018
784,mersenne primes,1.0,784,Mason number,0.0,784,The first of the Mercenaries,0.0,784,The first number,0.0,784,The first Mersenne numbers,1.0,784,the prime numbers of mercenary,0.0029,784,their primary values,0.0,784,the first number,0.0,784,number of mersenne primes,1.0,784,Merson s first,0.0,784,mersenne primes,1.0
785,Ivory-billed woodpecker,1.0,785,Ivory wood,1.0,785,The tree of the whale,0.0102,785,The wood bird from the ivory tree,1.0,785,Wood wheat with ivory wheat,0.0028,785,The species of ivory ball woodpeckers,1.0,785,Instruments for the manufacture of electrical equipment,0.0,785,The skin blade wooden peak,0.0,785,Wood cutter with ivory,0.2,785,Cotton wool,0.0,785,Yellow horned river sand,0.011
786,Yew trees,0.5,786,The trees,0.0286,786,Vegetable tree,0.0714,786,Trees to him,0.0,786,The oak trees,0.0024,786,The Vine Trees,0.0075,786,The disciples,0.0,786,The trees,0.0286,786,Purple trees,0.0019,786,The tree,0.0286,786,Trees of plants,0.0068
787,Sunflower Cultivation,1.0,787,Planting flowers,0.0256,787,Solar power plant,0.0,787,Planting sunflowers,1.0,787,He planted sunflowers,1.0,787,The cultivation of sunflower,1.0,787,Plants of sunflowers,1.0,787,The sunflower,1.0,787,Cultivation of sunflowers,1.0,787,The cultivation of sunflower,1.0,787,Planting a Sunflower,1.0
788,Reverse mortgages,1.0,788,Reverse mortgages,1.0,788,I m not gonna reflect,0.0,788,The reverse mortgage,1.0,788,Reverse mortgages,1.0,788,Reverse mortgage loans,1.0,788,Other loans,0.0,788,Mortgage loans,1.0,788,Reverse mortgage loans,1.0,788,Repayment of mortgages,0.25,788,Loans to repay,0.0012
789,abandoned mine reclamation,0.3333,789,Disposed mines re opened,0.0067,789,Abandoned mining,0.5,789,The abandoned re embellishment,0.0035,789,Mining recycling is abandoned,0.1111,789,abandoned mining,0.5,789,Abandoned minefields,0.0014,789,abandoned mines,0.5,789,Restoration of the abandoned mine,0.1429,789,The recovery of abandoned mines,0.25,789,The construction of lost bombs,0.0
790,women's rights in Saudi Arabia,1.0,790,The rights of women in Saudi Arabia,1.0,790,Women s rights in Saudi Arabia,1.0,790,Women s rights in Saudi Arabia,1.0,790,Women s rights in Saudi Arabia,1.0,790,Women s rights in Saudi Arabia,1.0,790,Women s rights in Saudi Arabia,1.0,790,women s rights in Saudi Arabia,1.0,790,Women s rights in Saudi Arabia,1.0,790,Women s rights in Saudi Arabia,1.0,790,Women s rights in Saudi Arabia,1.0
791,Gullah geechee language culture,1.0,791,The culture of the Gilli language,0.0,791,The culture of the Guarani language,0.0,791,The culture of the language of the Ghoul,0.0,791,The culture of the Gucci language,0.001,791,The culture of the Gula Gechee language,0.0,791,Gullahi Geechee language culture,1.0,791,The culture of the Gulla Geychi language,0.0667,791,The culture of the Gullah language geechee,1.0,791,The culture of the Kula Chichi language,0.0,791,The culture of the Gulah geechee language,1.0
792,Social Security means test,0.5,792,The way we provide social security,0.0333,792,Social Security exam,0.0,792,Social security means a test,0.5,792,Social insurance is a test,0.25,792,Social security means testing,0.5,792,Social security means testing,0.5,792,Social security   a test,0.5,792,Social security means testing,0.5,792,Social security testing,0.5,792,Social Security means the test,0.5
793,Bagpipe Bands,0.5,793,The wire,0.0,793,The backpack pipe band,0.0102,793,The pipe tapes,0.0024,793,Bags of bugs,0.0017,793,Pipes and pipes,0.0,793,Other  of a kind used for the manufacture of goods of heading,0.0,793,The Tape,0.0,793,Band of bagpipes,0.5,793,Backpack bands,0.0,793,Loading equipment,0.0
794,pet therapy,1.0,794,Pet therapy,1.0,794,Treatment of pets,0.0196,794,Treatment of pets,0.0196,794,Treatment of pets,0.0196,794,therapy for pets,1.0,794,Animal health,0.0139,794,therapy of domestic animals,0.3333,794,Pet therapy,1.0,794,Pet therapy,1.0,794,treatment of animals,0.0075
795,notable cocker spaniels,0.0303,795,Fish,0.0,795,A remarkable Coker Spaniel,0.2,795,Cocker Spaniel,0.0303,795,Notable spaniels,0.1,795,the remarkable cocker spaniels,0.0303,795,Notable Cocker Spaniels,0.0303,795,The most remarkable cock singer,0.0,795,The famous cocker Spaniel,0.0303,795,The notable Coker Spaniel,0.05,795,The famous cocker spaniels,0.0303
796,Blue Grass Music Festival history,1.0,796,The history of the Blue Grass Festival,0.5,796,The history of the Blue Grass Music Festival,1.0,796,The history of the Blue Grass Music Festival,1.0,796,The history of the Blue Grass Music Festival,1.0,796,The history of the Blue Grass Music Festival,1.0,796,History of the Blue Grass music festival,1.0,796,The history of the Blue Grass music festival,1.0,796,The history of the Blue Grass Music Festival,1.0,796,The history of the Blue Cross Music Festival,0.3333,796,The history of the Blue Grass Music Festival,1.0
797,reintroduction of gray wolves,1.0,797,Grey wolves are reintroduced,0.3333,797,The red eyed grey wolf,0.0294,797,The reintroduction of the gray wolves,1.0,797,The gray wolf,0.1111,797,reintroduction of grey wolves,0.3333,797,Restoration of gray wolves,1.0,797,Restarting the use of gray wolves,1.0,797,re identification of the grey wolf,0.0909,797,The Red Wolf Resettlement,0.0114,797,reintroduction of the black wolf,0.1111
798,Massachusetts textile mills,0.5,798,Massachusetts  the Massachusetts textile mill,0.2,798,Massachusetts textile factory,0.3333,798,The textile mills in Massachusetts,0.5,798,The Massachusetts textile mills,0.5,798,Textile manufacturing in Massachusetts,0.3333,798,Textile factories in Massachusetts,0.3333,798,Textile factories of Massachusetts,0.3333,798,Massachusetts textile mills,0.5,798,Massachusetts textile mills,0.5,798,Textile industry of Massachusetts,0.125
799,Animals in Alzheimer's research,0.25,799,Animals in the Alzheimer s study,1.0,799,The animals in the Alzheimer s study,1.0,799,Animals in Alzheimer s research,1.0,799,In animal research on Alzheimer s,1.0,799,Animal research on Alzheimer s,1.0,799,Animals in Alzheimer s research,1.0,799,Animals in Alzheimer s research,1.0,799,Animals in Alzheimer s research,1.0,799,The animals in Alzheimer s disease research are the most important,1.0,799,Animals in Alzheimer s research,1.0
800,Ovarian Cancer Treatment,0.0833,800,Ovarian cancer treatment,0.0833,800,Treatment of ovarian cancer,0.0833,800,Treatment for ovarian cancer,0.0833,800,Treatment for ovarian cancer,0.0833,800,Treatment of ovarian cancer,0.0833,800,Treatment of ovarian cancer,0.0833,800,Treatment of ovarian cancer,0.0833,800,Treatment for Ovarian Cancer,0.0833,800,The treatment of cervical cancer,0.0217,800,Treatment of Eye Cancer,0.0417
801,Kudzu Pueraria lobata,1.0,801,The garden of Kunsan  the faucet,0.0,801,The Kuz Poeria Robata is coming,0.0,801,I  m not going to lie,0.0,801,The first is the  Codez Porcaria Lobata,0.3333,801,The child s elbow,0.0,801,Other  of a kind used for the manufacture of foodstuffs,0.0,801,The Kudo Poeraria of the Lobot,0.0,801,Kudzu Pueraria the lobotome,1.0,801,The Kutsu Puewari Lopada,0.0,801,The Pueraria lobata,1.0
802,Volcano eruptions global temperature,1.0,802,The volcano erupted  and global warming began,1.0,802,Volcanic eruptions  global warming,1.0,802,Volcanic eruptions   Global warming,1.0,802,The eruption of a global warming volcano,1.0,802,Volcanic eruptions and global warming,1.0,802,Volcanic eruptions global temperature,1.0,802,Volcanic eruptions global temperature,1.0,802,Global temperature volcanic eruption,1.0,802,Volcanic eruptions global warming,1.0,802,Volcanic violence global warming,0.5
803,May Day,0.0,803,One of May,0.0,803,May  st,0.0,803,May  st,0.0,803,A little bit,0.0,803,May,0.0,803,May,0.0,803,May  st,0.0,803,First day of May,0.0,803,May,0.0,803,The First Day of May,0.0
804,ban on human cloning,0.2,804,Human cloning is prohibited,1.0,804,Prohibition of human reproduction,1.0,804,The ban on human replication,1.0,804,Prohibition of human cloning,1.0,804,prohibition on cloning humans,1.0,804,Prohibition of cloning of humans,1.0,804,The ban on cloning,0.2,804,Prohibition of human cloning,1.0,804,The ban on human cloning,0.2,804,Prohibition of human design,0.0149
805,Identity Theft Passport,0.2,805,I D  is a passport,0.0,805,A passport to steal an ID,0.0435,805,A passport for identity theft,0.2,805,Identity theft pass,0.0714,805,Passport for identity theft,0.2,805,Pass for identity theft,0.0714,805,Passport of identity theft,0.2,805,Passport for identity theft,0.2,805,Identity theft passport,0.2,805,A Passport for Identity Theft,0.2
806,Doctors Without Borders,1.0,806,Doctors without borders,1.0,806,Doctors without borders,1.0,806,Doctors without borders,1.0,806,Doctors without borders,1.0,806,Doctors without Borders,1.0,806,Doctors without Borders,1.0,806,Doctors without borders,1.0,806,Doctor Without Borders,1.0,806,Doctors without Borders,1.0,806,Doctors Without Borders,1.0
807,Sugar tariff-rate quotas,1.0,807,The sugar tax rate is set,0.3333,807,Sugar tariffs,1.0,807,Sugar tariffs,1.0,807,Low sugar tariffs,1.0,807,Tariff quotas for sugar,1.0,807,Tariff quotas for sugar,1.0,807,Quotas on sugar tariff rates,1.0,807,Sugar tariff boxes,0.1111,807,Tax quotas for sugar,1.0,807,Sugar tax rates,0.0588
808,North Korean Counterfeiting,1.0,808,North Korea is fake,0.1111,808,The North Korean counterfeit,1.0,808,North Korean counterfeiting,1.0,808,North Korean fraud,0.0159,808,Counterfeiting in North Korea,1.0,808,North Korean counterfeiting,1.0,808,North Korea is a fake,0.1111,808,North Korea Abuse,0.0128,808,The North Korean counterfeit,1.0,808,North Korean Fraud,0.0159
809,wetlands wastewater treatment,1.0,809,Wetland wastewater treatment,1.0,809,The wetland drainage,0.5,809,Treating the water in the swamp,0.1429,809,Wastewater treatment in wetlands,1.0,809,treatment of wetland wastewater,1.0,809,Wastewater treatment of wetlands,1.0,809,Cleaning of wastewater in wetlands,1.0,809,Wastewater treatment in wetlands,1.0,809,Wetland wastewater treatment,1.0,809,rainwater treatment,0.0
810,timeshare resales,0.5,810,Share the time of the sale,0.0,810,Shared time reselling,0.0014,810,Re selling the stake in time,0.0,810,The resale of time stock,0.0,810,Sales distributed,0.0,810,The Commission shall take into account the following information,0.0,810,hourly share resale,0.0,810,Selling time back together,0.0,810,Time sharing reselling,0.0014,810,time sales,0.0
811,handwriting recognition,0.5,811,Handwritten identification,0.3333,811,Signature,0.0,811,Identifying the handwriting,0.2,811,Handwritten recognition,0.5,811,recognition of writing,0.25,811,Handwriting identification,0.0417,811,recognition of handwriting,0.5,811,handwriting recognition,0.5,811,Signature acknowledgment,0.0,811,Recognizing the Scriptures,0.0
812,total knee replacement surgery,1.0,812,Full knee replacement surgery,1.0,812,Full knee replacement surgery,1.0,812,Full knee replacement surgery,1.0,812,Knee replacement surgery,1.0,812,total knee replacement surgery,1.0,812,Total knee replacement operation,1.0,812,General operation for knee replacement,1.0,812,Total knee replacement surgery,1.0,812,A complete knee replacement,0.5,812,knee surgery,1.0
813,Atlantic Intracoastal Waterway,1.0,813,The Pacific Ocean,0.0,813,I m on the Atlantic coast,0.0111,813,The Atlantic Waterway,1.0,813,The waterway into the Atlantic coast,1.0,813,The Atlantic Intracoastal Waterway,1.0,813,Intracoastal waterway of the Atlantic,1.0,813,Inland sea routes of the Atlantic,0.0625,813,Waterways in the Atlantic coast,1.0,813,The coastal marine waterway,0.3333,813,The Atlantic Ocean s Inland Waterway,1.0
814,Johnstown flood,1.0,814,Johnstown flood,1.0,814,The Johnstown Flood,1.0,814,The Johnstown floods,1.0,814,The flood of Johnstown,1.0,814,Flood in Johnstown,1.0,814,Johnstown Flood,1.0,814,Flooding in Johnstown,1.0,814,Flooding in Johnstown,1.0,814,Johnstown Flood,1.0,814,Floods in Johnstown,1.0
815,Coast Guard rescues,0.3333,815,Coast Guard rescue,0.3333,815,Coast Guard rescue team,0.25,815,The Coast Guard rescue,0.3333,815,The Coast Guard is rescuing,0.3333,815,Rescue by the Coast Guard,0.3333,815,Rescue of the Coast Guard,0.3333,815,Coast Guard rescuers,0.1429,815,The Coast Guard Rescue,0.3333,815,Coast Guard rescue,0.3333,815,The Safety of the Coast Guard,1.0
816,USAID assistance to Galapagos,1.0,816,USAID is helping Galapagos,1.0,816,USAID support for the Galapagos region,1.0,816,Assistance provided by the U S  Agency for International Development to the Galapagos Islands,1.0,816,USAID aid to the Galapagos,0.5,816,Aid from USAID in the Galapagos,0.5,816,USAID support for the Galapagos,1.0,816,USAID s assistance to the Galapagos,1.0,816,USAID aid to the Galapagos,0.5,816,USAID aid on the Galapagos,0.5,816,USAID assistance to the Galapagos,1.0
817,sports stadium naming rights,1.0,817,The naming rights of the stadium,1.0,817,Sports stadium name card,0.1667,817,Sports fields naming rights,1.0,817,Sports stadium naming rights,1.0,817,Rights to name sports stadiums,1.0,817,Sports stadium rights,1.0,817,right to name the sports stadium,1.0,817,right to name sports stadiums,1.0,817,Naming rights of the stadium,1.0,817,rights to the name of the stadium,1.0
818,Chaco Culture National Park,1.0,818,The Chako Culture National Park,0.0333,818,The Chako Cultural National Park,0.0333,818,The national park of culture of the Chaco,1.0,818,The national park of culture of the Chaco,1.0,818,The Chaco National Park,1.0,818,The Chaco culture national park,1.0,818,The Chaco National Park of Culture,1.0,818,The Chaco Cultural Park,1.0,818,Sago Cultural National Park,0.0063,818,The Chaco National Park,1.0
819,1890 Census,1.0,819,The      census,0.0179,819,The      census,0.0179,819,The      census,0.0179,819,The      census,0.0179,819,Census of,0.0179,819,Census of,0.0179,819,The      census,0.0179,819,The      census,0.0179,819,Census,0.0179,819,Population in,0.01
820,imported fire ants,0.5,820,Importing fire,0.5,820,Imported fireworks,0.0,820,Imported fire ants,0.5,820,Fire ants are in,1.0,820,imported fire ants,0.5,820,Import of fire ants,0.5,820,imported fire ants,0.5,820,imported fire ants,0.5,820,Imported fire ants,0.5,820,outdoor fireflies,0.0
821,Internet work-at-home scams,1.0,821,The Internet is electric,0.0,821,You re cheating on the Internet,0.0,821,Internet scams at work at home,1.0,821,Internet scams at work,1.0,821,The scams on the Internet,0.1667,821,Internet Fraud at Work at Home,1.0,821,Internet fraud at work,0.2,821,Internet fraud at home,1.0,821,The Internet is a home for online work,0.0556,821,Cheating on the Internet,0.0
822,Custer's Last Stand,1.0,822,Castor s final position is,0.0,822,The last of the Cousters,0.0,822,Last stop for Custer,0.0909,822,The last stop of Custer,0.0909,822,Custer s last stand,0.3333,822,Custer s last stand,0.3333,822,Custer s last post,0.0208,822,Custer s last defense,1.0,822,The final stage of Castro,0.0,822,Custer s Final Victory,1.0
823,Continuing care retirement communities,1.0,823,Continuing to care for the retirement community,1.0,823,Continuous management retirement community,0.5,823,Continuous retirement communities,1.0,823,Continuing care retirement communities,1.0,823,Continuing care pension communities,0.0074,823,Development pension communities,0.0,823,Communities of pensioners in constant care,0.001,823,The community of retired people continues to care,1.0,823,Continuous care pension communities,0.0074,823,Adult communities to thrive,0.0
824,Civil Air Patrol,1.0,824,Civil air patrol,1.0,824,Civil air patrol,1.0,824,Civil air patrol,1.0,824,Civil air patrol,1.0,824,Civil air patrol,1.0,824,Civil air patrol,1.0,824,Civil air patrol,1.0,824,Public air services,0.0079,824,Civil Air Force,1.0,824,A Vehicle for Air Transport,0.0
825,National Guard Involvement in Iraq,0.3333,825,The Iraqi National Guard is involved,0.0323,825,The National Guard s involvement in Iraq,1.0,825,National Guard involvement in Iraq,0.3333,825,National Army involvement in Iraq,0.0086,825,National Guard involvement in Iraq,0.3333,825,Participation of the National Guard in Iraq,0.1667,825,The National Guard s involvement in Iraq,1.0,825,National Guard involvement in Iraq,0.3333,825,National Police participation in Iraq,0.0088,825,The National Guard in Iraq,1.0
826,Florida Seminole Indians,0.25,826,The Florida Seminole Indians,0.25,826,The Florida Seminole Indian,0.25,826,Seminole Indian in Florida,0.25,826,The Seminole Indians of Florida,0.25,826,Seminole Indians of Florida,0.25,826,Florida Seminole Indians,0.25,826,The Seminole Indians of Florida,0.25,826,The Seminole Indians of Florida,0.25,826,Florida Seminole Indians,0.25,826,Seminole Indians of Florida,0.25
827,Hidden Markov Modeling HMM,1.0,827,The hidden Malkovic simulation of HMM,1.0,827,HMM hidden markup modeling,0.5,827,Markov is hiding a model hymn,0.0154,827,The secret model of the HMM Markov,1.0,827,Hidden modeling of Markov HMM,1.0,827,Hidden Markov modeling HMM,1.0,827,The hidden model of Markov HMM,1.0,827,HMM model of Markov hidden,1.0,827,HMM with hidden Markov modeling,1.0,827,Secret Markov Modeling HMM,1.0
828,secret shoppers,1.0,828,Secret shoppers,1.0,828,Secret shoppers,1.0,828,The secret shoppers,1.0,828,The hidden buyers,0.0,828,secret buyers,0.0,828,Secret buyers,0.0,828,The secret buyers,0.0,828,Secret shoppers,1.0,828,Secret buyers,0.0,828,secret shoppers,1.0
829,Spanish Civil War support,1.0,829,Spanish Civil War support,1.0,829,Spanish Civil War Support,1.0,829,Supporting the Spanish Civil War,1.0,829,Support for the Spanish Civil War,1.0,829,Support for the Spanish Civil War,1.0,829,Support for the Spanish Civil War,1.0,829,Supporting the Spanish Civil War,1.0,829,Support for the Spanish Civil War,1.0,829,The Spanish Civil War was a turning point in the history of the Spanish Civil War,0.5,829,Aid for the Spanish Civil War,0.25
830,model railroads,1.0,830,The model of railroads,1.0,830,Model railway,0.04,830,Typical railways,0.0024,830,Model railway,0.04,830,railway model,0.04,830,Model route,0.0,830,model of railways,0.04,830,model railway,0.04,830,Model railway,0.04,830,model railways,0.04
831,Dulles Airport security,1.0,831,Dulles Airport is safe,0.1667,831,Dallas airport security,0.1667,831,Dalyes airport security,0.125,831,Security at Dallas Airport,0.1667,831,Security at Dulles Airport,1.0,831,Security at Dulles Airport,1.0,831,The security of the Dallas airport,0.1667,831,Dulles Airport Security,1.0,831,Airport security of Dulles,1.0,831,Security at Dulles Airport,1.0
832,labor union activity,1.0,832,The trade union movement,0.0833,832,Trade union activities,0.0222,832,Trade union activity,0.0222,832,Trade unions,0.0833,832,trade union activity,0.0222,832,Trade union activity,0.0222,832,Trade union activities,0.0222,832,trade union activities,0.0222,832,Trade union activity,0.0222,832,trade union activities,0.0222
833,Iceland government,1.0,833,The Icelandic government,1.0,833,The Icelandic government,1.0,833,The Icelandic government,1.0,833,The Icelandic government,1.0,833,The Icelandic Government,1.0,833,Government of Iceland,1.0,833,The Government of Iceland,1.0,833,The Icelandic government,1.0,833,The Icelandic government,1.0,833,The Icelandic government,1.0
834,Global positioning system earthquakes,1.0,834,Global positioning system,0.0435,834,Global location system earthquake,0.125,834,Earthquakes in the global positioning system,1.0,834,Earthquakes in the global positioning system,1.0,834,Earthquake of the World Positioning System,1.0,834,Earthquakes of the global positioning system,1.0,834,Global positioning systems for earthquakes,1.0,834,Global earthquake placement system,0.5,834,The global positioning system earthquakes,1.0,834,Earthquake of a system of local order,0.125
835,Big Dig pork,0.1111,835,It s a big pig,0.0,835,Big  digging pigs,0.1,835,Big pork,0.04,835,Big pork,0.04,835,The Pork of the Dig,0.0023,835,Big pigs,0.0018,835,Big pigs,0.0018,835,Big pork,0.04,835,Big digging meat,0.0435,835,The large pig,0.0
836,illegal immigrant wages,0.5,836,The wages of illegal immigrants,0.5,836,The wages of illegal immigrants,0.5,836,Illegal immigrant wages,0.5,836,The rights of illegal immigrants,0.3333,836,wages of illegal immigrants,0.5,836,Wages for illegal immigrants,0.5,836,wages of illegal immigrants,0.5,836,Illegal immigrant wages,0.5,836,The wages of illegal immigrants,0.5,836,wages of legal immigrants,0.1429
837,Eskimo History,0.0667,837,The Smithsonian,0.0,837,The history of the Eskimos,0.0667,837,The history of the Eskimos,0.0667,837,The history of the Eskimos,0.0667,837,The history of the Eskimos,0.0667,837,The history of the Eskimos,0.0667,837,The story is sketchy,0.0013,837,The history of the Eskimos,0.0667,837,The history of Eskimo,0.0667,837,The History of the Waeskim,0.0
838,urban suburban coyotes,1.0,838,And the suburbs,0.0,838,Coyote outside the city,0.25,838,Urban cows,0.0,838,Urban Quoits,0.0,838,urban coyotes,1.0,838,Suburban coyotes,0.5,838,urban coyotes,1.0,838,Suburban coyotes,0.5,838,Urban coyotes,1.0,838,urban coyotes,1.0
839,textile dyeing techniques,1.0,839,Weaving technology,0.0667,839,Fiber dyeing,1.0,839,Techniques for dyeing fabrics,1.0,839,Textile dyeing techniques,1.0,839,textile dyeing techniques,1.0,839,Textile colouring processes,0.3333,839,textile painting techniques,0.1429,839,textile dyeing techniques,1.0,839,Textile dyeing techniques,1.0,839,techniques for dyeing clothes,1.0
840,Geysers,1.0,840,The cyclone,0.0,840,The basement,0.0,840,The Geysers,1.0,840,The Geyser,1.0,840,The geysers,1.0,840,Other geysers,1.0,840,Geysers,1.0,840,Geysers,1.0,840,Kaiser,0.0,840,Geysers,1.0
841,camel North America,1.0,841,North American camel,0.1667,841,The Camel North American,0.1667,841,North America,0.002,841,North America,0.002,841,North America,0.002,841,North America,0.002,841,Camel North America,1.0,841,North American camel,0.1667,841,North America,0.002,841,camels in North America,1.0
842,David McCullough,0.0833,842,David McCullough,0.0833,842,I m not going to lie,0.0018,842,I  m not going to lie,0.0018,842,I m going to see David McCullough,1.0,842,David McCullough,0.0833,842,The Commission has also adopted a proposal for a regulation on the implementation of the common fisheries policy,0.0,842,David McCullough,0.0833,842,David McCullough is,0.0833,842,David McCullough,0.0833,842,David McCullough,0.0833
843,Pol Pot,1.0,843,This is Paul Porter,0.0,843,Paul Port,0.0,843,Paul Booth,0.0,843,The money s gone,0.0,843,Pol Pot,1.0,843,Pol Pot,1.0,843,Paul Pot,0.0303,843,Pol Pot,1.0,843,Paul Pot,0.0303,843,Pol Pot,1.0
844,segmental duplications,0.1667,844,Partially copied,0.0,844,Copy the segment,0.0018,844,The cataract complications,0.0,844,The double edged sword,0.0,844,double segmented,0.0,844,Segmental duplications,0.1667,844,segmental duplications,0.1667,844,duplication of the segment,0.1667,844,division double,0.0,844,segmental duplications,0.1667
845,New Jersey tomato,1.0,845,New Jersey tomatoes are the best,1.0,845,The New Jersey tomatoes,1.0,845,New Jersey tomatoes,1.0,845,The New Jersey tomatoes,1.0,845,Tomatoes from New Jersey,1.0,845,Tomatoes from New Jersey,1.0,845,Tomatoes from New Jersey,1.0,845,New Jersey tomatoes,1.0,845,New Jersey tomatoes,1.0,845,New Jersey s grandmother,0.0
846,heredity and obesity,1.0,846,Genetics and obesity,1.0,846,Genetics and obesity,1.0,846,Genetics and obesity,1.0,846,Genetic and obese,1.0,846,inherited and obese,0.3333,846,Inheritance and Obesity,0.3333,846,inheritance and obesity,0.3333,846,offspring and obesity,0.0078,846,Genetic and obesity,1.0,846,Inheritance and obesity,0.3333
847,Portugal World War II,1.0,847,Portugal during the Second World War,1.0,847,Portugal during the Second World War,1.0,847,Portugal World War II,1.0,847,Portugal during World War II,1.0,847,Portugal in the Second World War,1.0,847,Portugal Second World War,1.0,847,Portugal Second world war,1.0,847,Portugal during World War II,1.0,847,Portugal during World War II,1.0,847,Portugal during World War II,1.0
848,radio station call letters,1.0,848,The radio call letters,1.0,848,Telephone mail from the radio station,0.0455,848,Call messages to the radio station,0.0714,848,The radio station s call letters,1.0,848,Letters of call from the radio station,1.0,848,Telephone calls from radio stations,0.0385,848,Calls to the radio station,0.5,848,Radio station call letters,1.0,848,Radio station call letters,1.0,848,telephone letters from a radio station,0.5
849,Scalable Vector Graphics,1.0,849,Expandable vector map,0.0023,849,Expandable vector graphics,0.0345,849,Growing vector graphics,0.0714,849,Scalable metric graphics,0.0085,849,The following table shows the evolutionary vector graphs,0.006,849,Scalable vector graphics,1.0,849,Scalable vector graphs,0.0345,849,Vector graphs that can be measured,0.0053,849,Scable vector charts,0.0016,849,Scalable Vector Graphics,1.0
